样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,实际磁芯损耗_w每m3,第四问OOF预测损耗_w每m3,第四问预测相对误差_percent
46,25,63020.0,材料1,正弦波,0.1575239514999999,164156.6808,167369.70233812707,1.9572895373302823
47,25,63020.0,材料1,正弦波,0.176409011,213181.9924,201597.1844835445,-5.434233814044931
48,25,63020.0,材料1,正弦波,0.196323624,272698.8683,281110.6055866749,3.0846249341310186
49,25,63020.0,材料1,正弦波,0.2176908065,345321.4402,332972.72290199663,-3.5760065435993105
50,25,63030.0,材料1,正弦波,0.2451738675,450682.3276,467388.2597255754,3.706808788030093
51,25,63030.0,材料1,正弦波,0.2716515845,568872.0099,586088.9107972559,3.0264981573416634
52,25,70840.0,材料1,正弦波,0.0247207635,2225.097322,2120.487695753571,-4.701350597662931
53,25,70840.0,材料1,正弦波,0.0280215435,3024.184603,3438.7860008609073,13.709526774576569
54,25,70840.0,材料1,正弦波,0.0315271295,4089.657062,4826.2872793944325,18.012029033901236
55,25,70840.0,材料1,正弦波,0.0351047914999999,5561.224672,4865.015163241662,-12.518996261087189
56,25,70840.0,材料1,正弦波,0.0394464015,7428.611375,6967.582005282851,-6.206131219472349
57,25,70840.0,材料1,正弦波,0.044232072,9781.334899,9632.787395958125,-1.5186833349000408
58,25,70830.0,材料1,正弦波,0.0498639255,13030.14014,13310.944669516171,2.155038445474247
59,25,70840.0,材料1,正弦波,0.0562300975,17428.60715,15760.581383385726,-9.570620028659453
60,25,70840.0,材料1,正弦波,0.0787509475,38034.45168,40973.24645929911,7.7266652981471635
61,25,70840.0,材料1,正弦波,0.099234443,64866.78904,64826.78004832518,-0.06167869917247512
62,25,70840.0,材料1,正弦波,0.111533755,84929.72944,88762.33724045932,4.5126810431757445
63,25,70840.0,材料1,正弦波,0.1246781214999999,109923.077,103240.54628087187,-6.079279166401184
64,25,70840.0,材料1,正弦波,0.1404842385,144795.5963,145718.88777706312,0.6376516279888532
65,25,70840.0,材料1,正弦波,0.218316009,398991.6659,418839.906539268,4.974600307627116
66,25,70840.0,材料1,正弦波,0.2756380105,677349.1971,732326.8024656813,8.116582347932534
67,25,79470.0,材料1,正弦波,0.0195517195,1351.668508,1313.9606694871925,-2.7897253127989194
68,25,79460.0,材料1,正弦波,0.0249306015,2547.825849,2779.859303667754,9.107115965513312
69,25,79460.0,材料1,正弦波,0.028132811,3427.227242,2690.443832398187,-21.49794447746785
70,25,79470.0,材料1,正弦波,0.0312507965,4655.897506,4527.457678965795,-2.758648077383285
71,25,79460.0,材料1,正弦波,0.0350564605,6205.058112,6119.694442653001,-1.3757110377727741
72,25,79460.0,材料1,正弦波,0.0395426829999999,8367.055189,9245.437787571624,10.498109295686433
73,25,79470.0,材料1,正弦波,0.044416859,11089.48772,11520.0844111546,3.8829268044367358
74,25,79470.0,材料1,正弦波,0.0498052,14658.56285,13634.88288055702,-6.983494766289324
75,25,79470.0,材料1,正弦波,0.056242186,19233.50271,18719.53479326291,-2.6722533304860114
76,25,79460.0,材料1,正弦波,0.0699736255,32688.69228,34945.94412400875,6.905298702908979
77,25,79460.0,材料1,正弦波,0.0880604889999999,55945.83678,57018.639465553984,1.9175737593713165
78,25,79460.0,材料1,正弦波,0.0994555209999999,74362.24612,78841.40979477816,6.023437844454072
79,25,79460.0,材料1,正弦波,0.1256871984999999,128576.4162,138350.1904807341,7.601529556968704
80,25,79460.0,材料1,正弦波,0.1406338174999999,166639.6736,166588.63232376284,-0.03062972648379616
81,25,79470.0,材料1,正弦波,0.1575832555,218449.8965,217081.1148812653,-0.626588357634999
82,25,79460.0,材料1,正弦波,0.1737466715,273541.545,247504.35832639175,-9.518549247650201
83,25,79460.0,材料1,正弦波,0.195883865,360199.2721,359308.271833191,-0.24736315029577666
84,25,79460.0,材料1,正弦波,0.2184955115,461810.5667,440250.021540764,-4.668698967479906
85,25,79460.0,材料1,正弦波,0.2474602885,613904.3362,653045.5974692975,6.375791627662631
86,25,89080.0,材料1,正弦波,0.0174854175,1129.391913,1030.7932135106023,-8.73024663577502
87,25,89080.0,材料1,正弦波,0.019720906,1532.851361,1549.3239737590377,1.0746386230359162
88,25,89080.0,材料1,正弦波,0.0221851179999999,2119.668152,2292.9566840824673,8.175267053900006
89,25,89090.0,材料1,正弦波,0.0311189425,5166.874084,5494.73762197867,6.34549115477671
90,25,89080.0,材料1,正弦波,0.0351156995,7061.093869,7387.121356019322,4.617237683960913
91,25,89080.0,材料1,正弦波,0.0394200725,9430.12443,9238.912075176024,-2.0276758407945636
92,25,89080.0,材料1,正弦波,0.0445558805,12766.46246,13733.18576504191,7.572366331478713
93,25,89090.0,材料1,正弦波,0.0555244109999999,21893.48022,19628.25130781759,-10.346591265618391
94,25,89080.0,材料1,正弦波,0.062305866,28291.14184,28154.815951774453,-0.4818677485572523
95,25,89090.0,材料1,正弦波,0.0789289465,49708.07326,52112.97202916994,4.838044630277718
96,25,89080.0,材料1,正弦波,0.0885737725,65196.27638,70313.07822129436,7.8483038072156175
97,25,89080.0,材料1,正弦波,0.09925759,85243.35886,83377.44661398268,-2.1889238891698333
98,25,89090.0,材料1,正弦波,0.1114912375,112150.6467,107811.46411883416,-3.869066036483082
99,25,89080.0,材料1,正弦波,0.125352897,147631.7533,146007.24309451898,-1.1003799448075964
100,25,89090.0,材料1,正弦波,0.1402714895,193355.8322,210967.5618735848,9.10845536604652
101,25,89080.0,材料1,正弦波,0.1555689885,245886.8962,249480.64199934067,1.4615442526134446
102,25,89090.0,材料1,正弦波,0.174701857,321281.5746,304621.09048193105,-5.185633237390434
103,25,89090.0,材料1,正弦波,0.1952358525,415631.7819,410766.8440390937,-1.170492265694155
104,25,89090.0,材料1,正弦波,0.219488703,542772.7158,579125.0486631638,6.697523992079003
105,25,89080.0,材料1,正弦波,0.247224368,711545.3171,699988.0840928742,-1.6242441246369057
106,25,89090.0,材料1,正弦波,0.2715454029999999,896343.4213,885248.1952409694,-1.2378320401949074
107,25,99950.0,材料1,正弦波,0.017502333,1299.233133,1228.4971428793417,-5.444441672860128
108,25,99950.0,材料1,正弦波,0.0197247485,1755.831126,1672.5362696522502,-4.743899063773052
109,25,99950.0,材料1,正弦波,0.022224283,2390.408185,2075.7575709972884,-13.163049556856807
110,25,99950.0,材料1,正弦波,0.0247029495,3242.978165,2818.652485116998,-13.084444553545186
111,25,99960.0,材料1,正弦波,0.0312536615,5892.742949,5618.073412110761,-4.661149133203768
112,25,99950.0,材料1,正弦波,0.0349985965,7874.71143,8348.059639150866,6.0109911754679475
113,25,99950.0,材料1,正弦波,0.039503328,10735.42591,10541.435363456449,-1.8070130441946417
114,25,99950.0,材料1,正弦波,0.0445624025,14477.24774,14661.770929206372,1.2745736794745985
115,25,99950.0,材料1,正弦波,0.049517116,18907.91771,19910.971846594028,5.304942363185408
116,25,99950.0,材料1,正弦波,0.0701206229999999,42837.66482,45818.67182925651,6.9588457302293145
117,25,99950.0,材料1,正弦波,0.0881801359999999,74230.01899,67151.62820329732,-9.53575235870039
118,25,99950.0,材料1,正弦波,0.0997217975,99316.153,103937.16043119151,4.65282563974413
119,25,99950.0,材料1,正弦波,0.154722392,281919.8367,279719.778882114,-0.7803841842555953
120,25,99950.0,材料1,正弦波,0.1742349495,371891.5855,375431.10157895554,0.9517601948957116
121,25,99950.0,材料1,正弦波,0.195530397,486551.2281,500833.9034535643,2.9354926118136877
122,25,99950.0,材料1,正弦波,0.2209737635,642255.3272,653445.6382859813,1.7423461685817216
123,25,99950.0,材料1,正弦波,0.2424289075,808495.9048,824575.1595819895,1.9887861752332647
124,25,99950.0,材料1,正弦波,0.269807837,1026883.575,947040.3246978632,-7.775297243617589
125,25,112170.0,材料1,正弦波,0.0159862825,1114.703914,1325.1613181739792,18.880117090355824
126,25,112160.0,材料1,正弦波,0.019764219,1964.803519,1961.626817220308,-0.16168037918156533
127,25,112160.0,材料1,正弦波,0.024637775,3628.229323,3409.3542229409095,-6.032559702651699
128,25,112160.0,材料1,正弦波,0.027823195,4949.221631,4455.896802479396,-9.967725539519378
129,25,112160.0,材料1,正弦波,0.031160381,6603.373697,6674.782460912057,1.0813981941458055
130,25,112170.0,材料1,正弦波,0.035213722,9111.892514,9204.974546057983,1.0215444477090567
131,25,112160.0,材料1,正弦波,0.049445893,21305.04772,21210.09894784622,-0.445663269107088
132,25,112160.0,材料1,正弦波,0.0557533545,28708.38837,27957.75580461743,-2.6146802659496338
133,25,112160.0,材料1,正弦波,0.0621540015,36731.5784,37052.839322142376,0.8746177979173835
134,25,112160.0,材料1,正弦波,0.0700271965,49122.63239,50309.42519762623,2.4159796612769275
135,25,112160.0,材料1,正弦波,0.0785397905,64903.79723,61089.34118385833,-5.877092264146514
136,25,112160.0,材料1,正弦波,0.099347042,114103.3322,108378.7965171092,-5.016975028263733
137,25,112160.0,材料1,正弦波,0.1236948425,194634.2954,224761.43766747336,15.478845701657038
138,25,112160.0,材料1,正弦波,0.1550021295,329555.1343,334778.2870268148,1.5849101358742963
139,25,112160.0,材料1,正弦波,0.1738244219999999,432205.1043,417659.7373201875,-3.365385284694914
140,25,112160.0,材料1,正弦波,0.1972514825,579176.7738,603299.8300144414,4.16505932310945
141,25,112160.0,材料1,正弦波,0.2173333295,737413.5818,675483.6771886229,-8.398259286221512
142,25,112160.0,材料1,正弦波,0.272334886,1223675.078,1235625.76155005,0.9766222884576894
143,25,125860.0,材料1,正弦波,0.0168106915,1472.545902,1390.8325725925602,-5.549119337907057
144,25,125850.0,材料1,正弦波,0.0195156215,2256.015194,1991.1279937524928,-11.741374834353499
145,25,125860.0,材料1,正弦波,0.022027956,3084.707485,2956.7784122598096,-4.147202720590875
146,25,125860.0,材料1,正弦波,0.024779816,4200.974078,3735.975103336495,-11.068837037073122
147,25,125850.0,材料1,正弦波,0.0276260649999999,5525.178254,4546.776212268516,-17.708062921285148
148,25,125860.0,材料1,正弦波,0.039246581,13775.45003,14347.113516828042,4.149871587375223
149,25,125850.0,材料1,正弦波,0.043961569,18310.96022,17051.190713615153,-6.879865890423783
150,25,125860.0,材料1,正弦波,0.0494092225,24421.93184,24190.774887887954,-0.9465137877972527
151,25,125860.0,材料1,正弦波,0.0555298964999999,32684.68129,33533.02282842309,2.595532539834321
152,25,125860.0,材料1,正弦波,0.0701128375,56884.91087,55563.76222163786,-2.3224940114284145
153,25,125850.0,材料1,正弦波,0.079174438,76878.8708,86818.54115157032,12.929001490446336
154,25,125860.0,材料1,正弦波,0.1101001809999999,172790.731,160211.60241375104,-7.27997880062731
155,25,125860.0,材料1,正弦波,0.1752485959999999,516365.5506,521127.7487231534,0.9222532598504757
156,25,125860.0,材料1,正弦波,0.1954342495,679260.437,648531.9026382184,-4.5238221877747415
157,25,141250.0,材料1,正弦波,0.015724658,1402.690272,1333.1194319227384,-4.959814826267054
158,25,141260.0,材料1,正弦波,0.022040972,3564.3754,3124.947788262879,-12.32832018022347
159,25,141270.0,材料1,正弦波,0.0246616365,4792.365224,4347.298479233799,-9.28699554318861
160,25,141270.0,材料1,正弦波,0.0313891005,8888.402923,9435.463259324695,6.15476527182515
161,25,141260.0,材料1,正弦波,0.043889361,20972.82318,21586.087318551967,2.9240895862641194
162,25,141260.0,材料1,正弦波,0.055511165,37837.05515,35810.027966638714,-5.357254086834731
163,25,141260.0,材料1,正弦波,0.0624649495,49742.16541,51137.90901233855,2.8059566583684545
164,25,141260.0,材料1,正弦波,0.070411753,67223.83993,65686.45576813501,-2.286962725523956
165,25,141270.0,材料1,正弦波,0.0791556579999999,89782.66539,102425.0637003302,14.081112713031924
166,25,141260.0,材料1,正弦波,0.1235246755,266704.6966,267301.8982845322,0.22391869815020093
167,25,141260.0,材料1,正弦波,0.139823091,357572.7731,375575.52303129225,5.0347093754416115
168,25,141260.0,材料1,正弦波,0.175058288,619011.8338,650441.8532025825,5.077450492285311
169,25,141260.0,材料1,正弦波,0.218276942,1026071.684,1121237.9835215262,9.274819781648532
170,25,158500.0,材料1,正弦波,0.013948554,1187.754171,1206.687662478232,1.5940580921969139
171,25,158500.0,材料1,正弦波,0.0139649459999999,1192.605834,1261.7447722336335,5.797300018375858
172,25,158500.0,材料1,正弦波,0.015524442,1641.045747,1655.2233808192934,0.8639389758153728
173,25,158500.0,材料1,正弦波,0.0196700925,3044.949531,3213.309087366209,5.529141112263933
174,25,158500.0,材料1,正弦波,0.0220096895,4080.613099,3640.630963373184,-10.782255630523725
175,25,158510.0,材料1,正弦波,0.024808252,5648.015608,5834.794509515758,3.3069827436595616
176,25,158500.0,材料1,正弦波,0.034858277,13587.381,14205.684966733485,4.550575027913658
177,25,158500.0,材料1,正弦波,0.0391039539999999,18242.28949,18911.5680985607,3.668830104508447
178,25,158510.0,材料1,正弦波,0.043934542,24635.10959,23362.008803272016,-5.167830823227867
179,25,158510.0,材料1,正弦波,0.0495075985,33238.5309,35480.840741192755,6.746115969863027
180,25,158500.0,材料1,正弦波,0.055606653,44430.17965,43480.87390852144,-2.1366236845242152
181,25,158500.0,材料1,正弦波,0.0626846665,59069.01523,60087.883154403586,1.7248771127068414
182,25,158500.0,材料1,正弦波,0.0704552175,79066.42767,77584.71838673088,-1.8740056012816784
183,25,158500.0,材料1,正弦波,0.078823311,107275.1057,119972.18020403838,11.835993468555843
184,25,158500.0,材料1,正弦波,0.0878222295,139304.1316,132627.37236289022,-4.792936979271741
185,25,158500.0,材料1,正弦波,0.098362729,183014.8648,203264.2264328088,11.064326198277627
186,25,158510.0,材料1,正弦波,0.1096635159999999,237859.9575,236401.6955007676,-0.6130758680693044
187,25,158500.0,材料1,正弦波,0.1243688595,320931.3637,320698.2403593958,-0.07263962546898514
188,25,158500.0,材料1,正弦波,0.155684436,556312.9256,596806.5014196305,7.27892054205949
189,25,177820.0,材料1,正弦波,0.0138180935,1455.296582,1341.228851295822,-7.838108885503988
190,25,177820.0,材料1,正弦波,0.0154921505,1947.216719,2014.62687867841,3.461872477811756
191,25,177820.0,材料1,正弦波,0.0174531405,2619.028052,2436.9908401949165,-6.950563651506991
192,25,177830.0,材料1,正弦波,0.019648801,3573.989819,3702.1642387709135,3.5863118324935996
193,25,177820.0,材料1,正弦波,0.022132149,4896.646627,4711.838357006729,-3.774180251730693
194,25,177820.0,材料1,正弦波,0.0277168005,8757.571039,9212.58070525426,5.195614905411218
195,25,177820.0,材料1,正弦波,0.0346753805,15704.90259,15551.331144489825,-0.9778567210468458
196,25,177820.0,材料1,正弦波,0.039066398,21387.24118,20809.551788532193,-2.701093547343667
197,25,177820.0,材料1,正弦波,0.04409337,29039.82633,28004.41032706601,-3.565503426803693
198,25,177820.0,材料1,正弦波,0.0494174089999999,38777.3922,40186.60776506185,3.6341163887288213
199,25,177820.0,材料1,正弦波,0.05567526,51692.85659,50086.77854561283,-3.106963225355718
200,25,177820.0,材料1,正弦波,0.062634304,69575.88416,71129.73145121797,2.233313036518042
201,25,177820.0,材料1,正弦波,0.0700570325,94829.7604,91697.74746331034,-3.302774280435341
202,25,177820.0,材料1,正弦波,0.07807135,123936.1788,122463.93510455744,-1.1879047019985662
203,25,177820.0,材料1,正弦波,0.0981969239999999,216240.5996,221105.42497807991,2.249728028445556
204,25,177820.0,材料1,正弦波,0.1108415995,290107.5928,300012.28150061984,3.414143216667941
205,25,177820.0,材料1,正弦波,0.124426791,381807.5464,403632.1843239611,5.716135820190561
206,25,177820.0,材料1,正弦波,0.139227434,508254.8668,487203.5008957718,-4.141891653053667
207,25,199500.0,材料1,正弦波,0.012815212,1359.728946,1705.0200988389695,25.394116515260944
208,25,199500.0,材料1,正弦波,0.0123097255,1295.823376,1351.9896039970772,4.3344045984456105
209,25,199500.0,材料1,正弦波,0.0138156239999999,1713.519808,1716.2605236864904,0.15994654241489664
210,25,199510.0,材料1,正弦波,0.017499987,3131.491897,3167.921285605685,1.1633237384578579
211,25,199500.0,材料1,正弦波,0.019716653,4293.7631,4361.138758253348,1.5691517366979997
212,25,199500.0,材料1,正弦波,0.0221005489999999,5780.063046,5670.791464205259,-1.8904911750116746
213,25,199500.0,材料1,正弦波,0.0246384215,7703.877937,8033.71798818886,4.281480754059089
214,25,199500.0,材料1,正弦波,0.030924014,13727.56106,13405.170001871074,-2.348494803409205
215,25,199500.0,材料1,正弦波,0.0348577025,18846.99738,18603.396348419927,-1.2925190504805708
216,25,199500.0,材料1,正弦波,0.0440802045,34431.32807,36596.44430801359,6.288215875994778
217,25,199500.0,材料1,正弦波,0.0495806419999999,46554.40586,48373.47642846232,3.907407977523536
218,25,199500.0,材料1,正弦波,0.0557953465,61598.99788,61658.56261693538,0.09669757461219197
219,25,199510.0,材料1,正弦波,0.062398487,84808.51689,86765.35421822703,2.307359449246269
220,25,199500.0,材料1,正弦波,0.069263705,109976.8533,106311.21751900784,-3.333097530071049
221,25,199500.0,材料1,正弦波,0.0781414615,147898.0434,140416.93156659254,-5.058289928267879
222,25,199500.0,材料1,正弦波,0.087605485,195279.9663,183776.66911169305,-5.89066938419835
223,25,199500.0,材料1,正弦波,0.0989592105,263199.8984,290110.51528961776,10.224402461098272
224,25,199500.0,材料1,正弦波,0.137121147,584646.126,562065.2801820575,-3.8623100049315164
225,25,199500.0,材料1,正弦波,0.1550460585,778826.1991,777787.8699493441,-0.13331975116601968
226,25,223850.0,材料1,正弦波,0.012880902,1741.014541,1730.3330645723113,-0.6135202306554843
227,25,223850.0,材料1,正弦波,0.0123379605,1568.169639,1759.75374292504,12.217052234681093
228,25,223850.0,材料1,正弦波,0.0138385435,2071.805286,2091.2844524345824,0.9402025647009846
229,25,223850.0,材料1,正弦波,0.0175145485,3794.890527,3625.6109292302135,-4.460724138559228
230,25,223850.0,材料1,正弦波,0.027604383,12211.32658,12082.87254662001,-1.0519252968827772
231,25,223850.0,材料1,正弦波,0.0308131455,16267.93111,16412.57486971426,0.8891343265238318
232,25,223850.0,材料1,正弦波,0.034950774,22632.85134,21726.21009730443,-4.005863994225184
233,25,223850.0,材料1,正弦波,0.044258588,41569.50494,40756.33865270084,-1.9561606241711433
234,25,223850.0,材料1,正弦波,0.0497148669999999,56012.09577,53577.769842929825,-4.3460718503841385
235,25,223850.0,材料1,正弦波,0.061837243,98906.6499,97416.038445134,-1.5070892163197178
236,25,223850.0,材料1,正弦波,0.0879805724999999,237281.9938,222934.78357180615,-6.046480813157194
237,25,223850.0,材料1,正弦波,0.0988434775,314961.8538,307949.21975251805,-2.226502658298086
238,25,223850.0,材料1,正弦波,0.1232301235,544722.457,599935.668068591,10.136026220154713
239,25,223850.0,材料1,正弦波,0.1380034805,709348.3739,657973.6490985939,-7.24252379954686
240,25,251170.0,材料1,正弦波,0.013060222,2262.910587,2373.777252469224,4.899295009981066
241,25,251170.0,材料1,正弦波,0.012352814,1948.042054,2067.8528393057436,6.150318216166374
242,25,251170.0,材料1,正弦波,0.0138988745,2592.256897,2537.0111530142867,-2.1311832191342215
243,25,251170.0,材料1,正弦波,0.0175922765,4704.915331,4938.229838046707,4.958952300574506
244,25,251170.0,材料1,正弦波,0.019594025,6166.926736,6404.917872298409,3.859152970135244
245,25,251170.0,材料1,正弦波,0.0244874735,10941.64448,11476.836715741714,4.891332712555045
246,25,251170.0,材料1,正弦波,0.0276563474999999,14874.62098,16038.9584744635,7.827678406253414
247,25,251170.0,材料1,正弦波,0.034885413,27126.64693,27800.62030765003,2.484543627486335
248,25,251170.0,材料1,正弦波,0.039348111,37101.17357,38080.24926282773,2.6389345635670503
249,25,251170.0,材料1,正弦波,0.044325901,50336.60598,47782.398726029016,-5.074254022978496
250,25,251170.0,材料1,正弦波,0.0495336715,69303.99422,69519.67623710433,0.311211524720597
251,25,251170.0,材料1,正弦波,0.0551412099999999,90837.14978,86072.78182885401,-5.244955354373066
252,25,251170.0,材料1,正弦波,0.062117206,120548.5034,135638.09835595128,12.517446944887812
253,25,251170.0,材料1,正弦波,0.069716152,160968.1046,167199.02653176378,3.8709047032934945
254,25,251170.0,材料1,正弦波,0.078540248,216823.809,223839.38298989987,3.235610527393631
255,25,251170.0,材料1,正弦波,0.0880263239999999,286943.8736,281765.1837977606,-1.804774479854731
256,25,251170.0,材料1,正弦波,0.0984746815,385325.0273,393225.2450617677,2.050273717522339
257,25,281860.0,材料1,正弦波,0.013177977,2889.53144,3026.2390582153885,4.731134478169522
258,25,281850.0,材料1,正弦波,0.0124242965,2480.678594,2887.519879914548,16.400402974354357
259,25,281850.0,材料1,正弦波,0.013954087,3297.714089,3178.3883439500464,-3.6184381613913055
260,25,281850.0,材料1,正弦波,0.015637817,4341.331734,5006.428860322261,15.320117583123652
261,25,281850.0,材料1,正弦波,0.0174089799999999,5670.629505,5904.068264733173,4.116628665782907
262,25,281860.0,材料1,正弦波,0.024626468,13623.67457,14667.344767950644,7.660709983845755
263,25,281860.0,材料1,正弦波,0.027719368,18325.83964,19338.55839790428,5.526179306370272
264,25,281850.0,材料1,正弦波,0.031114646,24592.22803,27672.180257187792,12.524087786720942
265,25,281850.0,材料1,正弦波,0.035101665,33679.40394,33370.11405482525,-0.9183353889687188
266,25,281860.0,材料1,正弦波,0.039417137,45459.87546,45959.56440075514,1.0991867788877028
267,25,281850.0,材料1,正弦波,0.044073889,62572.44922,60289.851632756894,-3.647927507548358
268,25,281850.0,材料1,正弦波,0.0490508835,82051.91465,85790.56700628868,4.556447429942662
269,25,281850.0,材料1,正弦波,0.0552529975,110783.9294,105323.9855298096,-4.928462006864328
270,25,281850.0,材料1,正弦波,0.061963968,145390.1865,146274.1168070504,0.607971093737046
271,25,281850.0,材料1,正弦波,0.069778201,196252.4584,181258.7002991307,-7.640035810562518
272,50,50020.0,材料1,正弦波,0.027987218,1095.616077,1122.1879819629808,2.4252934509449386
273,50,50020.0,材料1,正弦波,0.0349970135,1909.33587,1976.3903465354535,3.5119267169821424
274,50,50020.0,材料1,正弦波,0.039646443,2623.160983,2267.956902123244,-13.541070608275207
275,50,50020.0,材料1,正弦波,0.0445801885,3549.272659,3562.6339219511533,0.37645073328679124
276,50,50030.0,材料1,正弦波,0.0497203294999999,4845.135951,4439.6498830236615,-8.368930656995278
277,50,50020.0,材料1,正弦波,0.055461479,6351.403688,4956.43547135836,-21.963148386823818
278,50,50020.0,材料1,正弦波,0.069985391,11029.67308,7264.955781953748,-34.13262814536886
279,50,50020.0,材料1,正弦波,0.079506478,15113.44827,14536.539262565571,-3.8171898108758304
280,50,50020.0,材料1,正弦波,0.0888382315,19940.16763,19808.944528946195,-0.6580842422627382
281,50,50030.0,材料1,正弦波,0.0987537565,26026.23789,25408.18723456196,-2.374721456286669
282,50,50020.0,材料1,正弦波,0.1105165625,34262.29336,36797.83709968012,7.400391191093675
283,50,50030.0,材料1,正弦波,0.1243425215,45874.56082,45660.53465018264,-0.4665465259866793
284,50,50020.0,材料1,正弦波,0.173944284,105597.3536,107331.62169100154,1.6423404866478901
285,50,50020.0,材料1,正弦波,0.1964880245,144536.8874,149720.04645537602,3.586045852109596
286,50,50020.0,材料1,正弦波,0.218875574,189925.2011,183419.7454680455,-3.4252724726768804
287,50,50030.0,材料1,正弦波,0.269986469,323386.9029,317069.07464039087,-1.9536438250756123
288,50,56320.0,材料1,正弦波,0.0245586984999999,978.4264497,1031.4353084815805,5.417766332649096
289,50,56320.0,材料1,正弦波,0.0276876294999999,1322.360361,1205.3666636096395,-8.847338504754262
