eventid,iyear,imonth,iday,country_txt,provstate,city,attacktype1,targtype1,weaptype1,claimed,gname,危害得分,受害者死亡,受害者受伤,线索组,嫌疑人代号,分组状态,组内高分关联数
201501010082,2015,1,1,Afghanistan,Kunduz,Unknown,2,14,5,0,Unknown,0.2121081678749839,0.0,0.0,G0002,2.0,重复作案候选组,19
201501010083,2015,1,1,Afghanistan,Kunduz,Imam Sahib district,3,3,6,0,Unknown,0.2053193122421252,0.0,0.0,G0002,2.0,重复作案候选组,19
201501010093,2015,1,1,Yemen,Unknown,Unknown,9,4,13,0,Tribesmen,0.7273922835228497,3.0,0.0,G0006,,重复作案候选组,11
201501010095,2015,1,1,Pakistan,Balochistan,Dalbandin,6,14,13,0,Unknown,0.1280103947032315,0.0,0.0,G0014,,重复作案候选组,24
201501010096,2015,1,1,Syria,Aleppo,Unknown,6,4,13,0,Islamic State of Iraq and the Levant (ISIL),0.1403157134774496,0.0,0.0,G0007,,重复作案候选组,43
201501020001,2015,1,2,Iraq,Baghdad,Baghdad,3,1,6,0,Unknown,0.7612925683461825,2.0,5.0,G0001,1.0,重复作案候选组,708
201501020002,2015,1,2,Iraq,Baghdad,Baghdad,3,14,6,0,Unknown,0.5255796761704256,1.0,6.0,G0001,1.0,重复作案候选组,742
201501020043,2015,1,2,Afghanistan,Uruzgan,Kharkrez,3,14,6,0,Unknown,0.3111958196409249,1.0,0.0,G0002,2.0,重复作案候选组,27
201501020044,2015,1,2,Somalia,Banaadir,Mogadishu,3,7,6,0,Unknown,0.405782176784229,1.0,2.0,G0017,,重复作案候选组,29
201501020045,2015,1,2,Somalia,Mudug,Galkayo,3,8,6,0,Al-Shabaab,0.744566312825296,1.0,10.0,G0017,,重复作案候选组,10
201501020048,2015,1,2,Pakistan,Gilgit-Baltistan,Chatorkhand,3,2,6,0,Unknown,0.1970259760925058,0.0,0.0,G0013,,重复作案候选组,5
201501020049,2015,1,2,Sri Lanka,North Western,Kurunegala,2,2,5,0,Unknown,0.234777844690143,0.0,1.0,G0037,,重复作案候选组,6
201501020053,2015,1,2,Pakistan,Balochistan,Jhal Magsi,2,3,5,0,Unknown,0.7074333924038098,1.0,0.0,G0014,,重复作案候选组,21
201501020055,2015,1,2,Iraq,Al Anbar,Fallujah,3,14,6,0,Unknown,0.8013805776778586,20.0,30.0,G0001,1.0,重复作案候选组,51
201501020056,2015,1,2,Iraq,Al Anbar,Ramadi,9,4,13,0,Islamic State of Iraq and the Levant (ISIL),0.2937708897976774,1.0,1.0,G0001,1.0,重复作案候选组,57
201501020058,2015,1,2,Pakistan,Khyber Pakhtunkhwa,Shinawari,2,4,5,0,Unknown,0.2417087428965934,0.0,1.0,G0013,,重复作案候选组,26
201501020059,2015,1,2,Afghanistan,Helmand,Lashkar Gah,3,1,6,0,Unknown,0.7446992295810744,4.0,,G0012,,重复作案候选组,19
201501020060,2015,1,2,Ukraine,Donetsk,Chermalyk,2,4,6,0,Donetsk People's Republic,0.2216076206392542,0.0,0.0,G0020,,重复作案候选组,38
201501020061,2015,1,2,Ukraine,Luhansk,Chernukhino,2,4,5,0,Luhansk People's Republic,0.241512039217864,0.0,0.0,G0020,,重复作案候选组,43
201501020062,2015,1,2,Ukraine,Luhansk,Chernukhino,2,4,5,0,Luhansk People's Republic,0.241512039217864,0.0,0.0,G0020,,重复作案候选组,43
201501020063,2015,1,2,Ukraine,Donetsk,Donetsk,2,4,6,0,Donetsk People's Republic,0.2216076206392542,0.0,0.0,G0020,,重复作案候选组,46
201501020073,2015,1,2,Bangladesh,Sylhet,Sylhet,1,2,6,0,Bangladesh Nationalist Party (BNP),0.1775768313065459,0.0,0.0,G0019,,重复作案候选组,24
201501020075,2015,1,2,Nigeria,Kaduna,Ambe Madaki,2,14,5,0,Fulani extremists,0.7228292068405914,15.0,5.0,G0015,,重复作案候选组,20
201501020076,2015,1,2,Nigeria,Plateau,Shurun,2,14,5,0,Fulani extremists,0.7228406017187129,10.0,,G0015,,重复作案候选组,24
201501020077,2015,1,2,Nigeria,Kaduna,Kaura district,1,14,5,0,Fulani extremists,0.7146855568219798,1.0,0.0,G0015,,重复作案候选组,10
201501020080,2015,1,2,Philippines,Basilan,Lamitan,3,14,6,0,Unknown,0.198179123217597,0.0,0.0,G0008,,重复作案候选组,19
201501020081,2015,1,2,Afghanistan,Nangarhar,Jalalabad,3,4,6,0,Unknown,0.2435131978523192,0.0,0.0,G0002,2.0,重复作案候选组,35
201501020082,2015,1,2,Afghanistan,Khost,Tani district,3,20,6,0,Unknown,0.2157140473827506,0.0,0.0,G0002,2.0,重复作案候选组,29
201501020083,2015,1,2,Yemen,Amanat Al Asimah,Sanaa,6,15,13,0,Houthi extremists (Ansar Allah),0.1429704126235866,,,G0006,,重复作案候选组,75
201501020094,2015,1,2,Mexico,Veracruz,Medellin de Bravo,1,10,9,0,Unknown,0.1804436234463762,1.0,0.0,G0061,,重复作案候选组,4
201501030035,2015,1,3,Iraq,Baghdad,Baghdad,1,2,6,0,Unknown,0.7319692269583891,1.0,4.0,G0001,1.0,重复作案候选组,727
201501030038,2015,1,3,Iraq,Diyala,Khanasah,3,1,6,0,Unknown,0.4837383685057383,0.0,8.0,G0001,1.0,重复作案候选组,37
201501030039,2015,1,3,Iraq,Saladin,Baiji district,1,4,6,0,Unknown,0.6993543173552976,0.0,2.0,G0001,1.0,重复作案候选组,43
201501030044,2015,1,3,Ukraine,Odessa,Odessa,3,1,6,0,Unknown,0.7340829419687529,0.0,0.0,G0038,,重复作案候选组,21
201501030047,2015,1,3,Philippines,Sultan Kudarat,Sumilalao,2,4,5,0,Bangsamoro Islamic Freedom Movement (BIFM),0.3968994822689057,1.0,2.0,G0008,,重复作案候选组,10
201501030048,2015,1,3,Philippines,Maguindanao,Kulasi,2,4,5,0,Bangsamoro Islamic Freedom Movement (BIFM),0.2759519624571688,0.0,1.0,G0008,,重复作案候选组,9
201501030050,2015,1,3,Afghanistan,Herat,Herat,3,7,6,0,Unknown,0.7367141488163744,0.0,0.0,G0012,,重复作案候选组,35
201501030052,2015,1,3,Afghanistan,Wardak,Saydabad district,6,3,5,0,Taliban,0.4940824094963611,4.0,0.0,G0002,2.0,重复作案候选组,37
201501030054,2015,1,3,Iraq,Kirkuk,Shajarah,6,14,13,0,Islamic State of Iraq and the Levant (ISIL),0.3288206694870189,,,G0001,1.0,重复作案候选组,32
201501030055,2015,1,3,Iraq,Kirkuk,Gharib,6,14,13,0,Islamic State of Iraq and the Levant (ISIL),0.3288206694870189,,,G0001,1.0,重复作案候选组,32
201501030056,2015,1,3,Iraq,Al Anbar,Ramadi,9,14,13,0,Islamic State of Iraq and the Levant (ISIL),0.2346788424694691,0.0,1.0,G0001,1.0,重复作案候选组,57
201501030059,2015,1,3,Afghanistan,Herat,Herat,3,4,6,0,Unknown,0.7744415890782052,0.0,2.0,G0012,,重复作案候选组,38
201501030060,2015,1,3,Pakistan,Balochistan,Dera Murad Jamali,3,21,6,0,Unknown,0.2353479391133655,0.0,0.0,G0014,,重复作案候选组,23
201501030061,2015,1,3,Pakistan,Balochistan,Awaran district,3,20,6,0,Unknown,0.1761575589864727,0.0,0.0,G0014,,重复作案候选组,13
201501030073,2015,1,3,Syria,Idlib,Kafr Uwayd,3,2,6,0,Unknown,0.7141016651051437,5.0,10.0,G0007,,重复作案候选组,21
201501030074,2015,1,3,Mali,Gao,Anderamboukane,1,2,5,0,Movement for Oneness and Jihad in West Africa (MUJAO),0.7034433951357937,2.0,2.0,G0032,,重复作案候选组,12
201501030075,2015,1,3,Nigeria,Yobe,Babban Gida,2,2,5,0,Boko Haram,0.7443036091813865,,,G0005,5.0,重复作案候选组,32
201501030082,2015,1,3,Afghanistan,Ghazni,Ghazni,2,14,5,0,Unknown,0.3648400677497925,2.0,0.0,G0002,2.0,重复作案候选组,34
201501030083,2015,1,3,Afghanistan,Nuristan,Waygal district,2,2,5,0,Unknown,0.308588704399249,1.0,0.0,G0002,2.0,重复作案候选组,16
201501030084,2015,1,3,Afghanistan,Nuristan,Waygal district,7,2,8,0,Unknown,0.7220321622981477,0.0,0.0,G0002,2.0,重复作案候选组,23
201501030085,2015,1,3,India,Chhattisgarh,Sukma district,3,4,6,0,Maoists,0.3349680300926031,0.0,2.0,G0022,,重复作案候选组,25
201501030090,2015,1,3,Yemen,Amanat Al Asimah,Sanaa,3,14,6,0,Unknown,0.2538834330006279,0.0,0.0,G0006,,重复作案候选组,58
201501030091,2015,1,3,Yemen,Hadramawt,Seiyun district,2,3,5,0,Al-Qaida in the Arabian Peninsula (AQAP),0.2891667258254122,1.0,0.0,G0006,,重复作案候选组,23
201501030092,2015,1,3,Pakistan,Federally Administered Tribal Areas,Kurram district,2,4,5,0,Unknown,0.2712061605522504,1.0,0.0,G0013,,重复作案候选组,19
201501030093,2015,1,3,Pakistan,Federally Administered Tribal Areas,Kurram district,7,14,8,0,Unknown,0.6889419146628444,0.0,0.0,G0013,,重复作案候选组,23
201501030096,2015,1,3,Ukraine,Luhansk,Novoaydar,3,4,6,0,Luhansk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,43
201501030097,2015,1,3,Ukraine,Donetsk,Hnutove,3,4,6,0,Donetsk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,42
201501030098,2015,1,3,Ukraine,Donetsk,Bohdanivka,3,4,6,0,Donetsk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,40
201501030099,2015,1,3,Ukraine,Donetsk,Orlivske,3,4,6,0,Donetsk People's Republic,0.2328952658108277,0.0,0.0,G0020,,重复作案候选组,34
201501030102,2015,1,3,Uganda,Central,Watuba,2,15,5,0,Unknown,0.1833998495494477,0.0,0.0,G0029,,重复作案候选组,9
201501040001,2015,1,4,Iraq,Saladin,Tuz Khormato district,3,14,6,0,Unknown,0.7626595494770491,0.0,2.0,G0001,1.0,重复作案候选组,41
201501040002,2015,1,4,Iraq,Baghdad,Baghdad,3,19,6,0,Unknown,0.766827144159572,2.0,3.0,G0001,1.0,重复作案候选组,596
201501040003,2015,1,4,Iraq,Al Qadisiyah,Diwaniyah,1,2,6,0,Unknown,0.6924294728562278,0.0,0.0,G0001,1.0,重复作案候选组,21
201501040004,2015,1,4,Iraq,Baghdad,Baghdad,3,14,6,0,Unknown,0.5382720375235113,1.0,7.0,G0001,1.0,重复作案候选组,704
201501040005,2015,1,4,Iraq,Kirkuk,Taza Khurmatu,3,1,6,0,Unknown,0.3264386207559065,1.0,0.0,G0001,1.0,重复作案候选组,30
201501040006,2015,1,4,Iraq,Baghdad,Baghdad,3,1,6,0,Unknown,0.6528762663777002,3.0,6.0,G0001,1.0,重复作案候选组,719
201501040007,2015,1,4,Iraq,Baghdad,Baghdad,3,14,6,0,Unknown,0.6771430690401242,3.0,8.0,G0001,1.0,重复作案候选组,755
201501040008,2015,1,4,Iraq,Saladin,Saba al-Bor,3,14,6,0,Unknown,0.762651037604759,3.0,7.0,G0001,1.0,重复作案候选组,47
201501040009,2015,1,4,Pakistan,Balochistan,Sibi,3,14,6,0,Unknown,0.208248495747011,0.0,0.0,G0014,,重复作案候选组,15
201501040012,2015,1,4,Yemen,Shabwah,Ataq,1,4,5,0,Al-Qaida in the Arabian Peninsula (AQAP),0.7145025299059155,1.0,0.0,G0006,,重复作案候选组,25
201501040013,2015,1,4,Ukraine,Odessa,Odessa,3,14,6,0,Unknown,0.7354385819921128,0.0,0.0,G0038,,重复作案候选组,25
201501040017,2015,1,4,Bangladesh,Dhaka,Dhaka,3,10,6,0,Unknown,0.2266232503371561,0.0,0.0,G0019,,重复作案候选组,213
201501040020,2015,1,4,Pakistan,Federally Administered Tribal Areas,Kalaya,3,14,6,0,Unknown,0.6819457946716646,4.0,8.0,G0013,,重复作案候选组,25
201501040021,2015,1,4,Pakistan,Sindh,Karachi,1,14,5,0,Tehrik-i-Taliban Pakistan (TTP),0.2673346391086724,1.0,0.0,G0014,,重复作案候选组,25
201501040023,2015,1,4,Pakistan,Federally Administered Tribal Areas,Mohmand district,9,12,13,0,Unknown,0.2040937647693729,0.0,1.0,G0013,,重复作案候选组,22
201501040024,2015,1,4,Iraq,Saladin,Tikrit district,6,2,13,0,Islamic State of Iraq and the Levant (ISIL),0.7003933241358772,,,G0001,1.0,重复作案候选组,51
201501040025,2015,1,4,Iraq,Al Anbar,Kanazah,9,4,13,0,Islamic State of Iraq and the Levant (ISIL),0.1964976280671793,0.0,0.0,G0001,1.0,重复作案候选组,43
201501040026,2015,1,4,Iraq,Al Anbar,Kilu Miat wa Sittin,2,4,6,0,Islamic State of Iraq and the Levant (ISIL),0.2488235212943943,,,G0001,1.0,重复作案候选组,35
201501040028,2015,1,4,Bangladesh,Dhaka,Dhaka,1,14,6,0,Unknown,0.4529326542385574,1.0,4.0,G0019,,重复作案候选组,222
201501040030,2015,1,4,Mali,Gao,Gao,7,7,8,0,Unknown,0.6920820492442538,0.0,0.0,G0032,,重复作案候选组,21
201501040035,2015,1,4,Afghanistan,Ghazni,Barah Kala,1,3,6,0,Unknown,0.7236639875952744,2.0,2.0,G0002,2.0,重复作案候选组,35
201501040036,2015,1,4,Afghanistan,Farah,Barangak,3,3,6,0,Unknown,0.3421590615179953,1.0,1.0,G0012,,重复作案候选组,23
201501040042,2015,1,4,India,Odisha,Keriaguda,6,14,5,0,Maoists,0.3392646627629557,2.0,0.0,G0022,,重复作案候选组,19
201501040043,2015,1,4,Libya,Sirte,Sirte,6,8,13,0,Unknown,0.2673490067393153,,,G0010,,重复作案候选组,25
201501040044,2015,1,4,Yemen,Hadramawt,Ghayl Ba Wazir,2,2,5,0,Al-Qaida in the Arabian Peninsula (AQAP),0.7157407018842693,0.0,0.0,G0006,,重复作案候选组,28
201501040053,2015,1,4,Bangladesh,Dhaka,Dhaka,3,1,6,0,Unknown,0.2803430933248783,0.0,1.0,G0019,,重复作案候选组,212
201501040054,2015,1,4,Bangladesh,Dhaka,Dhaka,3,20,6,0,Unknown,0.2157140473827506,0.0,0.0,G0019,,重复作案候选组,217
201501040067,2015,1,4,Philippines,Northern Samar,Napo,2,4,5,0,New People's Army (NPA),0.6959969460765394,1.0,0.0,G0008,,重复作案候选组,4
201501040068,2015,1,4,Ukraine,Donetsk,Nikishyne,2,4,6,0,Donetsk People's Republic,0.2659212103145957,,,G0020,,重复作案候选组,34
201501040069,2015,1,4,Ukraine,Donetsk,Nikishyne,2,4,6,0,Donetsk People's Republic,0.2659212103145957,,,G0020,,重复作案候选组,37
201501040070,2015,1,4,Ukraine,Donetsk,Nikishyne,2,4,6,0,Donetsk People's Republic,0.2659212103145957,,,G0020,,重复作案候选组,39
201501040071,2015,1,4,Ukraine,Donetsk,Donetsk,2,4,6,0,Donetsk People's Republic,0.2659212103145957,,,G0020,,重复作案候选组,37
201501050001,2015,1,5,Iraq,Baghdad,Baghdad,3,14,6,0,Unknown,0.5557500921413572,1.0,9.0,G0001,1.0,重复作案候选组,706
201501050002,2015,1,5,Iraq,Baghdad,Baghdad,3,1,6,0,Unknown,0.5242216908486285,1.0,6.0,G0001,1.0,重复作案候选组,718
201501050003,2015,1,5,Iraq,Babil,Latifiyah,3,4,6,0,Unknown,0.758354937010335,5.0,15.0,G0001,1.0,重复作案候选组,40
201501050004,2015,1,5,Iraq,Diyala,Haruniyah,3,8,6,0,Unknown,0.2108942818940639,0.0,0.0,G0001,1.0,重复作案候选组,40
201501050011,2015,1,5,Iraq,Diyala,Khalis,9,4,13,0,Islamic State of Iraq and the Levant (ISIL),0.6556298702291804,4.0,13.0,G0001,1.0,重复作案候选组,42
201501050012,2015,1,5,Iraq,Diyala,Muqdadiyah district,5,14,13,0,Islamic State of Iraq and the Levant (ISIL),0.5093273157320178,3.0,0.0,G0001,1.0,重复作案候选组,51
201501050022,2015,1,5,Ukraine,Dnipropetrovsk,Apostolove,3,20,6,0,Unknown,0.2494097050166006,0.0,0.0,G0038,,重复作案候选组,3
201501050023,2015,1,5,Ukraine,Dnipropetrovsk,Apostolove,3,20,6,0,Unknown,0.2494097050166006,0.0,0.0,G0038,,重复作案候选组,3
201501050024,2015,1,5,Ukraine,Kherson,Kherson,7,14,8,0,Unknown,0.6783165279017713,0.0,0.0,G0038,,重复作案候选组,10
201501050028,2015,1,5,Pakistan,Balochistan,Quetta,3,20,6,0,Unknown,0.2157140473827506,0.0,0.0,G0014,,重复作案候选组,38
201501050032,2015,1,5,Pakistan,Federally Administered Tribal Areas,Chamarkand,3,14,6,0,Unknown,0.7460630149420732,0.0,1.0,G0013,,重复作案候选组,19
201501050038,2015,1,5,Afghanistan,Kunar,Dangam district,3,4,6,0,Unknown,0.306903781067345,1.0,0.0,G0002,2.0,重复作案候选组,21
201501050042,2015,1,5,Somalia,Hiiraan,Luuq Jeelow,6,15,9,0,Al-Shabaab,0.1783866368215406,1.0,0.0,G0017,,重复作案候选组,29
201501050043,2015,1,5,Afghanistan,Sari Pul,Dahane Tarpac,3,2,6,0,Unknown,0.226062944732474,0.0,0.0,G0002,2.0,重复作案候选组,18
201501050045,2015,1,5,Yemen,Sanaa,Bayt Marran,6,14,13,0,Houthi extremists (Ansar Allah),0.2841257321732986,,,G0006,,重复作案候选组,33
201501050046,2015,1,5,Yemen,Marib,Al-Mashal,3,21,6,0,Unknown,0.7828679969512273,0.0,0.0,G0006,,重复作案候选组,19
201501050049,2015,1,5,Bangladesh,Dhaka,Dhaka,7,22,8,0,Awami League,0.674958779313254,0.0,0.0,G0019,,重复作案候选组,218
201501050050,2015,1,5,Bangladesh,Dhaka,Dhaka,3,20,6,0,Awami League,0.2157140473827506,0.0,0.0,G0019,,重复作案候选组,216
201501050055,2015,1,5,Afghanistan,Farah,Bala Buluk district,9,3,13,0,Taliban,0.2446460937631169,1.0,0.0,G0012,,重复作案候选组,23
201501050056,2015,1,5,Philippines,Pangasinan,Punta,2,2,5,0,Unknown,0.2542038512408258,1.0,0.0,G0033,,重复作案候选组,9
201501050057,2015,1,5,Philippines,Isabela,Patul,2,2,5,0,Unknown,0.2542038512408258,1.0,0.0,G0033,,重复作案候选组,12
201501050064,2015,1,5,Bangladesh,Chittagong,Khejur Chattar,3,14,6,0,Unknown,0.7460613950303786,0.0,2.0,G0019,,重复作案候选组,35
201501050066,2015,1,5,Egypt,North Sinai,Esh Shalaq,6,14,13,0,Sinai Province of the Islamic State,0.472457540859925,3.0,0.0,G0011,,重复作案候选组,23
201501050067,2015,1,5,United Kingdom,Northern Ireland,Balleymoney,2,14,5,0,Loyalists,0.2844232670510959,1.0,1.0,G0031,,重复作案候选组,23
201501060001,2015,1,6,Egypt,North Sinai,Sheikh Zuweid,3,3,6,0,Unknown,0.2509542494957421,0.0,0.0,G0011,,重复作案候选组,67
201501060004,2015,1,6,Egypt,Minya,Minya,2,3,5,0,Unknown,0.7566995904624191,2.0,0.0,G0011,,重复作案候选组,14
201501060007,2015,1,6,Afghanistan,Helmand,Shaykh Zai,3,14,6,0,Taliban,0.7460559176302335,3.0,2.0,G0012,,重复作案候选组,17
201501060008,2015,1,6,Burundi,Ruyigi,Kavumwe,5,22,5,0,Unknown,0.7200977297162187,3.0,0.0,G0029,,重复作案候选组,10
201501060009,2015,1,6,Pakistan,Balochistan,Sohbatpur,2,3,5,0,Unknown,0.4049217767224585,1.0,3.0,G0014,,重复作案候选组,21
201501060010,2015,1,6,Afghanistan,Wardak,Saydabad district,7,2,8,0,Unknown,0.6777185726228062,0.0,0.0,G0002,2.0,重复作案候选组,37
201501060011,2015,1,6,Pakistan,Balochistan,Kholu district,6,3,5,0,Unknown,0.2127089643301245,,,G0014,,重复作案候选组,25
201501060015,2015,1,6,Pakistan,Sindh,Karachi,2,14,5,0,Unknown,0.3987325621557632,2.0,1.0,G0014,,重复作案候选组,25
201501060016,2015,1,6,Iraq,Baghdad,Baghdad,3,14,6,0,Unknown,0.6149227692495867,2.0,6.0,G0001,1.0,重复作案候选组,709
201501060017,2015,1,6,Iraq,Baghdad,Baghdad,3,17,6,0,Unknown,0.488263920905352,1.0,4.0,G0001,1.0,重复作案候选组,670
201501060018,2015,1,6,Iraq,Diyala,Madain,3,14,6,0,Unknown,0.6276151306026725,2.0,7.0,G0001,1.0,重复作案候选组,87
201501060021,2015,1,6,Iraq,Al Anbar,Jubah,3,4,6,0,Islamic State of Iraq and the Levant (ISIL),0.8205029225885156,23.0,21.0,G0001,1.0,重复作案候选组,40
201501060022,2015,1,6,Iraq,Al Anbar,Hadithah,3,4,6,0,Islamic State of Iraq and the Levant (ISIL),0.7777934699628979,7.0,13.0,G0001,1.0,重复作案候选组,33
201501060027,2015,1,6,Syria,Aleppo,Kobani,9,14,13,0,Islamic State of Iraq and the Levant (ISIL),0.4521226838311172,9.0,,G0007,,重复作案候选组,30
201501060029,2015,1,6,Philippines,Sulu,Jolo,6,14,5,0,Abu Sayyaf Group (ASG),0.1367956045690636,0.0,0.0,G0008,,重复作案候选组,34
