线索组,事件数,累计危害,平均危害,最高单次危害,主要国家,国家数,起始事件编号,结束事件编号,已有归属记录数,已记录受害者死亡,已记录受害者受伤,嫌疑人代号
G0031,222,81.63293118049295,0.3677159062184367,0.7654100847470978,United Kingdom,2,201501050067,201612300009,67,4.0,32.0,
G0032,151,76.73775289081232,0.5081970390120021,0.8261680605689402,Mali,3,201501030074,201612260039,82,245.0,229.0,
G0033,198,68.33329489630701,0.3451176509914495,0.8005099741160185,Philippines,1,201501050056,201612220021,34,161.0,113.0,
G0034,83,67.64366336090954,0.8149838959145728,0.8271815866265688,Iraq,1,201608250037,201612010102,0,4.0,4.0,
G0035,131,62.31972037412941,0.4757230562910642,0.8367186696272844,Saudi Arabia,2,201503020022,201612090029,83,172.0,248.0,
G0036,121,60.320534115880186,0.4985168108750428,0.8502637943214892,Turkey,8,201501100001,201612280050,28,130.0,359.0,
G0037,110,47.97106548199736,0.4361005952908851,0.7945647928831087,India,2,201501010011,201612300017,29,16.0,54.0,
G0038,81,47.48873716374091,0.5862807057251964,0.7783965316440944,Ukraine,2,201501030044,201609190027,4,8.0,161.0,
G0039,80,41.01938052780416,0.512742256597552,0.788617198856728,Mozambique,1,201509120044,201612290030,69,51.0,86.0,
G0040,48,23.39383290506801,0.4873715188555834,0.7729477655255819,Myanmar,3,201502090036,201612190014,25,73.0,162.0,
G0041,67,19.28060258886337,0.2877701878934831,0.8379977859076866,Iraq,2,201502180038,201612300021,22,19.0,65.0,
G0042,57,19.1341393612823,0.335686655461093,0.7989319388877518,Russia,3,201502240093,201612030022,8,20.0,42.0,
G0043,37,17.967696069615837,0.4856134072869145,0.7751155761940838,Saudi Arabia,3,201501300072,201612130016,3,22.0,60.0,
G0044,34,13.372488445770678,0.3933084836991375,0.7585539232714065,South Africa,2,201501130078,201612260033,1,26.0,43.0,
G0045,16,10.599078432400749,0.6624424020250468,0.802867512946748,Republic of the Congo,2,201603260030,201610170084,1,19.0,2.0,
G0046,22,10.074475501839837,0.4579307046290835,0.7620970357190583,Indonesia,1,201501160071,201611230055,13,12.0,5.0,
G0047,12,8.311904094339228,0.692658674528269,0.7194902237116488,Australia,1,201503300083,201612110032,0,0.0,0.0,
G0048,15,8.12790990954223,0.5418606606361487,0.7762218926547196,United States,1,201506230056,201608230025,3,2.0,2.0,
G0049,19,7.941058210106279,0.4179504321108568,0.7729614951072526,Paraguay,2,201502180064,201610120030,15,16.0,2.0,
G0050,18,6.246522710561176,0.3470290394756208,0.7626561608414321,Algeria,2,201501080040,201612040021,3,10.0,15.0,
G0051,10,5.398913481373562,0.5398913481373562,0.755849278903099,Indonesia,1,201501010014,201601260049,9,13.0,2.0,
G0052,8,4.847792551935696,0.605974068991962,0.7378801137450991,United States,1,201502170127,201610030060,4,5.0,16.0,
G0053,8,4.529321500813293,0.5661651876016617,0.7839997867120613,Thailand,1,201502010045,201608180040,1,20.0,128.0,
G0054,9,4.198338666015232,0.4664820740016924,0.7428502647994792,China,1,201502130016,201506220061,8,32.0,28.0,
G0055,5,3.072872324243575,0.614574464848715,0.741416964546348,United States,1,201509300082,201612080038,3,14.0,20.0,
G0056,4,2.865220927730951,0.7163052319327378,0.7403673143718622,United States,1,201607310050,201610150013,0,0.0,0.0,
G0057,4,2.7631542935096993,0.6907885733774248,0.7190998385643782,United States,1,201607180070,201608050054,0,0.0,0.0,
G0058,7,2.5103723049015643,0.3586246149859377,0.7697938191788375,Kyrgyzstan,1,201504030084,201609200037,3,1.0,6.0,
G0059,4,2.484440952569385,0.6211102381423462,0.7416448832708822,Venezuela,1,201511250040,201609140031,0,7.0,52.0,
G0060,5,2.482906346744463,0.4965812693488926,0.7077067612384813,Australia,1,201507170050,201609230071,1,1.0,0.0,
G0061,9,2.3382958638688103,0.2598106515409789,0.5733844228582032,Mexico,1,201501020094,201604250050,0,11.0,5.0,
G0062,3,2.1113224826214356,0.7037741608738118,0.7190998385643782,United States,1,201607250048,201609020055,0,0.0,0.0,
G0063,3,2.0896435714170583,0.6965478571390195,0.7400710736389847,United States,1,201605250055,201611250026,0,0.0,0.0,
G0064,3,2.026703743374479,0.6755679144581596,0.6880269931822369,United States,1,201512260016,201611230062,0,0.0,0.0,
G0065,4,1.915193041096377,0.4787982602740942,0.6599328705269296,Ivory Coast,1,201501100074,201512020049,0,9.0,10.0,
G0066,5,1.857085004821887,0.3714170009643774,0.6895278712711662,Peru,1,201502120108,201508050112,1,4.0,7.0,
G0067,3,1.7465863455449957,0.5821954485149985,0.7762218926547196,United States,1,201508020114,201508140093,0,0.0,0.0,
G0068,5,1.5970677809283085,0.3194135561856616,0.7395971294250308,Russia,1,201508070082,201610310037,2,0.0,7.0,
G0069,3,1.5442604125360226,0.5147534708453408,0.6962103155664083,United States,1,201607070018,201612150044,2,0.0,1.0,
G0070,3,1.5440461358884428,0.5146820452961476,0.6758214526402383,Maldives,1,201509280048,201601110078,0,0.0,6.0,
G0071,2,1.5256783125303013,0.7628391562651506,0.7628391562651506,Chile,1,201608050045,201608050046,0,0.0,0.0,
G0072,3,1.4470477415815168,0.4823492471938389,0.6747862488890367,United States,1,201607040048,201607060034,3,0.0,0.0,
G0073,2,1.3440496508486028,0.6720248254243014,0.6751766340363073,Australia,1,201606280010,201607240025,0,0.0,0.0,
G0074,2,1.1604806388656572,0.5802403194328286,0.7140303944300959,China,1,201503060013,201604280056,2,8.0,14.0,
G0075,3,1.110798428847104,0.3702661429490346,0.6747862488890367,Canada,1,201508300065,201511160028,0,0.0,1.0,
G0076,2,1.056512167513445,0.5282560837567225,0.6750789710340862,United States,1,201511230084,201512080038,2,0.0,5.0,
G0077,2,1.03514532317185,0.517572661585925,0.7209232847255107,Peru,1,201604090031,201604090032,2,10.0,7.0,
G0078,2,0.985555878948118,0.492777939474059,0.6751201965786129,Niger,1,201610140016,201610290086,1,2.0,4.0,
G0079,2,0.9538469275296052,0.4769234637648025,0.6764346110574461,United States,1,201608200042,201610160022,0,0.0,2.0,
G0080,3,0.9497558496816364,0.3165852832272121,0.4228218199229854,Saudi Arabia,1,201509240004,201509240047,3,4.0,0.0,
G0081,2,0.9416356288500806,0.4708178144250403,0.7306252679839866,Brazil,1,201507300031,201510050073,0,0.0,0.0,
G0082,2,0.9342140580598592,0.4671070290299296,0.6635977791581559,United States,1,201503200036,201508010105,0,0.0,2.0,
G0083,2,0.8982272911813207,0.4491136455906603,0.6943327959805626,Chile,1,201601150078,201604010042,1,0.0,0.0,
G0084,2,0.8904242758304394,0.4452121379152197,0.6989681804996728,Brazil,1,201505130058,201611150061,0,1.0,0.0,
G0085,2,0.889567419571852,0.444783709785926,0.6788697885255481,Malaysia,1,201502140074,201503050048,0,0.0,1.0,
G0086,2,0.8523798101251774,0.4261899050625887,0.6751766340363073,Australia,1,201501240090,201504170084,0,0.0,0.0,
G0087,2,0.8403178589408706,0.4201589294704353,0.722249990230673,Mexico,1,201502040105,201506030098,0,0.0,5.0,
G0088,3,0.8182469117960867,0.2727489705986956,0.3421749883963801,China,1,201506170103,201611200065,3,0.0,1.0,
G0089,1,0.7625350482555738,0.7625350482555738,0.7625350482555738,Democratic Republic of the Congo,1,201503190073,201503190073,0,,,
G0090,1,0.7525835280072806,0.7525835280072806,0.7525835280072806,Ethiopia,1,201506040081,201506040081,0,4.0,0.0,
G0091,1,0.75068110866236,0.75068110866236,0.75068110866236,China,1,201612280005,201612280005,1,2.0,0.0,
G0092,1,0.7473216009102783,0.7473216009102783,0.7473216009102783,Tanzania,1,201505010123,201505010123,0,0.0,4.0,
G0093,1,0.744708328729826,0.744708328729826,0.744708328729826,India,1,201612100021,201612100021,0,0.0,0.0,
G0094,1,0.7413671237065507,0.7413671237065507,0.7413671237065507,Greece,1,201605190058,201605190058,0,66.0,0.0,
G0095,1,0.7400710736389847,0.7400710736389847,0.7400710736389847,United States,1,201604210055,201604210055,0,0.0,0.0,
G0096,1,0.7359918426158895,0.7359918426158895,0.7359918426158895,Indonesia,1,201610130016,201610130016,0,0.0,0.0,
G0097,1,0.7321833296087682,0.7321833296087682,0.7321833296087682,Canada,1,201505220063,201505220063,0,0.0,1.0,
G0098,1,0.7293390498020984,0.7293390498020984,0.7293390498020984,Madagascar,1,201606260027,201606260027,0,3.0,91.0,
G0099,1,0.7264635388049997,0.7264635388049997,0.7264635388049997,Mali,1,201602290067,201602290067,1,0.0,0.0,
G0100,1,0.7215350160324803,0.7215350160324803,0.7215350160324803,Indonesia,1,201510130072,201510130072,1,0.0,0.0,
G0101,1,0.7214366822660069,0.7214366822660069,0.7214366822660069,Ukraine,1,201508220103,201508220103,0,0.0,0.0,
G0102,1,0.7197408550483965,0.7197408550483965,0.7197408550483965,Malta,1,201507060097,201507060097,0,0.0,0.0,
G0103,1,0.7181668413008214,0.7181668413008214,0.7181668413008214,Italy,1,201611260022,201611260022,1,0.0,0.0,
G0104,1,0.714799118930268,0.714799118930268,0.714799118930268,Indonesia,1,201601010022,201601010022,0,0.0,0.0,
G0105,1,0.7101793980431637,0.7101793980431637,0.7101793980431637,Myanmar,1,201510070088,201510070088,1,0.0,0.0,
G0106,1,0.708047813370236,0.708047813370236,0.708047813370236,China,1,201507200026,201507200026,0,2.0,23.0,
G0107,1,0.7075568333795498,0.7075568333795498,0.7075568333795498,Chile,1,201609290042,201609290042,1,0.0,2.0,
G0108,1,0.7074286612640108,0.7074286612640108,0.7074286612640108,United States,1,201610090043,201610090043,0,0.0,0.0,
G0109,1,0.7058160431403768,0.7058160431403768,0.7058160431403768,China,1,201507290059,201507290059,0,0.0,2.0,
G0110,2,0.7040133825804504,0.3520066912902252,0.405907213747901,Senegal,1,201507080080,201510300069,2,0.0,4.0,
G0111,1,0.703890028166925,0.703890028166925,0.703890028166925,Haiti,1,201605160008,201605160008,0,1.0,,
G0112,1,0.7032087671218937,0.7032087671218937,0.7032087671218937,China,1,201512060039,201512060039,0,0.0,13.0,
G0113,1,0.6956673185372831,0.6956673185372831,0.6956673185372831,Japan,1,201503250043,201503250043,0,0.0,0.0,
G0114,1,0.679551507418671,0.679551507418671,0.679551507418671,Peru,1,201611200068,201611200068,0,1.0,0.0,
G0115,1,0.6769608878784116,0.6769608878784116,0.6769608878784116,Russia,1,201610260039,201610260039,0,0.0,0.0,
G0116,1,0.675473581701875,0.675473581701875,0.675473581701875,Venezuela,1,201503270050,201503270050,0,0.0,0.0,
G0117,1,0.6754693561813568,0.6754693561813568,0.6754693561813568,Australia,1,201505170064,201505170064,0,0.0,0.0,
G0118,1,0.6747862488890367,0.6747862488890367,0.6747862488890367,United States,1,201507150077,201507150077,0,0.0,0.0,
G0119,1,0.6747862488890367,0.6747862488890367,0.6747862488890367,United States,1,201609240025,201609240025,0,0.0,0.0,
G0120,2,0.6715309161743435,0.3357654580871717,0.4480387895145756,Saudi Arabia,1,201605170070,201610100051,1,0.0,8.0,
G0121,1,0.6656016541646785,0.6656016541646785,0.6656016541646785,New Zealand,1,201602040040,201602040040,0,0.0,0.0,
G0122,1,0.6635977791581559,0.6635977791581559,0.6635977791581559,United States,1,201509040048,201509040048,0,0.0,0.0,
G0123,1,0.6552418873718246,0.6552418873718246,0.6552418873718246,Canada,1,201609180039,201609180039,0,0.0,0.0,
G0124,1,0.6546246210446036,0.6546246210446036,0.6546246210446036,France,1,201611050021,201611050021,0,0.0,0.0,
G0125,1,0.6527510989413768,0.6527510989413768,0.6527510989413768,Spain,1,201512260062,201512260062,1,0.0,0.0,
G0126,1,0.650863936590707,0.650863936590707,0.650863936590707,Cyprus,1,201612120053,201612120053,0,0.0,0.0,
G0127,1,0.6427817172957936,0.6427817172957936,0.6427817172957936,Germany,1,201501110002,201501110002,0,0.0,0.0,
G0128,1,0.6289449656787621,0.6289449656787621,0.6289449656787621,Mexico,1,201612310044,201612310044,0,0.0,0.0,
G0129,2,0.6216986168534995,0.3108493084267497,0.45603924531483,Guinea,1,201501200045,201504050039,0,1.0,3.0,
G0130,1,0.5968380570730306,0.5968380570730306,0.5968380570730306,Ethiopia,1,201512310022,201512310022,0,2.0,6.0,
G0131,1,0.5930551200924672,0.5930551200924672,0.5930551200924672,Egypt,1,201606300028,201606300028,0,6.0,3.0,
G0132,1,0.5501740457389566,0.5501740457389566,0.5501740457389566,Saudi Arabia,1,201507030103,201507030103,0,3.0,3.0,
G0133,1,0.5133488231842592,0.5133488231842592,0.5133488231842592,Ethiopia,1,201512110029,201512110029,0,0.0,17.0,
G0134,2,0.5089493608515061,0.254474680425753,0.3021256821458622,Argentina,1,201511230095,201603050051,0,0.0,2.0,
G0135,1,0.487880280370137,0.487880280370137,0.487880280370137,China,1,201509180067,201509180067,1,50.0,,
G0136,1,0.4831553671965094,0.4831553671965094,0.4831553671965094,Ecuador,1,201612140056,201612140056,1,1.0,7.0,
G0137,1,0.4754332402586005,0.4754332402586005,0.4754332402586005,China,1,201507290043,201507290043,0,1.0,6.0,
G0138,1,0.4633664674748687,0.4633664674748687,0.4633664674748687,Canada,1,201601090036,201601090036,0,0.0,30.0,
G0139,1,0.4575565170969493,0.4575565170969493,0.4575565170969493,Somalia,1,201510060028,201510060028,1,2.0,2.0,
G0140,2,0.4550160606656926,0.2275080303328463,0.2336521240088347,Mexico,1,201507030100,201612110014,0,1.0,0.0,
G0141,2,0.4456930830383838,0.2228465415191919,0.2228465415191919,Cyprus,1,201503050058,201503080076,0,0.0,0.0,
G0142,1,0.4203399679190804,0.4203399679190804,0.4203399679190804,Ethiopia,1,201608260003,201608260003,1,1.0,3.0,
G0143,1,0.4067370608773686,0.4067370608773686,0.4067370608773686,Paraguay,1,201501300103,201501300103,1,2.0,0.0,
G0144,1,0.3751486354089673,0.3751486354089673,0.3751486354089673,Lesotho,1,201502010135,201502010135,0,1.0,2.0,
G0145,1,0.3531381317865172,0.3531381317865172,0.3531381317865172,Honduras,1,201610180047,201610180047,0,2.0,0.0,
G0146,2,0.3508563892943891,0.1754281946471945,0.1965355819594836,Indonesia,1,201611060027,201611160046,0,0.0,0.0,
G0147,1,0.344934646291665,0.344934646291665,0.344934646291665,Burkina Faso,1,201511290029,201511290029,1,1.0,1.0,
G0148,1,0.3248983400304844,0.3248983400304844,0.3248983400304844,Indonesia,1,201503230058,201503230058,1,2.0,0.0,
G0149,1,0.3200948460476799,0.3200948460476799,0.3200948460476799,Spain,1,201610150035,201610150035,1,0.0,4.0,
G0150,1,0.3024925326287689,0.3024925326287689,0.3024925326287689,South Africa,1,201608170052,201608170052,0,1.0,1.0,
G0151,1,0.2920962322707269,0.2920962322707269,0.2920962322707269,Algeria,1,201505030051,201505030051,0,1.0,0.0,
G0152,1,0.2891667258254122,0.2891667258254122,0.2891667258254122,Saudi Arabia,1,201605050036,201605050036,0,1.0,0.0,
G0153,1,0.2891667258254122,0.2891667258254122,0.2891667258254122,Saudi Arabia,1,201605080046,201605080046,0,1.0,0.0,
G0154,1,0.2798251440030406,0.2798251440030406,0.2798251440030406,South Africa,1,201607260034,201607260034,0,1.0,0.0,
G0155,1,0.2755331054294608,0.2755331054294608,0.2755331054294608,Sierra Leone,1,201612220014,201612220014,0,1.0,0.0,
G0156,1,0.268602059601118,0.268602059601118,0.268602059601118,South Africa,1,201609140037,201609140037,0,1.0,0.0,
G0157,1,0.2586358632425785,0.2586358632425785,0.2586358632425785,Guinea,1,201602050060,201602050060,0,1.0,0.0,
G0158,1,0.2572633756255905,0.2572633756255905,0.2572633756255905,Malaysia,1,201606210062,201606210062,0,1.0,0.0,
G0159,1,0.2449971200560692,0.2449971200560692,0.2449971200560692,Democratic Republic of the Congo,1,201504160071,201504160071,0,1.0,0.0,
G0160,1,0.2447123116703122,0.2447123116703122,0.2447123116703122,Brazil,1,201508060105,201508060105,0,1.0,0.0,
G0161,1,0.2447123116703122,0.2447123116703122,0.2447123116703122,Brazil,1,201604090058,201604090058,0,1.0,0.0,
G0162,1,0.2321671886221745,0.2321671886221745,0.2321671886221745,Canada,1,201601100041,201601100041,1,0.0,1.0,
G0163,1,0.2201014180421312,0.2201014180421312,0.2201014180421312,Bosnia-Herzegovina,1,201412220095,201412220095,1,0.0,1.0,
G0164,1,0.2142892303413836,0.2142892303413836,0.2142892303413836,Chile,1,201502210042,201502210042,0,0.0,0.0,
G0165,1,0.2095176874213609,0.2095176874213609,0.2095176874213609,Ghana,1,201611010032,201611010032,0,0.0,0.0,
G0166,1,0.2018172458659695,0.2018172458659695,0.2018172458659695,Hungary,1,201505160090,201505160090,0,0.0,0.0,
G0167,1,0.1947013802006337,0.1947013802006337,0.1947013802006337,Poland,1,201605230039,201605230039,1,0.0,0.0,
G0168,1,0.1942963132804153,0.1942963132804153,0.1942963132804153,India,1,201605250033,201605250033,0,0.0,0.0,
G0169,1,0.1914694292786166,0.1914694292786166,0.1914694292786166,South Korea,1,201503050050,201503050050,0,0.0,1.0,
G0170,1,0.1889616531485753,0.1889616531485753,0.1889616531485753,Russia,1,201605250057,201605250057,0,0.0,1.0,
G0171,1,0.1889616531485753,0.1889616531485753,0.1889616531485753,Russia,1,201609260031,201609260031,0,0.0,1.0,
G0172,1,0.1821142073026753,0.1821142073026753,0.1821142073026753,Mozambique,1,201508220127,201508220127,1,0.0,0.0,
G0173,1,0.1821142073026753,0.1821142073026753,0.1821142073026753,Mozambique,1,201602170068,201602170068,1,0.0,0.0,
G0174,1,0.1807516045165913,0.1807516045165913,0.1807516045165913,Mali,1,201603080048,201603080048,0,0.0,0.0,
G0175,1,0.1759692686404266,0.1759692686404266,0.1759692686404266,Brazil,1,201505230043,201505230043,0,1.0,0.0,
G0176,1,0.1722088667011768,0.1722088667011768,0.1722088667011768,China,1,201507130028,201507130028,0,0.0,0.0,
G0177,1,0.1664752392784267,0.1664752392784267,0.1664752392784267,Russia,1,201605110052,201605110052,0,0.0,1.0,
G0178,1,0.1661928001135512,0.1661928001135512,0.1661928001135512,Guyana,1,201606040029,201606040029,0,0.0,0.0,
G0179,1,0.1633550758982677,0.1633550758982677,0.1633550758982677,Myanmar,1,201510290101,201510290101,0,0.0,1.0,
G0180,1,0.1557723309761857,0.1557723309761857,0.1557723309761857,Angola,1,201605310056,201605310056,0,0.0,0.0,
G0181,1,0.1482407770649046,0.1482407770649046,0.1482407770649046,Trinidad and Tobago,1,201506230072,201506230072,0,0.0,0.0,
G0182,1,0.1477885933318892,0.1477885933318892,0.1477885933318892,Democratic Republic of the Congo,1,201603240036,201603240036,1,0.0,,
G0183,1,0.1461287413264567,0.1461287413264567,0.1461287413264567,Uzbekistan,1,201509280053,201509280053,0,0.0,0.0,
G0184,1,0.1394247539236489,0.1394247539236489,0.1394247539236489,Indonesia,1,201611140016,201611140016,0,0.0,0.0,
G0185,1,0.1260109064469776,0.1260109064469776,0.1260109064469776,United States,1,201507190097,201507190097,0,0.0,0.0,
G0186,1,0.1207531337370589,0.1207531337370589,0.1207531337370589,Morocco,1,201511050044,201511050044,0,0.0,,
G0187,1,0.0788700560780704,0.0788700560780704,0.0788700560780704,Italy,1,201507130088,201507130088,0,0.0,0.0,
