split,eventid,gname
train_2015,201503080014,New People's Army (NPA)
train_2015,201503080017,New People's Army (NPA)
train_2015,201503080084,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503090017,Popular Resistance Movement (Egypt)
train_2015,201503090033,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503100005,Sinai Province of the Islamic State
train_2015,201503100006,Sinai Province of the Islamic State
train_2015,201503100024,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503110009,Sinai Province of the Islamic State
train_2015,201503110012,Barqa Province of the Islamic State
train_2015,201503110024,Al-Shabaab
train_2015,201503110062,Al-Nusrah Front
train_2015,201503120014,Sudan People's Liberation Movement - North
train_2015,201503120015,Sudan People's Liberation Movement - North
train_2015,201503120016,Sudan People's Liberation Movement - North
train_2015,201503120017,Al-Shabaab
train_2015,201503120028,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503130009,Al-Shabaab
train_2015,201503130010,Lashkar-e-Balochistan
train_2015,201503150010,Al-Shabaab
train_2015,201503170017,Al-Shabaab
train_2015,201503180026,New People's Army (NPA)
train_2015,201503180027,New People's Army (NPA)
train_2015,201503180032,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503190013,Al-Shabaab
train_2015,201503190014,Al-Shabaab
train_2015,201503190020,Al-Shabaab
train_2015,201503190022,Barqa Province of the Islamic State
train_2015,201503190023,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503200005,Sanaa Province of the Islamic State
train_2015,201503200010,Sanaa Province of the Islamic State
train_2015,201503200011,Sanaa Province of the Islamic State
train_2015,201503200012,Sanaa Province of the Islamic State
train_2015,201503200013,Sanaa Province of the Islamic State
train_2015,201503200020,Khorasan Chapter of the Islamic State
train_2015,201503200022,Al-Shabaab
train_2015,201503200071,Houthi extremists (Ansar Allah)
train_2015,201503210061,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201503210064,Sudan People's Liberation Movement - North
train_2015,201503220019,Al-Shabaab
train_2015,201503220033,Al-Nusrah Front
train_2015,201503230005,Al-Shabaab
train_2015,201503230034,Baloch Liberation Front (BLF)
train_2015,201503230042,Sudan People's Liberation Movement in Opposition (SPLM-IO)
train_2015,201503240030,Sinai Province of the Islamic State
train_2015,201503240035,Baloch Liberation Army (BLA)
train_2015,201503240099,Paraguayan People's Army (EPP)
train_2015,201503250018,Al-Shabaab
train_2015,201503250084,Houthi extremists (Ansar Allah)
train_2015,201503260002,Al-Shabaab
train_2015,201503260022,New People's Army (NPA)
train_2015,201503270008,Al-Shabaab
train_2015,201503270029,United Liberation Front of Assam (ULFA)
train_2015,201503280016,Ajnad Misr
train_2015,201503280027,New People's Army (NPA)
train_2015,201503280036,Sudan People's Liberation Movement - North
train_2015,201503290016,New People's Army (NPA)
train_2015,201503290020,Baloch Liberation Front (BLF)
train_2015,201503290025,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201503300040,Al-Shabaab
train_2015,201504020007,Sinai Province of the Islamic State
train_2015,201504020008,Sinai Province of the Islamic State
train_2015,201504020009,Sinai Province of the Islamic State
train_2015,201504020010,Sinai Province of the Islamic State
train_2015,201504020011,Sinai Province of the Islamic State
train_2015,201504020031,Al-Shabaab
train_2015,201504030016,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201504030045,Baloch Liberation Front (BLF)
train_2015,201504040026,Khorasan Chapter of the Islamic State
train_2015,201504040059,National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM)
train_2015,201504050016,Ajnad Misr
train_2015,201504060029,Al-Shabaab
train_2015,201504060030,Al-Shabaab
train_2015,201504060031,Al-Shabaab
train_2015,201504060041,Baloch Liberation Front (BLF)
train_2015,201504070003,Al-Shabaab
train_2015,201504070005,Lashkar-e-Balochistan
train_2015,201504080007,Sinai Province of the Islamic State
train_2015,201504080008,Sinai Province of the Islamic State
train_2015,201504080009,Sinai Province of the Islamic State
train_2015,201504080046,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201504110013,Baloch Liberation Front (BLF)
train_2015,201504120007,Sinai Province of the Islamic State
train_2015,201504120009,Sinai Province of the Islamic State
train_2015,201504130014,Sinai Province of the Islamic State
train_2015,201504130015,Sinai Province of the Islamic State
train_2015,201504130060,Al-Shabaab
train_2015,201504130076,New People's Army (NPA)
train_2015,201504130086,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201504140001,Al-Shabaab
train_2015,201504140008,New People's Army (NPA)
train_2015,201504140057,Sinai Province of the Islamic State
train_2015,201504150035,Revolutionary Armed Forces of Colombia (FARC)
train_2015,201504150096,Lashkar-e-Balochistan
train_2015,201504160002,Sinai Province of the Islamic State
train_2015,201504160003,Sinai Province of the Islamic State
train_2015,201504160005,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201504160034,Khorasan Chapter of the Islamic State
train_2015,201504160038,Baloch Liberation Front (BLF)
train_2015,201504160044,Sudan People's Liberation Movement - North
train_2015,201504160075,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201504170003,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201504180007,Khorasan Chapter of the Islamic State
train_2015,201504180018,Al-Shabaab
train_2015,201504180020,Al-Shabaab
train_2015,201504190003,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201504190004,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201504190008,Al-Shabaab
train_2015,201504200002,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201504200013,Al-Shabaab
train_2015,201504200018,Sinai Province of the Islamic State
train_2015,201504210005,Baloch Liberation Front (BLF)
train_2015,201504210010,Al-Shabaab
train_2015,201504220076,Sinai Province of the Islamic State
train_2015,201504230009,Al-Nusrah Front
train_2015,201504230015,Al-Shabaab
train_2015,201504250021,Al-Shabaab
train_2015,201504250024,Al-Shabaab
train_2015,201504260028,Al-Shabaab
train_2015,201504260029,Al-Shabaab
train_2015,201504260047,Al-Shabaab
train_2015,201504260057,Sinai Province of the Islamic State
train_2015,201504270001,Barqa Province of the Islamic State
train_2015,201504270046,New People's Army (NPA)
train_2015,201504270057,The New Irish Republican Army
train_2015,201504280016,Al-Shabaab
train_2015,201504280048,Coordination of Azawad Movements (CMA)
train_2015,201504290033,Coordination of Azawad Movements (CMA)
train_2015,201504300046,Baloch Liberation Front (BLF)
train_2015,201504300052,Coordination of Azawad Movements (CMA)
train_2015,201504300059,Hadramawt Province of the Islamic State
train_2015,201504300067,Al-Shabaab
train_2015,201504300068,Al-Shabaab
train_2015,201505030010,Halqa-e-Mehsud
train_2015,201505040001,Al-Nusrah Front
train_2015,201505040002,Al-Nusrah Front
train_2015,201505040004,Abu Sayyaf Group (ASG)
train_2015,201505040005,Sinai Province of the Islamic State
train_2015,201505040007,Al-Shabaab
train_2015,201505040041,Al-Shabaab
train_2015,201505040043,Al-Shabaab
train_2015,201505040045,Al-Nusrah Front
train_2015,201505040046,Al-Nusrah Front
train_2015,201505040070,Al-Nusrah Front
train_2015,201505040071,Al-Nusrah Front
train_2015,201505040072,Al-Nusrah Front
train_2015,201505040073,Al-Nusrah Front
train_2015,201505040074,Al-Nusrah Front
train_2015,201505040075,Al-Nusrah Front
train_2015,201505050051,Baloch Liberation Army (BLA)
train_2015,201505050098,Sinai Province of the Islamic State
train_2015,201505050102,Coordination of Azawad Movements (CMA)
train_2015,201505060005,Al-Shabaab
train_2015,201505060006,Al-Shabaab
train_2015,201505060070,Al-Shabaab
train_2015,201505060078,Houthi extremists (Ansar Allah)
train_2015,201505060079,Houthi extremists (Ansar Allah)
train_2015,201505070079,Al-Shabaab
train_2015,201505080001,Sinai Province of the Islamic State
train_2015,201505080003,Barqa Province of the Islamic State
train_2015,201505080005,Al-Shabaab
train_2015,201505100068,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201505110009,Barqa Province of the Islamic State
train_2015,201505110013,Houthi extremists (Ansar Allah)
train_2015,201505110014,Houthi extremists (Ansar Allah)
train_2015,201505110057,Al-Shabaab
train_2015,201505120003,Barqa Province of the Islamic State
train_2015,201505120055,Houthi extremists (Ansar Allah)
train_2015,201505120066,New People's Army (NPA)
train_2015,201505130026,Sinai Province of the Islamic State
train_2015,201505130068,Halqa-e-Mehsud
train_2015,201505140037,Abu Sayyaf Group (ASG)
train_2015,201505140038,Al-Shabaab
train_2015,201505140039,Al-Shabaab
train_2015,201505140074,Khorasan Chapter of the Islamic State
train_2015,201505160027,Sinai Province of the Islamic State
train_2015,201505160056,Sudan People's Liberation Movement in Opposition (SPLM-IO)
train_2015,201505170025,Houthi extremists (Ansar Allah)
train_2015,201505190001,Barqa Province of the Islamic State
train_2015,201505190059,Al-Shabaab
train_2015,201505200021,Ansar al-Dine (Mali)
train_2015,201505200081,Sudan People's Liberation Movement in Opposition (SPLM-IO)
train_2015,201505220002,Sanaa Province of the Islamic State
train_2015,201505220007,Baloch Liberation Army (BLA)
train_2015,201505220020,Sinai Province of the Islamic State
train_2015,201505220021,Al-Shabaab
train_2015,201505220064,Sinai Province of the Islamic State
train_2015,201505220065,New People's Army (NPA)
train_2015,201505220075,Sudan People's Liberation Movement in Opposition (SPLM-IO)
train_2015,201505220076,Sudan People's Liberation Movement in Opposition (SPLM-IO)
train_2015,201505220082,Coordination of Azawad Movements (CMA)
train_2015,201505220086,Al-Nusrah Front
train_2015,201505230005,Al-Shabaab
train_2015,201505230006,Al-Shabaab
train_2015,201505230007,Al-Shabaab
train_2015,201505230008,Al-Shabaab
train_2015,201505230009,Al-Shabaab
train_2015,201505230012,Al-Shabaab
train_2015,201505240002,Khorasan Chapter of the Islamic State
train_2015,201505240003,Baloch Liberation Army (BLA)
train_2015,201505250006,Lashkar-e-Jhangvi
train_2015,201505250007,Lashkar-e-Jhangvi
train_2015,201505250008,Lashkar-e-Jhangvi
train_2015,201505250027,Al-Shabaab
train_2015,201505250068,New People's Army (NPA)
train_2015,201505250126,Al-Shabaab
train_2015,201505260019,Al-Shabaab
train_2015,201505270031,Sinai Province of the Islamic State
train_2015,201505290002,United Baloch Army (UBA)
train_2015,201505290034,New People's Army (NPA)
train_2015,201505300001,Houthi extremists (Ansar Allah)
train_2015,201505300019,Houthi extremists (Ansar Allah)
train_2015,201505300061,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201505300078,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201506020086,Sudan People's Liberation Movement - North
train_2015,201506030015,Sinai Province of the Islamic State
train_2015,201506050009,Lashkar-e-Balochistan
train_2015,201506060022,Al-Nusrah Front
train_2015,201506060023,Al-Nusrah Front
train_2015,201506060025,Al-Nusrah Front
train_2015,201506060026,Al-Nusrah Front
train_2015,201506060027,Al-Nusrah Front
train_2015,201506060028,Al-Nusrah Front
train_2015,201506060030,Al-Nusrah Front
train_2015,201506060077,Houthi extremists (Ansar Allah)
train_2015,201506060078,Baloch Liberation Front (BLF)
train_2015,201506070017,Al-Shabaab
train_2015,201506080009,Halqa-e-Mehsud
train_2015,201506080017,New People's Army (NPA)
train_2015,201506090001,Sinai Province of the Islamic State
train_2015,201506090002,Sinai Province of the Islamic State
train_2015,201506090013,Sinai Province of the Islamic State
train_2015,201506090072,Southern Front
train_2015,201506100005,Sinai Province of the Islamic State
train_2015,201506100021,Al-Nusrah Front
train_2015,201506100068,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201506100076,New People's Army (NPA)
train_2015,201506100078,Al-Shabaab
train_2015,201506100080,New People's Army (NPA)
train_2015,201506110031,Southern Front
train_2015,201506110032,Southern Front
train_2015,201506110039,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201506110057,Ansar al-Dine (Mali)
train_2015,201506130012,Baloch Liberation Army (BLA)
train_2015,201506130013,Baloch Liberation Army (BLA)
train_2015,201506130016,Baloch Liberation Front (BLF)
train_2015,201506130040,Al-Shabaab
train_2015,201506140009,Al-Shabaab
train_2015,201506140014,New People's Army (NPA)
train_2015,201506150008,Baloch Liberation Front (BLF)
train_2015,201506150029,Boko Haram
train_2015,201506150030,Boko Haram
train_2015,201506150043,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201506160028,Al-Shabaab
train_2015,201506160033,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201506170024,Sanaa Province of the Islamic State
train_2015,201506170025,Sanaa Province of the Islamic State
train_2015,201506170026,Sanaa Province of the Islamic State
train_2015,201506170027,Sanaa Province of the Islamic State
train_2015,201506170028,Sanaa Province of the Islamic State
train_2015,201506170030,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201506180009,Al-Shabaab
train_2015,201506180010,Al-Shabaab
train_2015,201506180018,New People's Army (NPA)
train_2015,201506190028,Al-Shabaab
train_2015,201506190034,Barqa Province of the Islamic State
train_2015,201506200010,Al-Shabaab
train_2015,201506200013,Sanaa Province of the Islamic State
train_2015,201506210011,Al-Shabaab
train_2015,201506210015,Al-Shabaab
train_2015,201506210016,Al-Shabaab
train_2015,201506210033,Sinai Province of the Islamic State
train_2015,201506220010,Al-Shabaab
train_2015,201506220011,Al-Shabaab
train_2015,201506220020,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201506220031,Sinai Province of the Islamic State
train_2015,201506220033,Sinai Province of the Islamic State
train_2015,201506230011,Al-Shabaab
train_2015,201506240010,Al-Shabaab
train_2015,201506240048,Al-Shabaab
train_2015,201506240049,Sanaa Province of the Islamic State
train_2015,201506250005,Southern Front
train_2015,201506250070,Southern Front
train_2015,201506260012,Al-Shabaab
train_2015,201506260013,Al-Shabaab
train_2015,201506260014,Lashkar-e-Balochistan
train_2015,201506270020,Al-Shabaab
train_2015,201506280008,Al-Shabaab
train_2015,201506280043,Baloch Liberation Front (BLF)
train_2015,201506280044,Baloch Liberation Front (BLF)
train_2015,201506280053,Ansar al-Dine (Mali)
train_2015,201506280114,Khorasan Chapter of the Islamic State
train_2015,201506290029,Sanaa Province of the Islamic State
train_2015,201506290059,Sudan People's Liberation Movement in Opposition (SPLM-IO)
train_2015,201506300126,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201507010036,Al-Shabaab
train_2015,201507030036,Barqa Province of the Islamic State
train_2015,201507030037,Barqa Province of the Islamic State
train_2015,201507030038,Barqa Province of the Islamic State
train_2015,201507030039,Shura Council of Benghazi Revolutionaries
train_2015,201507030040,Shura Council of Benghazi Revolutionaries
train_2015,201507030091,Houthi extremists (Ansar Allah)
train_2015,201507030092,Houthi extremists (Ansar Allah)
train_2015,201507030096,Garo National Liberation Army
train_2015,201507030102,Sinai Province of the Islamic State
train_2015,201507040011,Baloch Liberation Front (BLF)
train_2015,201507040072,Halqa-e-Mehsud
train_2015,201507050053,New People's Army (NPA)
train_2015,201507050063,Al-Shabaab
train_2015,201507050076,Bangsamoro Islamic Freedom Movement (BIFM)
train_2015,201507050088,Sinai Province of the Islamic State
train_2015,201507050090,Sinai Province of the Islamic State
train_2015,201507060086,Al-Shabaab
train_2015,201507060092,Al-Nusrah Front
train_2015,201507060105,Sudan People's Liberation Movement in Opposition (SPLM-IO)
train_2015,201507070064,Al-Shabaab
train_2015,201507070065,Al-Shabaab
train_2015,201507070077,Sanaa Province of the Islamic State
train_2015,201507070078,Sanaa Province of the Islamic State
train_2015,201507090048,Sinai Province of the Islamic State
train_2015,201507100047,Al-Shabaab
train_2015,201507100048,Al-Shabaab
train_2015,201507100049,Al-Shabaab
train_2015,201507110008,New People's Army (NPA)
train_2015,201507110021,Boko Haram
train_2015,201507110030,Boko Haram
train_2015,201507110032,New People's Army (NPA)
train_2015,201507120046,New People's Army (NPA)
train_2015,201507130004,Barqa Province of the Islamic State
train_2015,201507130015,Al-Shabaab
train_2015,201507130018,Al-Shabaab
train_2015,201507140033,Sanaa Province of the Islamic State
train_2015,201507140035,Al-Shabaab
train_2015,201507140036,Al-Shabaab
train_2015,201507140044,Sinai Province of the Islamic State
train_2015,201507150004,Baloch Liberation Front (BLF)
train_2015,201507150019,Sinai Province of the Islamic State
train_2015,201507160007,New People's Army (NPA)
train_2015,201507160011,New People's Army (NPA)
train_2015,201507160019,Sinai Province of the Islamic State
train_2015,201507160023,Ajnad Misr
train_2015,201507170013,Lashkar-e-Jhangvi
train_2015,201507170081,Khorasan Chapter of the Islamic State
train_2015,201507190019,Sinai Province of the Islamic State
train_2015,201507190020,Sinai Province of the Islamic State
train_2015,201507200008,Sanaa Province of the Islamic State
train_2015,201507200013,New People's Army (NPA)
train_2015,201507200014,New People's Army (NPA)
train_2015,201507210014,Al-Shabaab
train_2015,201507220002,Kurdistan Workers' Party (PKK)
train_2015,201507220004,Kurdistan Workers' Party (PKK)
train_2015,201507220015,Sinai Province of the Islamic State
train_2015,201507220016,Sinai Province of the Islamic State
train_2015,201507220025,Kurdistan Workers' Party (PKK)
train_2015,201507220086,Sinai Province of the Islamic State
train_2015,201507230011,Sinai Province of the Islamic State
train_2015,201507240003,Kurdistan Workers' Party (PKK)
train_2015,201507240004,Kurdistan Workers' Party (PKK)
train_2015,201507250001,Al-Shabaab
train_2015,201507250002,Al-Shabaab
train_2015,201507250005,Kurdistan Workers' Party (PKK)
train_2015,201507250025,Garo National Liberation Army
train_2015,201507250042,Sinai Province of the Islamic State
train_2015,201507260001,Al-Shabaab
train_2015,201507260013,Lashkar-e-Balochistan
train_2015,201507260017,Kurdistan Workers' Party (PKK)
train_2015,201507260018,Sinai Province of the Islamic State
train_2015,201507260019,Sinai Province of the Islamic State
train_2015,201507260033,Kurdistan Workers' Party (PKK)
train_2015,201507270009,Kurdistan Workers' Party (PKK)
train_2015,201507270010,Kurdistan Workers' Party (PKK)
train_2015,201507270044,Kurdistan Workers' Party (PKK)
train_2015,201507270050,Houthi extremists (Ansar Allah)
train_2015,201507270051,Houthi extremists (Ansar Allah)
train_2015,201507280016,Al-Nusrah Front
train_2015,201507280058,Sinai Province of the Islamic State
train_2015,201507290010,Sanaa Province of the Islamic State
train_2015,201507290038,Islamic State in Egypt
train_2015,201507290051,Kurdistan Workers' Party (PKK)
train_2015,201507300002,Al-Shabaab
train_2015,201507300011,Kurdistan Workers' Party (PKK)
train_2015,201507310009,Barqa Province of the Islamic State
train_2015,201507310020,Al-Nusrah Front
train_2015,201507310031,Kurdistan Workers' Party (PKK)
train_2015,201508010012,Kurdistan Workers' Party (PKK)
train_2015,201508010016,Kurdistan Workers' Party (PKK)
train_2015,201508010076,Sinai Province of the Islamic State
train_2015,201508010078,Oglaigh na hEireann
train_2015,201508020004,Kurdistan Workers' Party (PKK)
train_2015,201508020055,Kurdistan Workers' Party (PKK)
train_2015,201508020058,Al-Shabaab
train_2015,201508020109,Halqa-e-Mehsud
train_2015,201508030045,Al-Shabaab
train_2015,201508030050,Kurdistan Workers' Party (PKK)
train_2015,201508030125,Revolutionary Armed Forces of Colombia (FARC)
train_2015,201508040032,Barqa Province of the Islamic State
train_2015,201508040082,Kurdistan Workers' Party (PKK)
train_2015,201508060043,Hijaz Province of the Islamic State
train_2015,201508060108,Al-Qaida in the Arabian Peninsula (AQAP)
train_2015,201508080102,Paraguayan People's Army (EPP)
train_2015,201508090007,Barqa Province of the Islamic State
train_2015,201508090008,Sinai Province of the Islamic State
train_2015,201508090086,Al-Nusrah Front
train_2015,201508090087,Al-Nusrah Front
train_2015,201508100024,Khorasan Chapter of the Islamic State
train_2015,201508100027,Kurdistan Workers' Party (PKK)
train_2015,201508100106,Ajnad Misr
train_2015,201508110064,Al-Shabaab
train_2015,201508110077,Sanaa Province of the Islamic State
train_2015,201508120034,Tehrik al-Mojahedin
train_2015,201508140063,Kurdistan Workers' Party (PKK)
train_2015,201508140074,Kurdistan Workers' Party (PKK)
train_2015,201508140147,Barqa Province of the Islamic State
train_2015,201508150099,Kurdistan Workers' Party (PKK)
train_2015,201508150140,Al-Shabaab
train_2015,201508180023,Sudan People's Liberation Movement in Opposition (SPLM-IO)
train_2015,201508190006,Sinai Province of the Islamic State
