118°35'24"E,32°03'55"N	9.4																																																																																											
Record	DateTime	10	SurTem(??)	SurHum(%)	SurPre(hPa)	Tir(??)	Rain	CloudBase(km)	Vint(mm)	Lqint(mm)	0.000(km)	0.025(km)	0.050(km)	0.075(km)	0.100(km)	0.125(km)	0.150(km)	0.175(km)	0.200(km)	0.225(km)	0.250(km)	0.275(km)	0.300(km)	0.325(km)	0.350(km)	0.375(km)	0.400(km)	0.425(km)	0.450(km)	0.475(km)	0.500(km)	0.550(km)	0.600(km)	0.650(km)	0.700(km)	0.750(km)	0.800(km)	0.850(km)	0.900(km)	0.950(km)	1.000(km)	1.050(km)	1.100(km)	1.150(km)	1.200(km)	1.250(km)	1.300(km)	1.350(km)	1.400(km)	1.450(km)	1.500(km)	1.550(km)	1.600(km)	1.650(km)	1.700(km)	1.750(km)	1.800(km)	1.850(km)	1.900(km)	1.950(km)	2.000(km)	2.250(km)	2.500(km)	2.750(km)	3.000(km)	3.250(km)	3.500(km)	3.750(km)	4.000(km)	4.250(km)	4.500(km)	4.750(km)	5.000(km)	5.250(km)	5.500(km)	5.750(km)	6.000(km)	6.250(km)	6.500(km)	6.750(km)	7.000(km)	7.250(km)	7.500(km)	7.750(km)	8.000(km)	8.250(km)	8.500(km)	8.750(km)	9.000(km)	9.250(km)	9.500(km)	9.750(km)	10.000(km)	QCflag
11	2025/8/2 0:02	13	25.3	99.2	991.3	23.7	0	0.58	65.08	0.13	99	96.597	94.194	91.791	89.388	86.566	83.744	80.923	78.101	74.588	71.075	67.562	64.05	62.547	61.044	59.542	58.039	57.87	57.701	57.532	57.362	58.847	60.332	62.467	64.602	63.734	62.866	52.729	42.592	35.093	27.593	25.121	22.649	18.452	14.254	10.002	5.75	4.649	3.549	3.582	3.615	5.453	7.292	7.885	8.478	12.524	16.57	24.507	32.445	37.326	42.208	66.914	78.377	93.19	95.999	96.658	95.365	94.76	94.456	94.15	93.851	93.537	93.237	92.995	92.997	92.306	91.902	91.898	89.648	70.682	71.393	28.362	13.906	4.63	12.348	10.724	11.856	18.545	13.571	23.478	47.838	60.631	66.83	9
12	2025/8/2 0:02	14	25.3	99.2	991.3	23.7	0	0.58	65.08	0.13	0	0.056	0.113	0.169	0.226	0.234	0.242	0.25	0.258	0.193	0.129	0.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08	0.16	0.124	0.088	0.044	0	0	0	0	0	0.271	0.542	0.546	0.55	0.335	0.119	0.059	0	0	0	0.389	0	0	0.115	0.138	0	0.142	0.044	0.029	0.181	0.211	0.287	0.177	0.114	0.087	0.145	0.114	0.064	0.06	0.055	0.054	0.046	0	0	0	0	0	0	0	0	0	0	9
13	2025/8/2 0:06	11	25.3	99.2	991.3	23.8	0	0.56	65.04	0.1	25.3	25.242	25.184	25.127	25.069	25.003	24.936	24.87	24.803	24.77	24.737	24.704	24.671	24.605	24.54	24.474	24.408	24.323	24.238	24.153	24.068	23.854	23.641	23.369	23.097	22.788	22.479	22.173	21.866	21.552	21.237	20.89	20.542	20.312	20.082	19.784	19.485	19.219	18.953	18.675	18.397	18.17	17.943	17.724	17.504	17.357	17.21	17.015	16.821	16.629	16.437	15.37	14.336	13.11	12.041	10.924	9.693	8.507	7.392	6.14	4.817	3.449	2.315	1.33	0.182	-1.137	-2.65	-4.039	-5.277	-6.575	-7.661	-8.928	-10.093	-11.541	-13.119	-14.687	-16.275	-17.862	-19.617	-21.257	-22.995	-24.589	-26.619	9
14	2025/8/2 0:06	12	25.3	99.2	991.3	23.8	0	0.56	65.04	0.1	23.174	22.923	22.673	22.423	22.173	22.081	21.99	21.898	21.806	21.748	21.69	21.631	21.573	21.407	21.242	21.077	20.911	20.628	20.345	20.062	19.779	19.203	18.626	18.054	17.482	17.25	17.018	16.314	15.61	15.37	15.13	14.564	13.997	13.441	12.884	12.52	12.156	12.226	12.296	12.059	11.823	11.723	11.623	11.552	11.481	11.771	12.06	12.136	12.211	11.804	11.396	11.435	11.917	10.095	9.926	8.965	7.921	7.002	7.376	6.728	6.561	5.962	5.466	5.044	4.643	4.355	4.315	2.988	3.094	2.491	2.3	2.087	1.708	0.818	1.246	0.525	0.216	0.11	0.043	0.47	0.013	0.367	0.346	9
15	2025/8/2 0:06	13	25.3	99.2	991.3	23.8	0	0.56	65.04	0.1	98.991	96.252	93.512	90.773	88.034	84.726	81.418	78.11	74.802	70.595	66.389	62.182	57.975	56.203	54.43	52.658	50.885	50.638	50.391	50.144	49.898	51.64	53.383	56.006	58.629	57.786	56.943	45.789	34.635	27.154	19.672	17.559	15.445	14.852	14.258	8.959	3.66	3.601	3.543	2.948	2.353	2.833	3.313	4.078	4.842	8.022	11.202	19.393	27.584	33.147	38.711	67.77	80.51	95.94	95.999	96.661	95.366	94.758	94.458	94.156	93.849	93.545	93.238	92.997	92.994	92.31	91.896	91.902	89.308	70.044	69.697	22.252	8.903	1.008	8.319	6.614	7.499	14.564	10.167	21.625	46.385	58.454	63.079	9
16	2025/8/2 0:06	14	25.3	99.2	991.3	23.8	0	0.56	65.04	0.1	0	0.056	0.112	0.168	0.224	0.231	0.238	0.245	0.252	0.189	0.126	0.063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086	0.172	0.138	0.105	0.052	0	0	0	0	0	0.285	0.569	0.575	0.581	0.355	0.129	0.064	0	0	0	0.412	0	0	0.114	0.136	0	0.136	0.03	0.012	0.167	0.2	0.279	0.169	0.106	0.079	0.144	0.116	0.063	0.06	0.055	0.054	0.046	0	0	0	0	0	0	0	0	0	0	9
17	2025/8/2 0:08	11	25.3	99.2	991.3	23.8	0	0.56	64.94	0.14	25.3	25.241	25.181	25.122	25.063	24.995	24.928	24.86	24.793	24.758	24.724	24.689	24.654	24.588	24.521	24.454	24.388	24.302	24.216	24.13	24.045	23.83	23.616	23.344	23.073	22.764	22.455	22.15	21.845	21.531	21.217	20.871	20.524	20.294	20.064	19.766	19.468	19.203	18.939	18.661	18.384	18.157	17.931	17.713	17.494	17.348	17.201	17.007	16.814	16.622	16.431	15.367	14.335	13.112	12.045	10.931	9.7	8.514	7.399	6.149	4.826	3.457	2.323	1.337	0.192	-1.13	-2.642	-4.029	-5.268	-6.565	-7.652	-8.917	-10.081	-11.528	-13.106	-14.675	-16.262	-17.849	-19.605	-21.245	-22.983	-24.578	-26.607	9
18	2025/8/2 0:08	12	25.3	99.2	991.3	23.8	0	0.56	64.94	0.14	23.175	22.938	22.701	22.464	22.227	22.135	22.044	21.952	21.86	21.802	21.744	21.687	21.629	21.463	21.297	21.131	20.965	20.685	20.405	20.125	19.845	19.269	18.693	18.12	17.547	17.303	17.059	16.379	15.698	15.456	15.214	14.669	14.125	13.581	13.037	12.686	12.336	12.397	12.457	12.229	12	11.891	11.782	11.697	11.612	11.859	12.106	12.155	12.203	11.798	11.393	11.354	11.766	9.98	9.761	8.827	7.806	6.936	7.277	6.671	6.566	5.964	5.467	5.04	4.64	4.354	4.347	3.07	3.13	2.527	2.333	2.114	1.74	0.887	1.264	0.575	0.269	0.162	0.088	0.479	0.008	0.372	0.346	9
19	2025/8/2 0:08	13	25.3	99.2	991.3	23.8	0	0.56	64.94	0.14	98.997	96.719	94.442	92.164	89.886	87.236	84.587	81.937	79.287	76.031	72.775	69.519	66.262	64.864	63.465	62.066	60.667	60.52	60.373	60.226	60.078	61.45	62.821	64.751	66.681	65.786	64.89	55.164	45.439	37.998	30.557	27.908	25.26	19.76	14.26	11.076	7.891	5.92	3.948	4.83	5.711	7.582	9.454	9.945	10.436	14.391	18.346	26.073	33.8	38.378	42.955	66.09	77.192	91.862	95.992	96.659	95.372	94.765	94.458	94.154	93.844	93.545	93.234	92.996	92.996	92.305	91.898	91.895	90.454	71.601	72.615	31.283	16.317	6.793	14.277	12.779	13.947	20.368	15.092	24.376	48.658	61.619	68.423	9
20	2025/8/2 0:08	14	25.3	99.2	991.3	23.8	0	0.56	64.94	0.14	0	0.057	0.113	0.17	0.226	0.235	0.243	0.251	0.259	0.195	0.13	0.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.082	0.165	0.128	0.092	0.046	0	0	0	0	0	0.271	0.542	0.547	0.553	0.338	0.123	0.062	0	0	0	0.384	0	0	0.114	0.138	0	0.141	0.046	0.031	0.182	0.213	0.287	0.179	0.116	0.089	0.145	0.114	0.064	0.06	0.056	0.055	0.046	0	0	0	0	0	0	0	0	0	0	9
21	2025/8/2 0:10	11	25.3	99.2	991.3	24	0	0.51	64.96	0.23	25.3	25.239	25.179	25.118	25.058	24.991	24.924	24.857	24.79	24.753	24.717	24.681	24.645	24.578	24.511	24.445	24.378	24.292	24.205	24.119	24.032	23.818	23.603	23.333	23.062	22.754	22.445	22.142	21.838	21.525	21.212	20.867	20.521	20.292	20.062	19.763	19.464	19.201	18.938	18.66	18.382	18.156	17.929	17.712	17.495	17.348	17.2	17.006	16.813	16.622	16.431	15.365	14.335	13.112	12.045	10.933	9.701	8.513	7.398	6.149	4.826	3.458	2.326	1.338	0.195	-1.126	-2.637	-4.021	-5.26	-6.555	-7.646	-8.91	-10.077	-11.525	-13.102	-14.674	-16.257	-17.843	-19.6	-21.242	-22.98	-24.576	-26.604	9
22	2025/8/2 0:10	12	25.3	99.2	991.3	24	0	0.51	64.96	0.23	23.174	22.951	22.728	22.505	22.282	22.19	22.097	22.005	21.913	21.856	21.8	21.743	21.686	21.52	21.354	21.188	21.022	20.748	20.473	20.199	19.924	19.349	18.775	18.198	17.622	17.356	17.09	16.446	15.802	15.56	15.319	14.807	14.296	13.769	13.242	12.912	12.581	12.627	12.673	12.452	12.231	12.105	11.978	11.869	11.76	11.935	12.111	12.109	12.108	11.704	11.3	11.142	11.47	9.753	9.48	8.619	7.648	6.863	7.155	6.619	6.568	5.969	5.464	5.043	4.646	4.354	4.357	3.236	3.223	2.615	2.412	2.178	1.809	1.014	1.302	0.664	0.363	0.249	0.163	0.497	0.011	0.381	0.348	9
23	2025/8/2 0:10	13	25.3	99.2	991.3	24	0	0.51	64.96	0.23	98.993	97.406	95.819	94.232	92.645	90.931	89.217	87.504	85.79	83.91	82.03	80.15	78.271	77.441	76.611	75.781	74.951	74.923	74.896	74.869	74.841	75.558	76.274	77.143	78.011	77.185	76.36	69.826	63.293	57.325	51.357	48.332	45.307	39.458	33.61	30.767	27.925	25.612	23.299	24.601	25.903	27.6	29.298	28.849	28.401	31.153	33.906	39.771	45.637	48.321	51.006	64.441	72.303	84.037	95.999	96.665	95.373	94.758	94.455	94.147	93.846	93.538	93.241	92.993	92.993	92.304	91.897	91.897	91.587	75.503	77.95	49.238	33.089	23.512	26.797	25.733	27.458	31.543	24.839	29.332	51.786	65.462	75.133	9
24	2025/8/2 0:10	14	25.3	99.2	991.3	24	0	0.51	64.96	0.23	0	0.062	0.124	0.186	0.247	0.264	0.28	0.297	0.313	0.235	0.156	0.078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074	0.148	0.105	0.062	0.031	0	0	0	0	0	0.248	0.496	0.501	0.506	0.309	0.112	0.056	0	0	0	0.344	0	0	0.113	0.138	0	0.145	0.071	0.067	0.209	0.237	0.303	0.198	0.131	0.105	0.146	0.111	0.065	0.06	0.055	0.054	0.045	0	0	0	0	0	0	0	0	0	0	9
25	2025/8/2 0:08	11	25.3	99.2	991.3	24	0	0.52	65.05	0.23	25.3	25.242	25.185	25.127	25.07	25.004	24.939	24.874	24.808	24.776	24.743	24.71	24.677	24.612	24.547	24.482	24.417	24.332	24.247	24.162	24.078	23.864	23.651	23.379	23.108	22.799	22.49	22.184	21.878	21.563	21.248	20.901	20.554	20.323	20.093	19.794	19.495	19.23	18.964	18.685	18.406	18.179	17.952	17.732	17.513	17.365	17.216	17.022	16.827	16.635	16.443	15.373	14.339	13.111	12.039	10.923	9.691	8.504	7.388	6.137	4.813	3.446	2.313	1.327	0.18	-1.137	-2.649	-4.036	-5.274	-6.572	-7.66	-8.927	-10.094	-11.543	-13.122	-14.69	-16.276	-17.863	-19.618	-21.259	-22.996	-24.59	-26.619	9
26	2025/8/2 0:08	12	25.3	99.2	991.3	24	0	0.52	65.05	0.23	23.175	22.951	22.727	22.503	22.28	22.19	22.1	22.01	21.921	21.867	21.813	21.759	21.706	21.542	21.378	21.214	21.05	20.779	20.507	20.235	19.964	19.396	18.827	18.257	17.688	17.425	17.163	16.526	15.888	15.645	15.402	14.897	14.391	13.869	13.348	13.02	12.692	12.734	12.776	12.557	12.338	12.211	12.084	11.973	11.863	12.034	12.205	12.202	12.199	11.795	11.39	11.216	11.52	9.803	9.509	8.63	7.654	6.862	7.144	6.603	6.563	5.969	5.464	5.038	4.645	4.352	4.359	3.216	3.196	2.594	2.391	2.159	1.795	1.007	1.294	0.661	0.363	0.251	0.164	0.493	0.005	0.379	0.347	9
27	2025/8/2 0:08	13	25.3	99.2	991.3	24	0	0.52	65.05	0.23	98.995	97.399	95.802	94.206	92.609	90.884	89.158	87.432	85.706	83.823	81.94	80.057	78.174	77.358	76.541	75.724	74.907	74.901	74.894	74.888	74.881	75.635	76.389	77.281	78.173	77.352	76.531	69.974	63.417	57.434	51.45	48.429	45.409	39.58	33.75	30.881	28.012	25.681	23.35	24.643	25.937	27.645	29.354	28.916	28.477	31.274	34.07	39.974	45.878	48.604	51.33	64.736	72.486	84.176	95.999	96.663	95.367	94.764	94.455	94.148	93.849	93.537	93.236	93	92.99	92.313	91.893	91.897	91.59	75.27	77.819	49.055	33.089	23.396	26.646	25.566	27.307	31.617	24.891	29.356	51.749	65.411	75.035	9
28	2025/8/2 0:08	14	25.3	99.2	991.3	24	0	0.52	65.05	0.23	0	0.062	0.124	0.186	0.248	0.265	0.282	0.299	0.316	0.237	0.158	0.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.071	0.142	0.099	0.056	0.028	0	0	0	0	0	0.248	0.497	0.5	0.504	0.307	0.109	0.055	0	0	0	0.346	0	0	0.114	0.137	0	0.146	0.072	0.068	0.21	0.238	0.306	0.199	0.131	0.105	0.146	0.111	0.065	0.06	0.055	0.054	0.045	0	0	0	0	0	0	0	0	0	0	9
29	2025/8/2 0:10	11	25.3	99.2	991.2	24.1	0	0.49	65.07	0.36	25.3	25.242	25.183	25.125	25.067	25	24.934	24.867	24.801	24.767	24.733	24.699	24.665	24.6	24.534	24.469	24.403	24.318	24.232	24.147	24.061	23.846	23.631	23.359	23.088	22.779	22.469	22.164	21.858	21.544	21.229	20.882	20.535	20.304	20.074	19.776	19.478	19.213	18.948	18.67	18.393	18.166	17.939	17.721	17.502	17.355	17.209	17.015	16.822	16.63	16.439	15.376	14.345	13.122	12.057	10.943	9.713	8.53	7.417	6.169	4.848	3.479	2.345	1.36	0.216	-1.1	-2.612	-3.997	-5.235	-6.531	-7.618	-8.882	-10.045	-11.492	-13.069	-14.635	-16.22	-17.808	-19.562	-21.202	-22.936	-24.53	-26.559	9
30	2025/8/2 0:10	12	25.3	99.2	991.2	24.1	0	0.49	65.07	0.36	23.174	22.969	22.763	22.558	22.352	22.26	22.168	22.076	21.983	21.929	21.875	21.82	21.766	21.603	21.44	21.277	21.114	20.853	20.592	20.332	20.071	19.514	18.958	18.396	17.834	17.551	17.267	16.676	16.086	15.841	15.597	15.134	14.67	14.179	13.688	13.384	13.079	13.098	13.116	12.907	12.698	12.548	12.399	12.262	12.125	12.216	12.307	12.251	12.194	11.796	11.398	11.069	11.238	9.618	9.252	8.438	7.517	6.807	7.01	6.528	6.518	5.963	5.472	5.04	4.646	4.354	4.357	3.339	3.237	2.644	2.432	2.187	1.835	1.123	1.314	0.747	0.459	0.343	0.245	0.503	0.049	0.382	0.343	9
31	2025/8/2 0:10	13	25.3	99.2	991.2	24.1	0	0.49	65.07	0.36	98.993	97.94	96.887	95.834	94.781	93.736	92.692	91.647	90.602	89.709	88.815	87.921	87.027	86.666	86.305	85.944	85.583	85.704	85.825	85.946	86.068	86.436	86.804	86.972	87.14	86.417	85.695	81.937	78.179	74.372	70.565	67.916	65.267	61.112	56.957	54.983	53.01	51.363	49.715	50.996	52.277	52.809	53.34	51.607	49.873	50.441	51.008	54.359	57.709	58.666	59.623	63.913	68.081	75.709	91.43	94.895	95.37	94.758	94.454	94.149	93.846	93.545	92.995	92.994	92.994	92.305	91.902	91.901	91.587	77.496	81.614	65.125	50.887	44.15	40.348	39.998	42.354	43.756	35.931	34.717	54.892	69.09	80.667	9
32	2025/8/2 0:10	14	25.3	99.2	991.2	24.1	0	0.49	65.07	0.36	0	0.071	0.141	0.212	0.283	0.309	0.335	0.361	0.387	0.29	0.194	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049	0.099	0.049	0	0	0	0	0	0	0	0.203	0.406	0.409	0.411	0.249	0.087	0.043	0	0	0	0.277	0	0	0.114	0.135	0	0.156	0.116	0.127	0.254	0.277	0.334	0.231	0.157	0.133	0.147	0.105	0.066	0.059	0.054	0.053	0.044	0	0	0	0	0	0	0	0	0	0	9
33	2025/8/2 0:12	11	25.3	99.2	991.1	24.1	0	0.48	65.26	0.5	25.3	25.241	25.183	25.124	25.065	24.997	24.93	24.862	24.794	24.759	24.724	24.688	24.653	24.586	24.519	24.452	24.385	24.298	24.212	24.125	24.038	23.823	23.607	23.335	23.063	22.756	22.448	22.144	21.839	21.524	21.21	20.864	20.517	20.288	20.058	19.761	19.463	19.198	18.933	18.657	18.381	18.155	17.929	17.71	17.491	17.345	17.198	17.004	16.811	16.62	16.43	15.373	14.348	13.126	12.065	10.952	9.727	8.544	7.434	6.188	4.871	3.505	2.37	1.386	0.241	-1.079	-2.586	-3.974	-5.207	-6.501	-7.588	-8.856	-10.022	-11.469	-13.047	-14.61	-16.196	-17.785	-19.542	-21.183	-22.918	-24.514	-26.545	9
34	2025/8/2 0:12	12	25.3	99.2	991.1	24.1	0	0.48	65.26	0.5	23.173	22.985	22.797	22.609	22.421	22.325	22.23	22.134	22.039	21.982	21.925	21.869	21.812	21.648	21.485	21.321	21.157	20.907	20.657	20.407	20.157	19.614	19.07	18.522	17.973	17.671	17.37	16.828	16.287	16.035	15.784	15.369	14.953	14.49	14.027	13.75	13.473	13.466	13.46	13.269	13.079	12.914	12.75	12.592	12.433	12.454	12.475	12.38	12.286	11.902	11.519	11.059	11.097	9.574	9.12	8.332	7.443	6.801	6.915	6.493	6.487	5.96	5.464	5.038	4.645	4.352	4.361	3.451	3.263	2.68	2.462	2.21	1.871	1.236	1.333	0.832	0.554	0.436	0.325	0.515	0.118	0.386	0.339	9
