run,spearman_rank_correlation,five_level_agreement,top100_overlap,weight_direct_impact,weight_operational_complexity,weight_contextual_risk
26,0.9999938375592106,0.9966,0.98,0.7,0.14245514260979697,0.15754485739020305
27,0.9999960124705478,0.9985,0.99,0.7,0.14254498323094417,0.1574550167690559
28,0.9999973592710912,0.9965,0.98,0.7,0.14207683167808885,0.15792316832191117
29,0.9999888969865435,0.9968,0.96,0.7,0.14244051683554892,0.15755948316445106
30,0.9999938769793435,0.9964,0.98,0.7,0.14279707261889368,0.1572029273811064
31,0.9999929369561723,0.9959,0.99,0.7,0.14226932546815518,0.15773067453184486
32,0.999998002737262,0.9979,0.99,0.7,0.14182659473947726,0.15817340526052281
33,0.9999872755170732,0.9968,0.98,0.7,0.14157239939507088,0.15842760060492914
34,0.9999865831987378,0.9965,0.98,0.7,0.1418367000589453,0.15816329994105474
35,0.9999852363981943,0.9977,0.99,0.7,0.14106297864443837,0.1589370213555617
36,0.9999974456593826,0.9968,0.98,0.7,0.1427670924216799,0.15723290757832015
37,0.9999943354288902,0.996,0.98,0.7,0.1415060972572701,0.15849390274272995
38,0.9999965938005089,0.9977,0.99,0.7,0.14235774773404952,0.15764225226595052
39,0.99999321785312,0.9952,0.99,0.7,0.1414963138129371,0.1585036861870629
40,0.9999966300646312,0.9974,0.98,0.7,0.1417007816264576,0.1582992183735424
41,0.9999957344656099,0.9971,0.98,0.7,0.1421987814732969,0.15780121852670317
42,0.9999960925228178,0.9981,0.99,0.7,0.1420018851118863,0.15799811488811374
43,0.9999878075628682,0.994,0.97,0.7,0.1424286251296476,0.15757137487035244
44,0.9999929778403103,0.9968,0.99,0.7,0.1419833793133913,0.1580166206866088
45,0.9999947087021495,0.9976,0.98,0.7,0.14240953671762838,0.1575904632823716
46,0.9999940273158506,0.9974,0.99,0.7,0.1418180014528845,0.1581819985471155
47,0.9999973761191481,0.9952,0.97,0.7,0.14221176584020642,0.15778823415979357
48,0.9999949706870332,0.9969,0.99,0.7,0.14220676509623362,0.15779323490376643
49,0.9999933895136991,0.9979,0.99,0.7,0.14153651115452215,0.1584634888454779
50,0.9999919478648357,0.9968,1.0,0.7,0.14155970806009763,0.15844029193990244
51,0.9999974271193203,0.9968,0.99,0.7,0.14229821055234027,0.15770178944765975
52,0.9999873096571884,0.9971,0.99,0.7,0.14123296933943263,0.1587670306605674
53,0.9999926848833219,0.9974,0.97,0.7,0.14170081581684107,0.15829918418315891
54,0.9999921610575547,0.996,0.99,0.7,0.1422098372909736,0.1577901627090264
55,0.999987878099106,0.9976,0.94,0.7,0.14246783080163977,0.1575321691983603
56,0.9999946094738147,0.9973,0.99,0.7,0.1422258985151369,0.1577741014848631
57,0.9999942875127285,0.9988,0.98,0.7,0.14245346153275018,0.15754653846724986
58,0.9999953277242377,0.996,0.99,0.7,0.1423561487057323,0.1576438512942678
59,0.9999910712138782,0.9955,0.96,0.7,0.14160056834134763,0.1583994316586524
60,0.9999924459985162,0.9961,0.99,0.7,0.14264496887453582,0.15735503112546426
61,0.9999910937619542,0.9943,0.98,0.7,0.1413594776369025,0.15864052236309756
62,0.9999971028902263,0.9969,0.99,0.7,0.14228943019426676,0.1577105698057333
63,0.9999951026394783,0.9977,0.98,0.7,0.14246601349284455,0.15753398650715544
64,0.9999920610492175,0.9948,0.97,0.7,0.141507728301109,0.15849227169889102
65,0.9999963110195549,0.9963,0.99,0.7,0.1420525695183318,0.15794743048166826
66,0.9999938014630888,0.9981,0.98,0.7,0.14239552210437506,0.15760447789562498
67,0.9999947676943485,0.9952,0.98,0.7,0.1420769065576326,0.15792309344236743
68,0.9999982910382347,0.9976,0.98,0.7,0.14176541896133427,0.15823458103866575
69,0.9999944466092653,0.9961,0.99,0.7,0.14257717471128095,0.15742282528871912
70,0.9999949567669862,0.9975,0.98,0.7,0.14216565099593548,0.15783434900406457
71,0.9999923183540854,0.9944,0.98,0.7,0.14169132152453806,0.15830867847546204
72,0.999992456966553,0.9975,0.99,0.7,0.14114983377284848,0.15885016622715153
73,0.9999927416315135,0.9982,0.98,0.7,0.1414983498984599,0.15850165010154013
74,0.9999852280941662,0.9961,0.96,0.7,0.1426504403762526,0.15734955962374747
75,0.9999976985842359,0.9967,0.99,0.7,0.1421214828826822,0.15787851711731782
76,0.9999863822100596,0.9961,0.99,0.7,0.14071180248750872,0.15928819751249132
77,0.9999956248452401,0.9965,0.99,0.7,0.14218614881826552,0.15781385118173452
78,0.9999958540340133,0.9974,0.98,0.7,0.14191778121932852,0.15808221878067152
79,0.9999914562471771,0.9966,0.99,0.7,0.14197915227239907,0.15802084772760094
80,0.9999928214797827,0.9978,0.98,0.7,0.14129088875807702,0.15870911124192302
81,0.9999900433984108,0.9974,0.99,0.7,0.1420609460824705,0.15793905391752952
82,0.9999910104336731,0.9965,0.98,0.7,0.14151987640454936,0.1584801235954507
83,0.9999966588527284,0.9983,0.99,0.7,0.14258391474887067,0.15741608525112938
84,0.9999951174475283,0.9962,0.98,0.7,0.14228707120557296,0.15771292879442703
85,0.9999965544043761,0.9964,0.99,0.7,0.14182068322276378,0.15817931677723632
86,0.9999919797609432,0.9964,0.99,0.7,0.14265307710960148,0.15734692289039856
87,0.9999917344441158,0.9963,0.97,0.7,0.1415617347153326,0.15843826528466748
88,0.9999940067717815,0.9967,0.99,0.7,0.14119641701015723,0.15880358298984282
89,0.9999986387514076,0.9962,1.0,0.7,0.14181512180360226,0.1581848781963978
90,0.9999926083590639,0.9952,0.99,0.7,0.14219971163725467,0.15780028836274537
91,0.9999915216713978,0.9969,0.97,0.7,0.1430136148165078,0.15698638518349223
92,0.9999883501926988,0.9971,0.99,0.7,0.14230438544762355,0.15769561455237643
93,0.9999965072082168,0.9952,0.99,0.7,0.14154471294774207,0.15845528705225803
94,0.9999944364332308,0.9947,0.98,0.7,0.14197547976302666,0.1580245202369734
95,0.9999890523750676,0.9985,0.99,0.7,0.14170227699004315,0.1582977230099569
96,0.9999941025561045,0.9958,0.97,0.7,0.14156010455009366,0.1584398954499064
97,0.9999875470059891,0.9974,0.97,0.7,0.14102690472856558,0.15897309527143447
98,0.9999922330937979,0.998,0.97,0.7,0.14230820145989573,0.15769179854010434
99,0.9999962364153032,0.9984,0.97,0.7,0.14234207125801215,0.15765792874198792
100,0.9999955568170105,0.9952,0.99,0.7,0.1423247307733462,0.15767526922665384
