118°50'50"E	32°22'07"N	6.5																																																																																											
18	2025/8/2 0:08	12	25.6	94.5	997.3	-7.6	0	6.73	0	0	22.498	21.774	21.051	20.327	19.604	19.088	18.573	18.058	17.542	16.645	15.748	14.852	13.955	13.24	12.526	11.811	11.096	10.444	9.791	9.139	8.486	7.787	7.089	6.713	6.337	5.799	5.261	4.21	3.159	3.028	2.896	2.932	2.969	2.461	1.953	1.373	0.794	0.726	0.657	0.537	0.417	0.491	0.564	0.683	0.802	0.99	1.177	1.181	1.184	1.14	1.096	0.875	0.206	0.219	2.184	2.326	2.653	1.989	1.359	1.532	1.936	2.123	0.398	1.244	1.074	0.642	0.186	0.272	0.756	0.539	0.517	0.661	0.466	0.156	0.558	0.168	0.016	0.017	0.007	0.339	0.007	0.261	0.161	9
19	2025/8/2 0:08	13	25.6	94.5	997.3	-7.6	0	6.73	0	0	94.5	92.1	89.7	87.3	84.9	84.013	83.125	82.238	81.351	78.213	75.076	71.938	68.801	64.407	60.013	55.619	51.225	48.708	46.191	43.674	41.157	41.426	41.695	40.792	39.888	37.04	34.192	30.288	26.384	22.92	19.456	18.075	16.695	15.479	14.262	8.96	3.658	3.604	3.551	2.951	2.352	2.834	3.316	4.076	4.837	5.45	6.062	6.476	6.891	6.7	6.51	5.557	5.945	16.516	40.308	41.532	31.592	36.979	32.382	22.1	9.736	22.274	10.811	8.18	1.006	1.001	1.007	1	1.004	1.005	1.002	1.008	1.01	1.003	9.338	1.004	1.001	1.526	1.004	17.025	35.047	29.921	28.476	9
20	2025/8/2 0:08	14	25.6	94.5	997.3	-7.6	0	6.73	0	0	2.022	1.791	1.559	1.328	1.097	1.154	1.211	1.268	1.325	1.196	1.066	0.937	0.807	0.778	0.749	0.72	0.69	0.578	0.465	0.353	0.24	0.176	0.112	0.062	0.013	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0.025	0	0.033	0	0.017	0.073	0.069	0.058	0.026	0.018	0.017	0.018	0.014	0.014	0.014	0.02	0	0	0	0	0	0	0	0	0	9
21	2025/8/2 0:10	11	25.6	94.4	997.3	-7.6	0	6.72	0	0	25.6	25.541	25.482	25.424	25.365	25.343	25.322	25.3	25.279	25.26	25.24	25.221	25.202	25.18	25.158	25.137	25.115	25.069	25.023	24.976	24.93	24.774	24.618	24.421	24.225	23.921	23.618	23.347	23.077	22.78	22.483	22.176	21.868	21.609	21.349	21.062	20.775	20.517	20.258	19.952	19.647	19.372	19.097	18.849	18.601	18.36	18.119	17.868	17.617	17.376	17.135	15.799	14.478	13.144	11.829	10.665	9.195	7.899	6.59	5.218	3.78	2.462	1.287	0.067	-1.122	-2.208	-3.655	-4.982	-6.368	-7.76	-9.044	-10.338	-11.666	-13.119	-14.658	-16.287	-17.853	-19.429	-21.097	-22.785	-24.481	-26.118	-27.944	9
22	2025/8/2 0:10	12	25.6	94.4	997.3	-7.6	0	6.72	0	0	22.474	21.752	21.03	20.307	19.585	19.075	18.565	18.054	17.544	16.655	15.767	14.878	13.99	13.28	12.57	11.86	11.15	10.5	9.851	9.201	8.552	7.854	7.156	6.744	6.332	5.807	5.282	4.248	3.213	3.057	2.901	2.931	2.961	2.456	1.951	1.371	0.792	0.722	0.652	0.535	0.419	0.493	0.567	0.688	0.809	0.994	1.179	1.182	1.186	1.14	1.093	0.878	0.21	0.192	2.139	2.289	2.611	1.953	1.335	1.505	1.904	2.101	0.398	1.24	1.068	0.645	0.191	0.268	0.761	0.544	0.526	0.67	0.473	0.155	0.561	0.163	0.016	0.01	0.015	0.34	0.011	0.261	0.163	9
23	2025/8/2 0:10	13	25.6	94.4	997.3	-7.6	0	6.72	0	0	94.4	92.008	89.616	87.224	84.832	83.946	83.06	82.174	81.288	78.152	75.016	71.879	68.743	64.351	59.959	55.566	51.174	48.657	46.139	43.622	41.104	41.363	41.622	40.713	39.804	36.957	34.109	30.222	26.335	22.888	19.44	18.073	16.705	15.481	14.257	8.959	3.661	3.602	3.543	2.946	2.349	2.832	3.315	4.078	4.842	5.452	6.063	6.476	6.89	6.7	6.51	5.561	5.951	16.495	40.256	41.477	31.551	36.924	32.349	22.138	9.821	22.446	10.998	8.339	1.009	1.006	1.009	1.006	1.003	1.008	1.01	1.003	1.003	1.001	9.522	1.009	1.009	1.595	1.007	17.123	35.085	29.935	28.413	9
24	2025/8/2 0:10	14	25.6	94.4	997.3	-7.6	0	6.72	0	0	2.073	1.828	1.583	1.337	1.092	1.152	1.212	1.272	1.333	1.203	1.074	0.945	0.816	0.787	0.759	0.73	0.701	0.583	0.465	0.347	0.229	0.171	0.113	0.061	0.008	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0	0.026	0	0.034	0	0.019	0.074	0.069	0.059	0.026	0.017	0.017	0.018	0.014	0.014	0.014	0.02	0	0	0	0	0	0	0	0	0	9
25	2025/8/2 0:12	11	25.5	94.2	997.1	-7.6	0	6.73	0	0	25.5	25.445	25.39	25.334	25.279	25.264	25.248	25.233	25.218	25.203	25.187	25.172	25.157	25.14	25.122	25.105	25.087	25.043	24.999	24.955	24.91	24.756	24.602	24.41	24.217	23.915	23.614	23.344	23.075	22.777	22.479	22.171	21.864	21.607	21.35	21.062	20.774	20.516	20.257	19.952	19.647	19.37	19.094	18.845	18.596	18.352	18.108	17.854	17.6	17.359	17.118	15.779	14.458	13.125	11.808	10.653	9.175	7.881	6.566	5.19	3.754	2.441	1.269	0.047	-1.138	-2.202	-3.643	-4.964	-6.344	-7.734	-9.025	-10.317	-11.648	-13.102	-14.644	-16.265	-17.827	-19.401	-21.065	-22.754	-24.438	-26.07	-27.889	9
26	2025/8/2 0:12	12	25.5	94.2	997.1	-7.6	0	6.73	0	0	22.301	21.571	20.84	20.11	19.379	18.855	18.331	17.808	17.284	16.38	15.476	14.572	13.667	12.954	12.241	11.528	10.815	10.169	9.523	8.878	8.232	7.554	6.877	6.606	6.336	5.799	5.263	4.159	3.055	2.975	2.894	2.932	2.97	2.46	1.95	1.371	0.792	0.721	0.649	0.531	0.414	0.49	0.566	0.688	0.809	0.992	1.176	1.184	1.193	1.143	1.092	0.87	0.207	0.395	2.386	2.477	2.794	2.105	1.442	1.608	1.997	2.146	0.379	1.218	1.032	0.579	0.131	0.216	0.693	0.487	0.467	0.616	0.429	0.128	0.54	0.161	0.011	0.008	0.012	0.33	0.007	0.256	0.154	9
27	2025/8/2 0:12	13	25.5	94.2	997.1	-7.6	0	6.73	0	0	94.2	91.783	89.366	86.949	84.531	83.636	82.741	81.846	80.951	77.791	74.631	71.47	68.31	63.891	59.473	55.054	50.635	48.101	45.567	43.033	40.498	40.726	40.954	40.052	39.15	36.291	33.433	29.599	25.765	22.387	19.009	17.748	16.487	15.374	14.261	8.964	3.666	3.604	3.543	2.944	2.345	2.828	3.311	4.078	4.846	5.458	6.069	6.482	6.895	6.703	6.511	5.557	6.243	16.822	41.072	42.435	32.672	37.941	33.238	23.092	10.82	24.16	12.401	9.359	1.004	1.006	1.005	1.008	1.001	1.01	1.003	1.007	1.007	1.003	9.658	1.003	1.007	1.339	1.004	16.71	34.147	28.813	26.668	9
28	2025/8/2 0:12	14	25.5	94.2	997.1	-7.6	0	6.73	0	0	2.163	1.891	1.618	1.345	1.073	1.132	1.191	1.25	1.309	1.182	1.055	0.927	0.8	0.771	0.741	0.712	0.682	0.561	0.439	0.317	0.195	0.147	0.099	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.028	0	0.035	0	0.02	0.074	0.068	0.058	0.025	0.017	0.017	0.017	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
29	2025/8/2 0:14	11	25.5	94.2	997.1	-7.6	0	6.73	0	0	25.5	25.443	25.386	25.329	25.273	25.252	25.231	25.21	25.189	25.171	25.153	25.136	25.118	25.097	25.076	25.054	25.033	24.987	24.941	24.895	24.849	24.692	24.534	24.339	24.143	23.841	23.54	23.269	22.999	22.702	22.405	22.097	21.79	21.533	21.277	20.991	20.706	20.447	20.189	19.887	19.586	19.31	19.035	18.786	18.537	18.297	18.058	17.805	17.552	17.311	17.07	15.748	14.433	13.11	11.808	10.656	9.183	7.895	6.586	5.213	3.783	2.469	1.292	0.074	-1.112	-2.179	-3.622	-4.948	-6.328	-7.72	-9.005	-10.296	-11.619	-13.069	-14.609	-16.224	-17.792	-19.37	-21.034	-22.721	-24.402	-26.034	-27.853	9
30	2025/8/2 0:14	12	25.5	94.2	997.1	-7.6	0	6.73	0	0	22.301	21.574	20.848	20.122	19.395	18.876	18.357	17.838	17.319	16.421	15.524	14.626	13.729	13.021	12.313	11.605	10.897	10.252	9.608	8.963	8.319	7.639	6.959	6.649	6.34	5.802	5.265	4.167	3.068	2.983	2.898	2.932	2.966	2.457	1.949	1.369	0.789	0.719	0.65	0.531	0.412	0.49	0.569	0.685	0.801	0.99	1.179	1.181	1.183	1.137	1.09	0.871	0.209	0.366	2.367	2.472	2.776	2.078	1.444	1.6	1.965	2.123	0.362	1.214	1.018	0.567	0.122	0.177	0.694	0.488	0.474	0.629	0.434	0.096	0.543	0.13	0.012	0.014	0.014	0.333	0.01	0.256	0.158	9
31	2025/8/2 0:14	13	25.5	94.2	997.1	-7.6	0	6.73	0	0	94.2	91.784	89.368	86.951	84.535	83.642	82.748	81.855	80.961	77.804	74.647	71.49	68.333	63.918	59.502	55.086	50.67	48.139	45.607	43.075	40.544	40.775	41.005	40.104	39.203	36.344	33.485	29.651	25.816	22.436	19.056	17.793	16.529	15.396	14.263	8.964	3.664	3.606	3.548	2.947	2.345	2.826	3.307	4.076	4.845	5.455	6.065	6.479	6.893	6.705	6.518	5.564	6.238	16.819	41.042	42.392	32.623	37.88	33.184	23.04	10.771	24.078	12.334	9.295	1.001	1.006	1.001	1.002	1.002	1.006	1.006	1.005	1.006	1.003	9.636	1.006	1.006	1.338	1.004	16.71	34.168	28.839	26.715	9
32	2025/8/2 0:14	14	25.5	94.2	997.1	-7.6	0	6.73	0	0	2.162	1.89	1.618	1.345	1.073	1.132	1.191	1.25	1.309	1.182	1.055	0.927	0.8	0.771	0.741	0.712	0.683	0.561	0.439	0.317	0.196	0.147	0.099	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.028	0	0.035	0	0.02	0.075	0.068	0.058	0.025	0.017	0.017	0.017	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
33	2025/8/2 0:16	11	25.5	94.2	997.1	-7.6	0	6.72	0	0	25.5	25.441	25.382	25.323	25.264	25.243	25.222	25.201	25.18	25.162	25.143	25.124	25.105	25.083	25.062	25.041	25.019	24.974	24.928	24.882	24.837	24.681	24.526	24.332	24.138	23.835	23.531	23.261	22.991	22.695	22.399	22.091	21.784	21.527	21.27	20.984	20.698	20.442	20.185	19.882	19.579	19.306	19.032	18.788	18.543	18.304	18.066	17.815	17.565	17.326	17.088	15.765	14.447	13.124	11.816	10.662	9.181	7.887	6.577	5.2	3.759	2.441	1.264	0.042	-1.138	-2.218	-3.667	-4.997	-6.382	-7.772	-9.053	-10.336	-11.65	-13.098	-14.638	-16.265	-17.833	-19.405	-21.071	-22.759	-24.447	-26.078	-27.9	9
34	2025/8/2 0:16	12	25.5	94.2	997.1	-7.6	0	6.72	0	0	22.301	21.579	20.857	20.135	19.413	18.904	18.396	17.887	17.378	16.497	15.615	14.733	13.852	13.152	12.451	11.751	11.051	10.412	9.773	9.133	8.494	7.814	7.134	6.733	6.333	5.813	5.293	4.256	3.219	3.06	2.9	2.934	2.968	2.46	1.952	1.373	0.794	0.725	0.657	0.535	0.412	0.488	0.564	0.685	0.806	0.992	1.178	1.183	1.189	1.142	1.096	0.875	0.205	0.281	2.224	2.353	2.662	1.991	1.373	1.535	1.895	2.068	0.367	1.202	1.013	0.585	0.141	0.204	0.713	0.507	0.494	0.644	0.45	0.119	0.548	0.139	0.014	0.017	0.007	0.334	0.006	0.256	0.16	9
35	2025/8/2 0:16	13	25.5	94.2	997.1	-7.6	0	6.72	0	0	94.2	91.78	89.36	86.94	84.52	83.624	82.728	81.832	80.937	77.776	74.615	71.454	68.293	63.875	59.456	55.038	50.62	48.086	45.552	43.017	40.483	40.71	40.937	40.035	39.132	36.272	33.411	29.575	25.738	22.363	18.987	17.726	16.464	15.36	14.256	8.961	3.665	3.605	3.544	2.945	2.345	2.827	3.308	4.074	4.84	5.453	6.066	6.482	6.899	6.705	6.512	5.562	6.235	16.815	41.089	42.473	32.72	37.989	33.287	23.153	10.876	24.242	12.464	9.409	1.007	1.007	1.005	1.009	1.009	1.005	1.006	1.001	1.007	1.004	9.671	1.001	1.001	1.346	1.003	16.726	34.155	28.822	26.656	9
36	2025/8/2 0:16	14	25.5	94.2	997.1	-7.6	0	6.72	0	0	2.163	1.89	1.618	1.345	1.073	1.132	1.191	1.25	1.31	1.182	1.055	0.928	0.801	0.771	0.742	0.712	0.683	0.561	0.439	0.318	0.196	0.147	0.099	0.049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0.028	0	0.035	0	0.021	0.075	0.068	0.058	0.025	0.017	0.017	0.017	0.014	0.013	0.013	0.02	0	0	0	0	0	0	0	0	0	9
