height_agl_m,finite_cells,coverage_fraction,mean_observation_coverage,p10_observation_coverage,mean_turbulence_index,p90_turbulence_index,mean_uncertainty,radar_mean_contribution,wpr_mean_contribution,surface_mean_contribution
850.0,1570360,1.0,0.7700306177139282,0.2578703463077545,0.4246945083141327,0.6501690149307251,0.4402554929256439,0.63624107837677,0.3261381685733795,0.03762059286236763
900.0,1570360,1.0,0.7616450786590576,0.24288232624530792,0.4223659038543701,0.6455294489860535,0.4464847147464752,0.6451324224472046,0.32218578457832336,0.03268180042505264
950.0,1570360,1.0,0.7647959589958191,0.25921303033828735,0.42354974150657654,0.6447792053222656,0.44297218322753906,0.6332587599754333,0.34014183282852173,0.026599358767271042
1000.0,1570360,1.0,0.7362810969352722,0.22267566621303558,0.4254913330078125,0.6517757177352905,0.46701353788375854,0.664417564868927,0.310211181640625,0.025371352210640907
1050.0,1570360,1.0,0.7498370409011841,0.2737180292606354,0.4331783056259155,0.661700427532196,0.45522281527519226,0.6339765787124634,0.3465222120285034,0.01950111612677574
1100.0,1570360,1.0,0.7322525382041931,0.29740872979164124,0.4390046000480652,0.6682294011116028,0.4699550271034241,0.647004246711731,0.3354526162147522,0.017543194815516472
1150.0,1570360,1.0,0.7294996976852417,0.3362513482570648,0.44570934772491455,0.6697818636894226,0.47301235795021057,0.6388030648231506,0.34642377495765686,0.014773155562579632
1200.0,1570360,1.0,0.7278918623924255,0.3881132900714874,0.4529273509979248,0.6709204316139221,0.4767899811267853,0.6336953043937683,0.3537961542606354,0.012508703395724297
1250.0,1570360,1.0,0.7084845900535583,0.39973780512809753,0.45842573046684265,0.6701103448867798,0.4936768114566803,0.6575162410736084,0.33105701208114624,0.011426569893956184
1300.0,1570360,1.0,0.7244744300842285,0.44315680861473083,0.4613145887851715,0.6677456498146057,0.4850836396217346,0.631160318851471,0.35972651839256287,0.00911325216293335
1350.0,1570360,1.0,0.7046670317649841,0.4246644675731659,0.4634891450405121,0.6672006845474243,0.5005838871002197,0.6636667847633362,0.3280406594276428,0.008292431011795998
1400.0,1570360,1.0,0.7212865948677063,0.44275152683258057,0.4606059193611145,0.661838173866272,0.49123966693878174,0.6419558525085449,0.3514126241207123,0.006631489843130112
1450.0,1570360,1.0,0.7183340191841125,0.4398868978023529,0.45577406883239746,0.6525595784187317,0.4943245053291321,0.6515253782272339,0.3427852988243103,0.005689298268407583
1500.0,1570360,1.0,0.7136023044586182,0.4220254421234131,0.44782954454421997,0.643824577331543,0.4971790015697479,0.6640521883964539,0.3310546576976776,0.004893064498901367
1550.0,1570360,1.0,0.725071907043457,0.44458743929862976,0.43707075715065,0.6383469104766846,0.4898647964000702,0.648692786693573,0.34732264280319214,0.003984582144767046
1600.0,1570360,1.0,0.6974098086357117,0.41839274764060974,0.4254922866821289,0.6318753957748413,0.506109893321991,0.6955143213272095,0.3007941246032715,0.0036914977245032787
1650.0,1570360,1.0,0.7215408682823181,0.44815748929977417,0.41317659616470337,0.6265076994895935,0.49071183800697327,0.6570271849632263,0.34010469913482666,0.002868294483050704
1700.0,1570360,1.0,0.7080358862876892,0.42692309617996216,0.39685696363449097,0.6132144927978516,0.4940492510795593,0.6674161553382874,0.330091655254364,0.002492294879630208
1750.0,1570360,1.0,0.7118527889251709,0.4313439428806305,0.381306916475296,0.5987270474433899,0.4876697063446045,0.6450582146644592,0.352889746427536,0.0020518831443041563
1800.0,1570360,1.0,0.7119223475456238,0.4343095123767853,0.36909279227256775,0.5875497460365295,0.4854746162891388,0.6283658742904663,0.3699180483818054,0.0017158667324110866
1850.0,1570360,1.0,0.6829015612602234,0.39611801505088806,0.3586365282535553,0.5782440304756165,0.5023007392883301,0.6491218209266663,0.349304735660553,0.001573118264786899
1900.0,1570360,1.0,0.6917737126350403,0.41112667322158813,0.35253453254699707,0.5796704888343811,0.4993179440498352,0.6046797633171082,0.39402759075164795,0.0012927144998684525
1950.0,1570360,1.0,0.6374832391738892,0.32510906457901,0.36976829171180725,0.5897927284240723,0.5484018921852112,0.624372124671936,0.3742446303367615,0.0013832824770361185
2000.0,1570360,1.0,0.6237003207206726,0.28409841656684875,0.396583616733551,0.6251609921455383,0.581899106502533,0.5710368752479553,0.4276144802570343,0.0013487555552273989
