样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,预测磁芯损耗_w每m3,附件四填写值_保留1位小数,超出训练集关键特征范围数,预测范围标记
95,70,224200.0,材料1,梯形波,0.068096662,102291.70385172572,102291.7,0,范围内
96,90,396820.0,材料1,三角波,0.1534659885,1379078.8851467415,1379078.9,0,范围内
97,90,79410.0,材料1,梯形波,0.242529512,379358.9678183444,379359.0,0,范围内
98,90,112180.0,材料1,梯形波,0.0550980015,10885.123579840278,10885.1,0,范围内
99,90,125920.0,材料1,梯形波,0.107966557,82459.82940000544,82459.8,0,范围内
100,90,251240.0,材料1,梯形波,0.038849479,32792.887939769826,32792.9,0,范围内
101,25,63020.0,材料2,正弦波,0.050371308,16487.7123050128,16487.7,0,范围内
102,25,501180.0,材料2,正弦波,0.0154748415,17263.7643506844,17263.8,0,范围内
103,50,63020.0,材料2,正弦波,0.0315069255,3262.0869104434423,3262.1,0,范围内
104,50,199500.0,材料2,正弦波,0.011633619,957.973810807225,958.0,0,范围内
105,50,199500.0,材料2,正弦波,0.0308336175,12304.111725950328,12304.1,0,范围内
106,50,316230.0,材料2,正弦波,0.015513287,5643.913772413412,5643.9,0,范围内
107,50,398100.0,材料2,正弦波,0.0194729425,16876.53650251486,16876.5,0,范围内
108,70,99950.0,材料2,正弦波,0.0613943035,16239.019836598376,16239.0,0,范围内
109,70,251170.0,材料2,正弦波,0.012374526,1876.9709828500847,1877.0,0,范围内
110,70,316230.0,材料2,正弦波,0.024583838,17055.230742017782,17055.2,0,范围内
111,90,79460.0,材料2,正弦波,0.192164745,251430.83133057808,251430.8,0,范围内
112,90,99950.0,材料2,正弦波,0.039052763,3624.8632736685677,3624.9,0,范围内
113,90,199500.0,材料2,正弦波,0.0977974945,184257.54844294922,184257.5,0,范围内
114,50,199500.0,材料2,正弦波,0.030835,12610.63244728554,12610.6,0,范围内
115,70,158510.0,材料2,正弦波,0.15391,425309.63650926936,425309.6,0,范围内
116,90,63020.0,材料2,正弦波,0.097525,26316.431310373264,26316.4,0,范围内
117,70,99950.0,材料2,正弦波,0.061395,16333.638589416401,16333.6,0,范围内
118,25,199500.0,材料2,正弦波,0.03105,19453.3343040242,19453.3,0,范围内
119,25,63020.0,材料2,正弦波,0.020075052,1857.3802865179648,1857.4,0,范围内
120,25,63020.0,材料2,正弦波,0.0250571559999999,2710.441928889191,2710.4,0,范围内
121,25,125860.0,材料2,正弦波,0.039307757,19585.96686768328,19586.0,0,范围内
122,25,158500.0,材料2,正弦波,0.0791125645,157561.94642240906,157561.9,0,范围内
123,25,251170.0,材料2,正弦波,0.0393090295,50433.71241686252,50433.7,0,范围内
124,25,316230.0,材料2,正弦波,0.077822118,416291.3862860804,416291.4,0,范围内
125,50,125860.0,材料2,正弦波,0.024572306,3225.868461052117,3225.9,0,范围内
126,70,158510.0,材料2,正弦波,0.0193898289999999,1769.7969060524954,1769.8,0,范围内
127,70,158500.0,材料2,正弦波,0.0309461555,5768.35757205034,5768.4,0,范围内
128,70,251170.0,材料2,正弦波,0.0195202005,5465.513078239868,5465.5,0,范围内
129,90,50020.0,材料2,正弦波,0.154312693,73111.6176840718,73111.6,0,范围内
130,90,79460.0,材料2,正弦波,0.1560220115,150402.49805791525,150402.5,0,范围内
131,90,99950.0,材料2,正弦波,0.152735879,198711.4744062703,198711.5,0,范围内
132,25,50020.0,材料2,正弦波,0.0648,20934.51900829565,20934.5,0,范围内
133,25,79470.0,材料2,正弦波,0.0251899999999999,3479.6058181474664,3479.6,0,范围内
134,25,158500.0,材料2,正弦波,0.0195349999999999,4091.691322185185,4091.7,0,范围内
135,50,50020.0,材料2,正弦波,0.05031,7322.135750740656,7322.1,0,范围内
136,25,125900.0,材料2,三角波,0.0388655855,27215.316343034945,27215.3,0,范围内
137,25,158760.0,材料2,三角波,0.019810161,8490.939688347604,8490.9,0,范围内
138,25,199170.0,材料2,三角波,0.194022072,1778911.379814798,1778911.4,0,范围内
139,25,396810.0,材料2,三角波,0.038340457,140408.8771867911,140408.9,0,范围内
140,25,396810.0,材料2,三角波,0.0761165955,756804.7398259174,756804.7,0,范围内
141,25,79500.0,材料2,三角波,0.243384312,686563.3546474833,686563.4,0,范围内
142,25,125890.0,材料2,三角波,0.0304389065,8967.016052184294,8967.0,0,范围内
143,25,199170.0,材料2,三角波,0.0386766895,29716.704493236448,29716.7,0,范围内
144,25,499970.0,材料2,三角波,0.0611797495,506014.1022690096,506014.1,0,范围内
145,25,499970.0,材料2,三角波,0.0765189275,897529.1441979513,897529.1,0,范围内
146,25,99900.0,材料2,三角波,0.1549189025,306087.10537435336,306087.1,0,范围内
147,25,251230.0,材料2,三角波,0.0981943465,388399.43259246397,388399.4,0,范围内
148,25,316450.0,材料2,三角波,0.038924018,56511.90973629899,56511.9,0,范围内
149,25,316450.0,材料2,三角波,0.1941140845,2679766.9607246597,2679767.0,0,范围内
150,50,199170.0,材料2,三角波,0.0483904855,98192.85003403043,98192.9,0,范围内
151,50,158740.0,材料2,三角波,0.049101544,33794.79076079529,33794.8,0,范围内
152,50,199170.0,材料2,三角波,0.1534623575,843510.574198879,843510.6,0,范围内
153,50,63180.0,材料2,三角波,0.1954349719999999,224285.51860663662,224285.5,0,范围内
154,50,125890.0,材料2,三角波,0.097917098,107074.68320670232,107074.7,0,范围内
155,50,199170.0,材料2,三角波,0.048758835,39429.02746531016,39429.0,0,范围内
156,70,316450.0,材料2,三角波,0.0311217079999999,45046.03281341267,45046.0,0,范围内
157,70,125890.0,材料2,三角波,0.038233001,7159.271388708264,7159.3,0,范围内
158,70,499970.0,材料2,三角波,0.019385279,36197.71936934936,36197.7,0,范围内
159,70,251230.0,材料2,三角波,0.039090595,27246.446857600957,27246.4,0,范围内
160,90,396810.0,材料2,三角波,0.0125182419999999,24797.488308280215,24797.5,0,范围内
161,90,316460.0,材料2,三角波,0.0123438235,6877.051538471694,6877.1,0,范围内
162,90,125890.0,材料2,三角波,0.1945246845,485670.3335831291,485670.3,0,范围内
163,90,251230.0,材料2,三角波,0.0388581545,31849.798951539815,31849.8,0,范围内
164,90,316450.0,材料2,三角波,0.0607418345,145572.16209296373,145572.2,0,范围内
165,90,499970.0,材料2,三角波,0.009659925,8796.23107482921,8796.2,0,范围内
166,90,499970.0,材料2,三角波,0.030861736,97236.95716744805,97237.0,0,范围内
167,90,158730.0,材料2,三角波,0.1554381645,334147.3348471951,334147.3,0,范围内
168,25,396820.0,材料2,三角波,0.0389268265,91873.11353898676,91873.1,0,范围内
169,25,396820.0,材料2,三角波,0.0194174385,16759.996953636783,16760.0,0,范围内
170,25,99980.0,材料2,梯形波,0.0609899725,41472.724645658025,41472.7,0,范围内
171,25,99980.0,材料2,梯形波,0.120841589,201450.78988335194,201450.8,0,范围内
172,25,125920.0,材料2,梯形波,0.1225734925,276945.7603123973,276945.8,0,范围内
173,25,158730.0,材料2,梯形波,0.0305156855,12392.695765390246,12392.7,0,范围内
174,25,199180.0,材料2,梯形波,0.09822204,309973.56957757776,309973.6,0,范围内
175,25,396820.0,材料2,梯形波,0.0778112035,580294.921346861,580294.9,0,范围内
176,50,79410.0,材料2,梯形波,0.122233965,101942.83570811915,101942.8,0,范围内
177,50,99980.0,材料2,梯形波,0.0302920024999999,4343.896941846463,4343.9,0,范围内
178,50,251240.0,材料2,梯形波,0.0195029499999999,8023.864917481933,8023.9,0,范围内
179,50,316460.0,材料2,梯形波,0.019297146,14463.930155950473,14463.9,0,范围内
180,50,50040.0,材料2,梯形波,0.194595871,171757.94193974143,171757.9,0,范围内
181,50,99960.0,材料2,梯形波,0.0770133845,44354.996449012564,44355.0,0,范围内
182,50,158730.0,材料2,梯形波,0.0389294865,15403.686684040333,15403.7,0,范围内
183,50,199190.0,材料2,梯形波,0.077680872,133723.08973357704,133723.1,0,范围内
184,50,199180.0,材料2,梯形波,0.1544002569999999,709510.86837171,709510.9,0,范围内
185,50,199190.0,材料2,梯形波,0.1931098195,1206194.650002411,1206194.7,0,范围内
186,50,251240.0,材料2,梯形波,0.049140346,63446.36542930433,63446.4,0,范围内
187,50,79500.0,材料2,梯形波,0.1945200195,320218.76224652445,320218.8,0,范围内
188,70,99970.0,材料2,梯形波,0.077475435,29523.49495099157,29523.5,0,范围内
189,70,125930.0,材料2,梯形波,0.306168313,1657877.4718048691,1657877.5,0,范围内
190,70,99970.0,材料2,梯形波,0.3076695299999999,1142404.393096311,1142404.4,0,范围内
191,70,158730.0,材料2,梯形波,0.0390407455,10761.53867036172,10761.5,0,范围内
192,70,199190.0,材料2,梯形波,0.1954007274999999,1126849.2004982021,1126849.2,0,范围内
193,90,396820.0,材料2,三角波,0.0389605035,80511.94308416684,80511.9,0,范围内
194,90,50070.0,材料2,梯形波,0.1544160455,66321.43043949729,66321.4,0,范围内
195,90,79410.0,材料2,梯形波,0.122248143,66538.8363396968,66538.8,0,范围内
196,90,50040.0,材料2,梯形波,0.1234109205,33747.395580726,33747.4,0,范围内
197,90,50040.0,材料2,梯形波,0.2454675615,242352.70559436467,242352.7,0,范围内
198,90,99960.0,材料2,梯形波,0.2439637085,642625.4560822739,642625.5,0,范围内
199,90,50020.0,材料2,梯形波,0.2451994774999999,247020.55514400834,247020.6,0,范围内
200,90,199180.0,材料2,梯形波,0.098314796,179939.29546360596,179939.3,0,范围内
201,25,79460.0,材料3,正弦波,0.195160965,505024.8561376308,505024.9,0,范围内
202,25,501180.0,材料3,正弦波,0.02481127,57819.25504065856,57819.3,0,范围内
203,50,199500.0,材料3,正弦波,0.0391290265,24130.257215412796,24130.3,0,范围内
204,50,199510.0,材料3,正弦波,0.0622906914999999,82604.34839382552,82604.3,0,范围内
205,50,199500.0,材料3,正弦波,0.1226083775,469820.97728743806,469821.0,0,范围内
206,70,99950.0,材料3,正弦波,0.049206109,10609.885747700368,10609.9,0,范围内
207,70,125860.0,材料3,正弦波,0.039081922,7997.487304690069,7997.5,0,范围内
208,70,316230.0,材料3,正弦波,0.015593974,5963.141364345338,5963.1,0,范围内
209,90,125850.0,材料3,正弦波,0.0245897775,2095.0157688985396,2095.0,0,范围内
210,90,125860.0,材料3,正弦波,0.07819173,45923.34669159361,45923.3,0,范围内
211,70,251170.0,材料3,正弦波,0.03103,17845.794921072145,17845.8,0,范围内
212,50,398100.0,材料3,正弦波,0.0489099999999999,169387.8588639951,169387.9,0,范围内
213,70,398100.0,材料3,正弦波,0.015555,11019.314188923689,11019.3,0,范围内
214,50,63020.0,材料3,正弦波,0.157789449,181173.2386999939,181173.2,0,范围内
215,50,63030.0,材料3,正弦波,0.1967516415,291719.72972826194,291719.7,0,范围内
216,70,63030.0,材料3,正弦波,0.23907524,438235.2448660879,438235.2,0,范围内
217,70,158500.0,材料3,正弦波,0.0155162135,1117.258682548019,1117.3,0,范围内
218,70,251170.0,材料3,正弦波,0.012099009,1687.8172799004396,1687.8,0,范围内
219,90,50020.0,材料3,正弦波,0.1573217,108216.3738656268,108216.4,0,范围内
220,90,99950.0,材料3,正弦波,0.0195224995,740.3171815868649,740.3,0,范围内
221,90,125860.0,材料3,正弦波,0.1536404365,335001.2093455316,335001.2,0,范围内
222,90,158500.0,材料3,正弦波,0.049019771,19403.90718443587,19403.9,0,范围内
223,90,199500.0,材料3,正弦波,0.0971504315,215037.27051331074,215037.3,0,范围内
224,70,398100.0,材料3,正弦波,0.012405,6631.339613531477,6631.3,0,范围内
225,50,50020.0,材料3,正弦波,0.04001,4072.888214096483,4072.9,0,范围内
226,90,50030.0,材料3,正弦波,0.04907,3522.6280881489197,3522.6,0,范围内
227,90,158500.0,材料3,正弦波,0.09614,131933.8671870805,131933.9,0,范围内
228,90,63020.0,材料3,正弦波,0.06254,9711.035985964194,9711.0,0,范围内
229,25,63020.0,材料3,正弦波,0.079595,53112.44903230788,53112.4,0,范围内
230,25,50020.0,材料3,正弦波,0.100805,68725.25341282194,68725.3,0,范围内
231,70,125860.0,材料3,正弦波,0.0618849999999999,27556.331680427364,27556.3,0,范围内
232,50,99950.0,材料3,正弦波,0.152795,291431.6220064364,291431.6,0,范围内
233,25,398100.0,材料3,正弦波,0.024905,35760.07427679796,35760.1,0,范围内
234,25,158500.0,材料3,正弦波,0.0978499999999999,261062.693307731,261062.7,0,范围内
235,25,99950.0,材料3,正弦波,0.0156118725,1467.9230977758596,1467.9,0,范围内
236,25,79430.0,材料3,三角波,0.0774790334999999,74738.88536991752,74738.9,0,范围内
237,25,125910.0,材料3,三角波,0.061538148,88282.2681933698,88282.3,0,范围内
238,25,158750.0,材料3,三角波,0.0196109375,8325.484011241528,8325.5,0,范围内
239,25,251220.0,材料3,三角波,0.012240585,7558.625499242272,7558.6,0,范围内
240,25,316460.0,材料3,三角波,0.030783314,100309.50997481548,100309.5,0,范围内
241,25,316470.0,材料3,三角波,0.0387879349999999,172374.53757455834,172374.5,0,范围内
242,25,396790.0,材料3,三角波,0.049501666,473578.63485833735,473578.6,0,范围内
243,25,158740.0,材料3,三角波,0.019308988,4706.654035667842,4706.7,0,范围内
244,25,396810.0,材料3,三角波,0.0153775385,18411.746338143934,18411.7,0,范围内
245,25,251230.0,材料3,三角波,0.123141005,807433.5148276908,807433.5,0,范围内
246,25,316450.0,材料3,三角波,0.019413064,13028.555956660888,13028.6,0,范围内
247,25,316450.0,材料3,三角波,0.0769900984999999,380015.3793204015,380015.4,0,范围内
248,25,251230.0,材料3,三角波,0.098169633,429641.1191539401,429641.1,0,范围内
249,50,79430.0,材料3,三角波,0.0485489625,17173.30528055384,17173.3,0,范围内
250,50,125890.0,材料3,三角波,0.015552425,2820.8849660253304,2820.9,0,范围内
251,50,316460.0,材料3,三角波,0.019560529,37294.06580945321,37294.1,0,范围内
252,50,125890.0,材料3,三角波,0.2427663525,1314235.9969083727,1314236.0,0,范围内
253,50,396810.0,材料3,三角波,0.015435986,18156.236886575214,18156.2,0,范围内
254,50,63180.0,材料3,三角波,0.0774422055,27741.63695765093,27741.6,0,范围内
255,50,158730.0,材料3,三角波,0.1953546325,921503.6600274912,921503.7,0,范围内
256,50,199170.0,材料3,三角波,0.0777699544999999,137655.666679585,137655.7,0,范围内
257,50,316450.0,材料3,三角波,0.0308776125,29959.54928440742,29959.5,0,范围内
258,50,499970.0,材料3,三角波,0.01951219,30243.56836519202,30243.6,0,范围内
259,70,199170.0,材料3,三角波,0.194320032,1433871.004370883,1433871.0,0,范围内
260,70,251230.0,材料3,三角波,0.0388858874999999,47307.53590735979,47307.5,0,范围内
261,70,158730.0,材料3,三角波,0.0777933955,69175.71486469204,69175.7,0,范围内
262,70,251230.0,材料3,三角波,0.0980267435,321002.2940914647,321002.3,0,范围内
263,70,316450.0,材料3,三角波,0.0386556329999999,58489.017286295864,58489.0,0,范围内
264,70,316450.0,材料3,三角波,0.060794206,160567.88354316144,160567.9,0,范围内
265,90,158750.0,材料3,三角波,0.0156149155,5077.84996704551,5077.8,0,范围内
266,90,158750.0,材料3,三角波,0.1554446715,813616.9019879396,813616.9,0,范围内
267,90,199170.0,材料3,三角波,0.0153518305,3530.909003623857,3530.9,0,范围内
268,90,251230.0,材料3,三角波,0.0122430305,3896.5087680745687,3896.5,0,范围内
269,90,499970.0,材料3,三角波,0.0122982695,14585.958559932804,14586.0,0,范围内
270,90,99910.0,材料3,三角波,0.3083150845,1306902.8514686085,1306902.9,0,范围内
271,90,125890.0,材料3,三角波,0.307732973,1762267.5482058579,1762267.5,0,范围内
272,90,316450.0,材料3,三角波,0.1223885485,769424.2757342637,769424.3,0,范围内
273,90,499970.0,材料3,三角波,0.0098316515,7737.06825541112,7737.1,0,范围内
274,25,396820.0,材料3,三角波,0.030978764,53246.648674504315,53246.6,0,范围内
275,25,396820.0,材料3,三角波,0.0123484575,6027.949076080391,6027.9,0,范围内
276,25,63210.0,材料3,梯形波,0.2441388315,597161.405829335,597161.4,0,范围内
277,25,99960.0,材料3,梯形波,0.076805503,76150.38299836156,76150.4,0,范围内
278,25,251240.0,材料3,梯形波,0.049014649,85589.7582413966,85589.8,0,范围内
279,25,499980.0,材料3,梯形波,0.024528543,60173.18849172353,60173.2,0,范围内
280,25,63060.0,材料3,梯形波,0.0611880405,28711.04794858703,28711.0,0,范围内
281,50,50040.0,材料3,梯形波,0.1542475039999999,110777.56489121736,110777.6,0,范围内
282,50,251240.0,材料3,梯形波,0.123040328,672242.3631575964,672242.4,0,范围内
283,50,316450.0,材料3,梯形波,0.0978100215,597789.9011268301,597789.9,0,范围内
284,50,396810.0,材料3,梯形波,0.024453936,33938.51922247652,33938.5,0,范围内
285,70,316450.0,材料3,三角波,0.194803215,2279441.5471209227,2279441.5,0,范围内
286,70,158740.0,材料3,梯形波,0.0490243785,25704.394004921498,25704.4,0,范围内
287,70,79460.0,材料3,梯形波,0.154718368,174391.2568907478,174391.3,0,范围内
288,70,158730.0,材料3,梯形波,0.0978037575,142062.20693293196,142062.2,0,范围内
289,70,199190.0,材料3,梯形波,0.04887027,36528.46934886552,36528.5,0,范围内
290,70,251240.0,材料3,梯形波,0.1942937025,1860145.972158738,1860146.0,0,范围内
291,70,63150.0,材料3,梯形波,0.123453974,69275.44303110972,69275.4,0,范围内
292,70,499980.0,材料3,梯形波,0.0775949325,740650.4630358496,740650.5,0,范围内
293,90,396820.0,材料3,三角波,0.1226603195,1213714.3809674915,1213714.4,0,范围内
294,90,50080.0,材料3,三角波,0.154126925,84974.45714980106,84974.5,0,范围内
295,90,125930.0,材料3,梯形波,0.048527411,15079.184528279795,15079.2,0,范围内
296,90,199190.0,材料3,梯形波,0.2436634275,2163359.7467844384,2163359.7,0,范围内
297,90,125910.0,材料3,梯形波,0.1549749275,338343.41324625904,338343.4,0,范围内
298,90,316450.0,材料3,梯形波,0.077131078,287800.7667755417,287800.8,0,范围内
299,90,499980.0,材料3,梯形波,0.0487594489999999,263158.6526343563,263158.7,0,范围内
300,90,63060.0,材料3,梯形波,0.098220222,36558.786206046985,36558.8,0,范围内
301,25,50020.0,材料4,正弦波,0.0283961525,3215.7006322865072,3215.7,0,范围内
302,25,63020.0,材料4,正弦波,0.0207028215,2093.7894689492778,2093.8,0,范围内
303,25,63020.0,材料4,正弦波,0.089152132,68772.55008712506,68772.6,0,范围内
304,25,70830.0,材料4,正弦波,0.022208891,2512.893434613064,2512.9,0,范围内
305,25,70840.0,材料4,正弦波,0.025168067,3317.4760073652506,3317.5,0,范围内
306,25,89090.0,材料4,正弦波,0.0706001245,59227.79312817815,59227.8,0,范围内
307,25,125860.0,材料4,正弦波,0.070047955,97468.70667448903,97468.7,0,范围内
308,25,141260.0,材料4,正弦波,0.031331431,13629.981081017391,13630.0,0,范围内
309,25,199500.0,材料4,正弦波,0.087084295,285398.4964138124,285398.5,0,范围内
310,25,251170.0,材料4,正弦波,0.055322169,133223.3133647841,133223.3,0,范围内
311,25,281850.0,材料4,正弦波,0.0276634924999999,26156.41490481074,26156.4,0,范围内
312,25,316230.0,材料4,正弦波,0.019738881,12736.731217521678,12736.7,0,范围内
313,50,112160.0,材料4,正弦波,0.0872825225,97644.36915155774,97644.4,0,范围内
314,50,125860.0,材料4,正弦波,0.015598403,1087.1521383472448,1087.2,0,范围内
315,50,158510.0,材料4,正弦波,0.0112013285,842.1144499108004,842.1,0,范围内
316,50,223850.0,材料4,正弦波,0.021991159,6678.419218193419,6678.4,0,范围内
317,50,316230.0,材料4,正弦波,0.0220511769999999,14980.208830548909,14980.2,0,范围内
