样本编号,温度_oC,频率_Hz,磁芯材料,励磁波形,磁通密度峰值B_m_T,对数磁通密度峰值,磁通密度_RMS_T,磁通密度_绝对均值_T,磁通密度_标准差_T,磁通密度_均值_T,磁通密度_最大绝对值_T,磁通密度_峰峰值_T,波峰因子,波形因子,偏度,超额峰度,斜率RMS归一化,最大斜率归一化,总变差归一化,THD_2_10,频谱质心归一化,近峰值点比例,过零数,H2_ratio,H3_ratio,H4_ratio,H5_ratio,H6_ratio,H7_ratio,H8_ratio,H9_ratio,H10_ratio,对数频率,对数频率×对数B_m,频率×B_m
12,50,70840.0,材料1,正弦波,0.176041024,-1.7370382201963597,0.12481868811153671,0.11243808435644541,0.12481868811153661,2.92974684836249e-12,0.177033983,0.352082048,1.4183291434837406,1.1101104116630354,-0.011715419587439225,-1.5031355706880292,0.0021756012202916748,0.0031285605337083256,2.000000000000001,0.008090063513629012,0.0020988699192289457,0.283203125,2.0,0.007065276091329744,0.003912225463665352,0.00013180038682227932,0.00013460031630787957,5.6233943614743324e-05,0.0003704548908298313,9.222300063894461e-06,0.00022112247781344138,2.500917032636514e-05,11.16817909189677,-19.39955393262256,12470.74614016
13,50,112160.0,材料1,正弦波,0.0312007295,-3.4673138030297848,0.022098556130044193,0.019897183107421865,0.022098556130044206,-2.5390620815845264e-11,0.031238584,0.062401459,1.4136029438380113,1.1106374209222205,-0.002243852353276924,-1.501073288169455,0.0021729730709205753,0.0030743191437238673,2.000000000000001,0.0018395921807137492,0.002038563616402914,0.2880859375,2.0,0.001661197013113845,0.0005483251094120272,0.0001813426450761484,0.0004884234551595791,5.8635343667086613e-05,0.00010437770944265568,6.48130241221023e-05,0.00018167621291221737,2.9682295909001585e-05,11.627681702268417,-40.316821263512146,3499.47382072
14,50,125850.0,材料1,正弦波,0.02462102,-3.704154729352092,0.017444701130831335,0.015710461420898422,0.017444701130831342,4.882812171639856e-12,0.024629315,0.04924204,1.411850785822335,1.1103875731890336,-0.0006773435603470917,-1.502052556843058,0.0021737632848948325,0.0030923779762170697,1.9999999999999978,0.0015364204533004676,0.0020378555504758714,0.2900390625,2.0,0.001066713935748493,0.0010318911117294894,7.06878118163144e-05,0.0003152034988604351,1.6139710383417017e-05,0.00019124373972581113,1.68483513348824e-05,0.00012620552392068378,2.2661647204933166e-05,11.742846000563462,-43.49731854904045,3098.555367
15,50,141260.0,材料1,正弦波,0.0553123975,-2.8947582093230504,0.03918204263995476,0.03528475339843749,0.0391820426399548,1.9531177032654283e-12,0.055370567,0.110624795,1.4131618279527227,1.1104525004754562,-0.0022631671027504166,-1.501704814339596,0.0021733060916988177,0.0030944690112194094,1.9999999999999984,0.0024362686285102106,0.00202982980253123,0.2890625,2.0,0.0022465555143027435,0.0008646126457793259,1.4980087329613683e-05,0.0003011150446544519,2.484152636611828e-05,0.00018339230663678814,1.636022213187164e-05,0.00012324869471648484,1.535297562346402e-05,11.858357442962912,-34.32707755710398,7813.42927085
16,50,199500.0,材料1,正弦波,0.0122960845,-4.3984744006159096,0.0087181820375723,0.007852720926757813,0.008718182037572292,5.371093570841313e-11,0.012296199,0.024592169,1.4104086089287542,1.110211622046247,7.218230507113876e-05,-1.502947439317739,0.002175289257308713,0.00310668001671589,1.9999999999999998,0.0017177882197655675,0.0020381420332525315,0.291015625,2.0,0.000688016248594998,0.001482433058728685,3.550373104631128e-05,0.0003210092141306233,1.7128374161430987e-05,0.0003677216418992399,1.7887218261686736e-05,0.0001966803704952591,3.160850692755488e-05,12.203569515312056,-53.677088109236784,2453.06885775
17,50,199500.0,材料1,正弦波,0.07801283049999999,-2.550881972230389,0.05527599623261331,0.04978018778906258,0.05527599623261328,-1.9531170961545634e-12,0.078141932,0.15602566099999998,1.4136684515130564,1.1104015209190963,-0.0034110805657388997,-1.5020015616932982,0.0021738626129456473,0.003098368543364159,2.0000000000000018,0.0036086916673558176,0.00202526459823987,0.2880859375,2.0,0.0034346135864044614,0.0010307029727868674,1.687119730244805e-05,0.0003175375812868038,4.2961642820867924e-05,0.00020001531963131987,1.839014077031686e-05,0.0001411521650012076,2.2532851272022566e-05,12.203569515312056,-31.12986547346987,15563.559684749998
18,50,199500.0,材料1,正弦波,0.111054918,-2.197730443264816,0.07857535864246225,0.07073749992871092,0.07857535864246222,2.8320331390021788e-11,0.111302483,0.222109836,1.4165062040181635,1.110802031760386,-0.0047293435967110465,-1.499700566149434,0.002170771803648097,0.0030954684960462536,2.000000000000002,0.00472935295355274,0.002010232072297589,0.28515625,2.0,0.00471232801279645,0.00020259807524042748,5.6279839467236136e-05,0.00023683670126548745,1.3453094856633671e-05,0.00023452283623740764,9.74963294522872e-06,6.9431572745737e-05,1.8474049080216968e-05,12.203569515312056,-26.82015624029976,22155.456141
19,50,251170.0,材料1,正弦波,0.0123724725,-4.39228123381195,0.008767569443221167,0.007896497265625,0.008767569443221173,5.468750098885221e-11,0.012375465,0.024744945,1.4115046456311051,1.110311211198428,-0.0004107517973335587,-1.5024595627457569,0.0021740883029020847,0.0030915405146384437,1.9999999999999976,0.0014108522225591412,0.0020128993132893145,0.2900390625,2.0,0.0005597647191037027,0.0012364363879443167,3.8306153836164824e-05,0.00029681601745558964,3.836611716609713e-05,0.0001978242963060803,1.8725386205442295e-05,0.00013325118755692494,1.0605274387949725e-05,12.433885279692646,-54.61312097736466,3107.593917825
20,50,251170.0,材料1,正弦波,0.1232398425,-2.0936228832486443,0.08726636824728898,0.07857308166894524,0.08726636824728898,6.835917484824969e-12,0.123556221,0.246479685,1.4158515299946426,1.1106395013876569,-0.0056121169471551454,-1.5008046530840413,0.0021725573276757844,0.0031053431442027365,2.000000000000001,0.006015475497725079,0.002018410201144043,0.28515625,2.0,0.005979697986985276,0.0004819548832432496,5.990880182075893e-05,0.00039309669516939504,1.3545167231981392e-05,0.00015844291575097148,2.165351083983146e-05,0.00011251762256875625,1.860492883847066e-05,12.433885279692646,-26.031866749252995,30954.151240725
21,70,63020.0,材料1,正弦波,0.031141534499999998,-3.4692128363337313,0.02204268288244738,0.019842267369140635,0.02204268288244737,-3.71093725834699e-11,0.031214743,0.062283068999999996,1.4161045262260858,1.110895366561228,-0.0046501330797693195,-1.4996411010889565,0.002171609680654756,0.0030715409993685447,1.9999999999999993,0.0023390762893646553,0.00205223798139331,0.28515625,2.0,0.002218070212634501,0.00020194589396487557,0.00016840990299060181,0.0006652413663557669,4.6986522479718914e-05,0.00018312486588779368,4.9034283286561335e-05,3.921366002171499e-05,8.233006444474612e-06,11.051207415311266,-38.33899062218436,1962.53950419
22,70,70840.0,材料1,正弦波,0.1107040075,-2.2008952384774547,0.07842656973081893,0.07062441040820305,0.07842656973081888,-1.3671911066031128e-11,0.111088988,0.221408015,1.4164713359424908,1.110473974614727,-0.007671992418586155,-1.5015376867748116,0.00217355055023475,0.0031033971376329805,2.0000000000000018,0.004961497070553519,0.002057692144105947,0.28515625,2.0,0.004820263275492048,0.0011033683411268366,9.254864301105253e-05,0.0002963103477960698,5.9803032424274626e-05,0.0002002430067140983,1.1662733134347497e-05,0.00015450199609181374,6.9148935680723815e-06,11.16817909189677,-24.579992185819066,7842.271891300001
23,70,79460.0,材料1,正弦波,0.2171642635,-1.5271012371481105,0.1539317829938347,0.1386489070507812,0.15393178299383461,-5.859426424521276e-12,0.218706189,0.434328527,1.4207994265145338,1.1102271649170377,-0.014861255167574224,-1.502874009890462,0.0021749907024148315,0.0031131572437561755,1.999999999999998,0.009110711036108957,0.0020644299829323466,0.2802734375,2.0,0.008504839471694083,0.00324181455803327,0.00014497836026068262,0.00032861666947355065,4.781875158333034e-05,7.667816743672554e-05,2.1941420059034613e-05,0.00015875250334191075,2.3279121969690348e-05,11.28300902936859,-17.230297047502074,17255.872377710002
24,70,89080.0,材料1,正弦波,0.055017399999999994,-2.9001057801457257,0.03901743717273373,0.03513318206933595,0.03901743717273372,-6.83595415118719e-12,0.055152375,0.11003479999999999,1.4135314617368493,1.110558021636985,-0.0051373858009834275,-1.5017961395483768,0.002175835065306227,0.0030983198042801004,2.0000000000000004,0.003318342871703674,0.002082965695377324,0.2890625,2.0,0.002994644863432086,0.000920382501823224,7.84432845584095e-05,0.0010342399192846872,3.763276899119669e-05,0.000336938779064978,5.18220599606008e-05,5.333744608908069e-05,1.0847659476274841e-05,11.397290121371304,-33.0533469589867,4900.949992
25,70,89080.0,材料1,正弦波,0.0782774335,-2.5474959231440133,0.05547122802576037,0.04995392623242188,0.0554712280257604,-1.9531372532093674e-12,0.078525025,0.156554867,1.4155991816790794,1.110447810802058,-0.006599090080084402,-1.5018639238640665,0.0021741834909073596,0.0031002421662176764,1.999999999999999,0.00408188290630553,0.002052875733638134,0.2861328125,2.0,0.003931263005176291,0.000964427864580685,9.53378331273438e-05,0.00043068203916949924,3.553903720964018e-05,0.00018931715350291352,1.7927100573649326e-05,0.00020835056015438094,3.750297355441279e-05,11.397290121371304,-29.034550119082933,6972.953776179999
26,70,99950.0,材料1,正弦波,0.0693877325,-2.6680451922238584,0.049180579960508654,0.04429056500488276,0.04918057996050868,4.980468372566422e-11,0.069518877,0.138775465,1.4135432533699832,1.1104075993405549,-0.004179046952640921,-1.5021863947837362,0.0021745747625316657,0.0031036177756637306,2.000000000000003,0.003635112350830116,0.002054290082527327,0.2890625,2.0,0.0034041913896206825,0.0011381067529074224,8.218776536968785e-05,0.0004871138899792449,1.1839057332468921e-05,0.0001870979769677843,2.857126255196883e-05,0.00022088068559419203,3.8087055715472285e-05,11.512425339928546,-30.715671079032475,6935.303863374999
27,70,281850.0,材料1,正弦波,0.0698713475,-2.66109962078723,0.04944208952916039,0.04450702566210936,0.04944208952916038,-9.765624678704759e-12,0.069970603,0.139742695,1.415203193601519,1.110882805436546,-0.0029306564890144806,-1.4995459546470966,0.0021709914435879335,0.0030883689483732946,1.999999999999999,0.0036513095398869083,0.0020054403832169133,0.287109375,2.0,0.0036051190459433884,0.00021606661025151363,4.2867463382129476e-05,0.0005112374761528628,4.1404468539912426e-05,0.00015096803129173472,1.3702778879631874e-05,2.2821347410616565e-05,8.809517920692692e-06,12.549130293509721,-33.39448586526826,19693.239292875
28,70,281860.0,材料1,正弦波,0.097074699,-2.332274504064552,0.06876846108904042,0.06192408880761708,0.06876846108904042,-4.882798459446989e-12,0.097251641,0.194149398,1.4141895784766794,1.1105284294563804,-0.003956232367362862,-1.5015083756357341,0.0021734706485074837,0.00310944049386133,1.999999999999998,0.005176365838716411,0.002026169788893887,0.287109375,2.0,0.0050915071315135035,0.0007950109197515071,6.143449135585982e-05,0.0004106802459701762,2.5936379476458568e-05,0.00013674874875413501,2.025064627740487e-05,0.0002159818212143245,2.0308876362317227e-05,12.549165772745502,-29.268099379053865,27361.47466014
29,90,56320.0,材料1,正弦波,0.048898791999999996,-3.0180025862829294,0.034650752359247375,0.03120421346972659,0.03465075235924736,-1.8554673412969565e-11,0.04897426,0.09779758399999999,1.4133678683871365,1.110451073950783,-0.003066623328538072,-1.5018287287376888,0.0021740680644627155,0.003097274877465275,2.0000000000000018,0.002155503607038977,0.002083223545814616,0.2880859375,2.0,0.0018612039392324718,0.0009546374072258846,5.4963698619706914e-05,0.0003737606024721639,1.8162568306301056e-05,0.00020882295112194553,2.7448181551426682e-05,0.00028250153869257937,5.9730187555233706e-05,10.938804990831924,-33.01334175317536,2753.97996544
30,90,125860.0,材料1,正弦波,0.21679814149999999,-1.5287885818703635,0.15367139494449225,0.13839562106542977,0.15367139494449242,-1.074219147878877e-11,0.217773654,0.43359628299999997,1.4171385252191027,1.1103775810351724,-0.009225472402733234,-1.5023316246581977,0.0021749313350551587,0.0031388437893965994,1.9999999999999971,0.00884136948674409,0.0020633501238896176,0.28515625,2.0,0.008624844370861131,0.0018511073464434207,0.00012959199063086204,0.0005118333284422211,2.097003702872909e-05,0.0001734264849083129,1.6671841946927277e-05,0.00021216555413594066,2.6447505769644505e-05,11.742925457080924,-17.952450356540137,27286.214089189998
31,90,141270.0,材料1,正弦波,0.034669756999999995,-3.361887528251216,0.024589564149712854,0.022143328757812497,0.024589564149712854,-2.1484387543837434e-11,0.034686752,0.06933951399999999,1.4106289883306067,1.1104727937996806,-0.0011907471233644014,-1.5021633854413423,0.0021760196631620135,0.003096430701836185,2.0,0.002154404777146088,0.0020745378674053828,0.291015625,2.0,0.0015365948880455237,0.001111471484283397,7.020668543597824e-05,0.0009628412709880427,4.44812732346275e-05,0.0003258252066366891,2.5735888693059202e-05,5.910990701273322e-05,2.6037965109528043e-05,11.85842823190571,-39.866701977505926,4897.796571389999
32,90,158500.0,材料1,正弦波,0.0219591365,-3.818571984607542,0.015556330548894349,0.014008853331054706,0.015556330548894347,8.789067022745076e-12,0.021967606,0.043918273,1.4121328889839853,1.1104642315305857,-0.000660779508223729,-1.5018962149825001,0.002173429712537653,0.0030771701792554553,2.0,0.0012821624250353252,0.002021837927219256,0.2900390625,2.0,0.0007264616835502175,0.0009630906643084813,0.00010758755280321049,0.00038618202594698116,5.780301253152977e-05,6.027303207325579e-05,2.4000275161101993e-05,0.00014253948130540602,8.431877214046847e-06,11.973509872299472,-45.72170935578459,3480.52313525
33,90,251170.0,材料1,正弦波,0.039236748,-3.2381415223370027,0.027771532817419863,0.025001840199218726,0.02777153281741989,4.6874979629913314e-11,0.039265727,0.078473496,1.413884039391961,1.1107795504703564,-0.0015551346164443037,-1.5000670238491696,0.0021715060425969673,0.0030822253668933005,2.0000000000000018,0.0019324702059427413,0.0020016519144672586,0.287109375,2.0,0.0018600710270275343,3.990794365550303e-05,4.212740023324084e-05,0.0004928706061542883,3.680295670968401e-05,0.00016056597382320723,1.255937105786559e-05,3.119431447565308e-05,4.621948901971636e-06,12.433885279692646,-40.26268020814759,9855.093995160001
34,90,251170.0,材料1,正弦波,0.0494448605,-3.0068971595807774,0.03504949202874709,0.031569153026367196,0.03504949202874708,4.394529061960744e-11,0.049489401,0.098889721,1.4119862553046276,1.1102449279989566,-0.0018303762473291304,-1.5027172432550373,0.002174806047389061,0.0031021727728405665,1.9999999999999978,0.0028231001305539846,0.0020259268149181,0.2900390625,2.0,0.002420982278273264,0.0013729169782366706,5.426298077051967e-05,0.00026140974403722424,1.4143863110814704e-05,0.00033326777614921775,8.260604529182756e-06,0.00020272235703153307,1.1249436419227635e-05,12.433885279692646,-37.387414330061056,12419.065611785
35,90,316230.0,材料1,正弦波,0.013355523000000001,-4.315825271824213,0.009452486345683749,0.008510667765624995,0.009452486345683749,2.7343751812445766e-11,0.013359654,0.026711046000000002,1.4133481405239339,1.11066329998955,-0.00047096808543722803,-1.5004318713148619,0.0021713832402468452,0.00307756573815941,2.0000000000000004,0.0008410248075672784,0.0019926597537601605,0.2880859375,2.0,0.0007390707445413011,0.00021877792876604733,4.4724689022786384e-05,0.0002497006701791882,3.083266555475377e-05,0.0002161424775059473,1.4797340792716029e-05,2.3019715239250284e-05,2.157694286987914e-05,12.664225075917345,-54.65658263071399,4223.41703829
36,90,316230.0,材料1,正弦波,0.015575170999999999,-4.162077235235664,0.011045357472717926,0.009946463058593744,0.011045357472717928,7.81249945025569e-11,0.015581368,0.031150341999999998,1.4106712289290806,1.110480922479749,-0.000756594825752698,-1.502119180152355,0.002175741191634302,0.003094283844459878,1.9999999999999978,0.0017666412010471932,0.0020289954189140163,0.291015625,2.0,0.0009841799749800127,0.0010768478417930768,2.5762793937506848e-05,0.0009361708520384042,6.760840730383764e-05,0.0003284405501868827,2.8150221086239878e-05,4.9096255521809805e-05,9.114875475568544e-06,12.664225075917345,-52.70948289037623,4925.336325329999
37,25,56180.0,材料1,三角波,0.087412284,-2.4371194569976757,0.05057847318197323,0.0438040576357422,0.050578473181973206,3.8085909399116977e-11,0.088750148,0.174824568,1.7547019990241939,1.1546526945646103,0.024796515840821792,-1.198127429776262,0.003242735278323861,0.009942572831068034,1.9999999999999978,0.6140974152139176,0.008337002149446996,0.087890625,2.0,0.4753981696264484,0.29204659143516737,0.19343505085758855,0.1303000514022238,0.08633741600337971,0.0539243943253752,0.030080661062144937,0.012606923249261406,0.00010693170767454915,10.936316100658235,-26.653108756791138,4910.8221151200005
38,25,158750.0,材料1,三角波,0.06932745700000001,-2.6689142463485127,0.04027644811812999,0.03487229510351562,0.04027644811812998,-1.562500089979501e-11,0.070248137,0.13865491400000002,1.7441492555143807,1.1549698119545209,0.01543282006217003,-1.1978344273191217,0.0032236953989500067,0.010007578959660979,1.9999999999999971,0.6117701380941349,0.00837120833878355,0.0947265625,2.0,0.47567690674394253,0.2906354901853692,0.19132667018445873,0.1278319135217412,0.08381294298009394,0.051565372270249515,0.027880194658430574,0.01074609316653136,0.0013858064617365007,11.975085916754939,-31.960477404474695,11005.733798750001
39,25,158750.0,材料1,三角波,0.07792244549999999,-2.552041235386755,0.04524454174834985,0.03915791413574217,0.04524454174834986,-1.4648447819315402e-11,0.078997603,0.15584489099999999,1.7460139930112386,1.155437993747782,0.017113456487921598,-1.195459257728927,0.003223855498028755,0.0100259751216355,2.0000000000000004,0.6130416905496066,0.008345194955940213,0.09375,2.0,0.4769096729543366,0.29093044601923296,0.19155420503709203,0.12815885921531722,0.0839353965277203,0.05166745742107631,0.028052637602456573,0.010754893537271529,0.0013236135071879273,11.975085916754939,-30.560913056857803,12370.188223124998
40,25,251230.0,材料1,三角波,0.0865260665,-2.447309563619328,0.050491222106098355,0.04371737345703126,0.050491222106098375,2.3437508322467736e-11,0.088098012,0.173052133,1.7448183728822735,1.1549463774562063,0.018473250142813646,-1.1988708803938615,0.003239414622492301,0.010250986042454661,2.0000000000000036,0.6141454040575454,0.007798634097167264,0.0947265625,2.0,0.4765726238507788,0.29155538201856984,0.1926349318901827,0.1294770804167839,0.08539935119129752,0.05336611877570093,0.029692782139116587,0.012384714443839007,7.154937270733504e-05,12.434124133196967,-30.430150906402822,21737.943686795
41,25,56180.0,材料1,三角波,0.1220785935,-2.103090232646042,0.07072894544466221,0.06126240702929689,0.07072894544466216,3.906272888162289e-12,0.122984439,0.244157187,1.7388134126249923,1.1545244281838,0.009725510286216526,-1.1997791475767574,0.0024422138153525207,0.005043238805008004,1.9999999999999987,0.45055351596404597,0.006231337551954385,0.095703125,2.0,0.40443936454406687,0.18089135164345296,0.0632951608939565,0.000323963123922751,0.027860933821915197,0.033322408807705824,0.02559764891817901,0.01254350018894288,0.00011883331587993247,10.936316100658235,-23.000059572423982,6858.37538283
42,25,99910.0,材料1,三角波,0.2448322785,-1.4071818804186387,0.14226482633604798,0.12316520947753891,0.142264826336048,-2.9296682809744345e-12,0.246226914,0.489664557,1.7307645209391398,1.1550731488179882,0.008208502324983588,-1.1972100935368033,0.002439243697052169,0.004993808445073994,2.0000000000000027,0.45112781096319127,0.0057741583908779495,0.1015625,2.0,0.4055904416592046,0.18020482866328222,0.06229871505824391,0.00034211298021022933,0.02806757044548905,0.03307617648479529,0.025096940881957377,0.012080379375684446,0.00023297491516277474,11.512025059727064,-16.19951307097322,24461.192944935
43,50,70790.0,材料1,三角波,0.275242573,-1.2901024864863495,0.15908444990880194,0.137725821234375,0.15908444990880188,-7.812587545213273e-12,0.278893964,0.550485146,1.7531189513486771,1.1550807864712593,0.017268506813069864,-1.1951513312408009,0.0032427671444077385,0.010008362696129855,2.000000000000002,0.6151537361978221,0.008792241020279938,0.0908203125,2.0,0.4764879765802833,0.2926031158278773,0.1935466905611147,0.13038994231200654,0.08594810783251816,0.05361876560267912,0.029723724365682807,0.012219696330553496,0.00012419248514834315,11.167473026768235,-14.40718471960294,19484.421742669998
44,50,125890.0,材料1,三角波,0.195057676,-1.6344599897920284,0.11311853989263163,0.09788400769921894,0.11311853989263172,-5.85944116035346e-12,0.197714767,0.390115352,1.7478546592597848,1.1556386232184714,0.01884512589414373,-1.1933335986956117,0.0032349822749562973,0.010028354382731383,1.9999999999999971,0.6159724911282047,0.007998778277340688,0.09375,2.0,0.47795342155327053,0.292511454512017,0.19331504230739685,0.1298929059056822,0.0855917043051389,0.053275588085787744,0.02943590875257943,0.012083690739886471,0.00031081635546055666,11.743163788760304,-19.193731366303286,24555.810831640003
45,50,199160.0,材料1,三角波,0.0108141135,-4.526903192423621,0.006259243183290878,0.005415805661132814,0.00625924318329088,5.957031127602243e-11,0.011027179,0.021628227,1.7617431815777953,1.155736297594852,0.026115633778470697,-1.1917972010904314,0.003249619408955905,0.010235143176553552,2.0000000000000027,0.6177627197698143,0.008348956510729155,0.0859375,2.0,0.47830497648524367,0.29349649095921104,0.19462893761025524,0.13128027908951664,0.08684593299776068,0.05440688649890676,0.030521469424653554,0.012879534688340308,0.0004840268336710079,12.201863800756119,-55.23665619316109,2153.73884466
