年份,轮次,处理,日期,植物种名,植物群落功能群,放牧小区Block,重复,营养苗,生殖苗,株/丛数,丛幅1,丛幅2,鲜重(g),干重(g),备注：1、本表中放牧小区与附件14中放牧小区同义。,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G6,4,3 ,,12,2,2,2.73,1.73,,
2019,牧前,轻牧（3天）,2019.5.10,米氏冰草,PR,G6,4,9 ,,12,4,3,15.73,6.76,,
2019,牧前,轻牧（3天）,2019.5.10,蒙古葱,PF,G6,4,11 ,,2,,,0.74,0.14,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G6,5,13 ,,14,8,8,19.22,8.16,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G6,5,7 ,,57,,,7.22,2.38,,
2019,牧前,轻牧（3天）,2019.5.10,蒙古葱,PF,G6,5,14 ,,1,,,0.53,0.1,,
2019,牧前,轻牧（3天）,2019.5.10,知母,PF,G6,5,7 ,,14,,,1.91,0.48,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G6,5,4 ,,2,4,4,0.37,0.19,,
2019,牧前,轻牧（3天）,2019.5.10,米氏冰草,PR,G6,5,7 ,,13,4,4,8.65,3.49,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G8,1,22 ,,7,10,8,40.53,18.13,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G8,1,14 ,,4,,,0.07,0.02,,
2019,牧前,中牧（6天）,2019.5.10,知母,PF,G8,1,5 ,,1,,,0.01,0.01,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G8,1,3 ,,8,3,2,1.14,0.81,,
2019,牧前,中牧（6天）,2019.5.10,黄花葱,PF,G8,1,10 ,,2,,,0.61,0.18,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G8,2,18 ,,7,9,9,50.28,20.18,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G8,2,12 ,,27,,,1.34,0.86,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G8,2,2 ,,17,2,2,0.34,0.13,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G8,3,17 ,,6,10,12,31.78,14.14,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G8,3,13 ,,15,,,2.11,0.94,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G8,3,2 ,,8,2,5,4.12,2.96,,
2019,牧前,中牧（6天）,2019.5.10,黄花葱,PF,G8,3,12 ,,1,,,0.57,0.12,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G8,4,15 ,,11,6,6,27.66,10.96,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G8,4,14 ,,4,,,0.5,0.2,,
2019,牧前,中牧（6天）,2019.5.10,蒙古葱,PF,G8,4,12 ,,2,,,0.27,0.05,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G8,5,20 ,,9,10,8,31.66,13.97,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G8,5,12 ,,25,,,1.05,0.46,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G8,5,5 ,,3,2,3,1.61,1.15,,
2019,牧前,中牧（6天）,2019.5.10,蒙古葱,PF,G8,5,13 ,,3,,,1.18,0.46,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G9,1,40 ,,4,20,7,31.47,13.82,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G9,1,8 ,,30,,,4.01,1.78,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G9,1,2 ,,10,2,5,2.1,1.37,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G9,2,22 ,,6,8,10,37.17,17.1,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G9,2,12 ,,10,,,0.62,0.38,,
2019,牧前,重牧（12天）,2019.5.10,米氏冰草,PR,G9,2,7 ,,8,2,2,2.43,1.22,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G9,2,2 ,,8,2,2,1.22,0.97,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G9,3,20 ,,8,6,10,61.38,31.12,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G9,3,16 ,,9,,,0.92,0.53,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G9,3,3 ,,5,2,2,0.89,0.65,,
2019,牧前,重牧（12天）,2019.5.10,知母,PF,G9,3,6 ,,6,,,0.43,0.15,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G9,4,30 ,,3,15,15,23.42,10.36,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G9,4,14 ,,55,,,5.45,2.22,,
2019,牧前,重牧（12天）,2019.5.10,蒙古葱,PF,G9,4,13 ,,1,,,0.01,0.01,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G9,4,2 ,,1,2,2,0.01,0.01,,
2019,牧前,重牧（12天）,2019.5.10,知母,PF,G9,4,7 ,,3,,,0.15,0.09,,
2019,牧前,重牧（12天）,2019.5.10,苔草,PR,G9,4,5 ,,5,,,0.12,0.08,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G9,5,35 ,,5,8,15,40.2,17.17,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G9,5,13 ,,7,,,3.92,1.42,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G9,5,2 ,,3,2,3,0.35,0.26,,
2019,牧前,重牧（12天）,2019.5.10,米氏冰草,PR,G9,5,15 ,,1,2,8,1.03,0.46,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G11,1,20 ,,8,5,7,44.44,19.79,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G11,1,14 ,,20,,,5.06,1.84,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G11,1,2 ,,16,2,2,2.71,1.77,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G11,2,20 ,,8,3,7,38.47,19.12,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G11,2,12 ,,43,,,4.64,1.84,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G11,2,3 ,,3,2,2,6.89,4.58,,
2019,牧前,中牧（6天）,2019.5.10,知母,PF,G11,2,5 ,,1,,,0.45,0.22,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G11,3,20 ,,5,10,5,27.63,12.23,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G11,3,8 ,,7,,,0.66,0.24,,
2019,牧前,中牧（6天）,2019.5.10,蒙古葱,PF,G11,3,7 ,,7,,,0.66,0.16,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G11,3,2 ,,15,1,3,7.01,4.71,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G11,4,13 ,,57,,,9.15,3.76,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G11,4,12 ,,7,5,5,27.32,13.07,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G11,4,3 ,,35,2,2,21.56,13.55,,
2019,牧前,中牧（6天）,2019.5.10,黄花葱,PF,G11,4,7 ,,5,,,0.77,0.19,,
2019,牧前,中牧（6天）,2019.5.10,米氏冰草,PR,G11,4,13 ,,3,2,8,1.35,1.02,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G11,5,20 ,,11,3,5,48.43,23.81,,
2019,牧前,中牧（6天）,2019.5.10,瓣蕊唐松草,PF,G11,5,5 ,,3,,,0.57,0.27,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G11,5,17 ,,29,,,2.83,1.41,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G11,5,4 ,,10,2,2,4.76,3.21,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G12,1,3 ,,31,4,4,4.18,2.01,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G12,1,13 ,,120,,,12.57,4.86,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G12,1,16 ,,12,11,11,13.81,5.5,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G12,2,24 ,,10,7,12,26.34,13.89,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G12,2,10 ,,12,,,1.97,0.84,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G12,2,4 ,,11,3,4,7.05,4.63,,
2019,牧前,轻牧（3天）,2019.5.10,蒙古葱,PF,G12,2,8 ,,1,,,0.59,0.09,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G12,3,17 ,,6,4,4,5.49,2.35,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G12,3,13 ,,349,,,44.91,17.94,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G12,3,6 ,,6,4,4,3.13,1.32,,
2019,牧前,轻牧（3天）,2019.5.10,展枝唐松草,PF,G12,3,5 ,,2,,,0.4,0.1,,
2019,牧前,轻牧（3天）,2019.5.10,蒙古葱,PF,G12,3,11 ,,2,,,0.9,0.21,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G12,4,18 ,,11,8,10,31.81,15.11,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G12,4,12 ,,42,,,1.46,3.27,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G12,4,3 ,,24,2,3,15.24,8.94,,
2019,牧前,轻牧（3天）,2019.5.10,黄花葱,PF,G12,4,14 ,,2,,,0.85,0.18,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G12,5,11 ,,96,,,12.81,4.49,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G12,5,14 ,,18,8,8,36.94,16.94,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G12,5,2 ,,7,2,2,1.14,0.56,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G13,1,22 ,,6,10,4,26.17,11.21,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G13,1,7 ,,17,,,1.91,0.8,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G13,1,2 ,,30,4,4,4.93,2.68,,
2019,牧前,重牧（12天）,2019.5.10,瓣蕊唐松草,PF,G13,1,2 ,,1,,,0.22,0.07,,
2019,牧前,重牧（12天）,2019.5.10,野韭,PF,G13,1,3 ,,1,,,0.01,0.01,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G13,2,17 ,,6,7,7,25.45,11.33,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G13,2,12 ,,58,,,5.97,2.2,,
2019,牧前,重牧（12天）,2019.5.10,知母,PF,G13,2,4 ,,1,,,0.01,0.01,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G13,2,3 ,,2,2,2,0.86,0.11,,
2019,牧前,重牧（12天）,2019.5.10,蒙古葱,PF,G13,2,8 ,,2,,,0.26,0.05,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G13,3,17 ,,8,5,10,12.28,6.01,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G13,3,11 ,,68,,,6.18,2.28,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G13,3,2 ,,12,2,2,1.52,0.99,,
2019,牧前,重牧（12天）,2019.5.10,苔草,PR,G13,3,6 ,,23,,,2.54,1.12,,
2019,牧前,重牧（12天）,2019.5.10,黄花葱,PF,G13,3,7 ,,,,,0.01,0.01,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G13,4,24 ,,7,12,8,37.97,18.74,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G13,4,8 ,,3,,,0.39,0.25,,
2019,牧前,重牧（12天）,2019.5.10,知母,PF,G13,4,7 ,,1,,,0.08,0.04,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G13,4,5 ,,12,4,2,3.99,2.44,,
2019,牧前,重牧（12天）,2019.5.10,苔草,PR,G13,4,7 ,,7,,,0.58,0.35,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G13,5,16 ,,9,12,12,24.54,10.54,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G13,5,12 ,,6,,,0.68,0.29,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G13,5,3 ,,6,2,2,0.62,0.3,,
2019,牧前,重牧（12天）,2019.5.10,蒙古葱,PF,G13,5,10 ,,2,,,0.32,0.07,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G16,1,23 ,,6,8,10,21.42,5.4,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G16,1,12 ,,6,,,0.45,0.22,,
2019,牧前,中牧（6天）,2019.5.10,米氏冰草,PR,G16,1,4 ,,5,1,3,2,0.9,,
2019,牧前,中牧（6天）,2019.5.10,蒙古葱,PF,G16,1,10 ,,3,,,0.73,0.38,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G16,2,20 ,,13,8,8,36.57,16.31,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G16,2,8 ,,9,,,0.72,0.27,,
2019,牧前,中牧（6天）,2019.5.10,知母,PF,G16,2,3 ,,4,,,0.25,0.17,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G16,2,2 ,,1,3,3,0.02,0.01,,
2019,牧前,中牧（6天）,2019.5.10,米氏冰草,PR,G16,2,5 ,,3,2,2,0.17,0.11,,
2019,牧前,中牧（6天）,2019.5.10,蒙古葱,PF,G16,2,5 ,,1,,,0.01,0.01,,
2019,牧前,中牧（6天）,2019.5.10,苔草,PR,G16,2,7 ,,1,,,0.01,0.01,,
2019,牧前,中牧（6天）,2019.5.10,银灰旋花,PF,G16,2,2 ,,8,,,0.43,0.25,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G16,3,32 ,,15,8,10,54.83,25.64,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G16,3,8 ,,2,,,0.01,0.01,,
2019,牧前,中牧（6天）,2019.5.10,知母,PF,G16,3,4 ,,5,,,0.58,0.19,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G16,3,3 ,,1,1,1,0.01,0.01,,
2019,牧前,中牧（6天）,2019.5.10,蒙古葱,PF,G16,3,21 ,,3,,,2.04,0.61,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G16,4,16 ,,14,10,10,61.01,29.37,,
2019,牧前,中牧（6天）,2019.5.10,知母,PF,G16,4,3 ,,4,,,0.14,0.06,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G16,4,2 ,,1,1,1,0.79,0.12,,
2019,牧前,中牧（6天）,2019.5.10,米氏冰草,PR,G16,4,11 ,,6,2,2,1.47,0.7,,
2019,牧前,中牧（6天）,2019.5.10,大针茅,PB,G16,5,15 ,,15,5,10,49,23.2,,
2019,牧前,中牧（6天）,2019.5.10,羊草,PR,G16,5,14 ,,12,,,10,5,,
2019,牧前,中牧（6天）,2019.5.10,糙隐子草,PB,G16,5,2 ,,4,2,2,0.1,0.1,,
2019,牧前,中牧（6天）,2019.5.10,米氏冰草,PR,G16,5,10 ,,4,2,2,0.57,0.26,,
2019,牧前,中牧（6天）,2019.5.10,银灰旋花,PF,G16,5,2 ,,3,,,0.09,0.03,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G17,1,9 ,,12,5,5,3.93,2.01,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G17,1,10 ,,143,,,13.91,4.58,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G17,1,5 ,,4,,,1.78,0.47,,
2019,牧前,无牧（0天）,2019.5.10,糙隐子草,PB,G17,1,3 ,,3,,,0.95,0.31,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G17,2,13 ,,6,8,5,10.46,5.72,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G17,2,10 ,,48,,,8.73,0.79,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G17,2,13 ,,11,,,2.38,0.59,,
2019,牧前,无牧（0天）,2019.5.10,米氏冰草,PR,G17,2,13 ,,6,3,3,6.66,2.58,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G17,3,11 ,,5,2,2,0.76,0.32,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G17,3,13 ,,417,,,45.29,14.89,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G17,3,8 ,,7,,,3.58,0.96,,
2019,牧前,无牧（0天）,2019.5.10,糙隐子草,PB,G17,3,4 ,,,,,0.1,0.01,,
2019,牧前,无牧（0天）,2019.5.10,瓣蕊唐松草,PF,G17,3,3 ,,5,,,0.32,0.09,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G17,4,7 ,,1,,,5.14,2.57,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G17,4,15 ,,150,,,38.81,16.74,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G17,4,7 ,,21,,,23.63,8.31,,
2019,牧前,无牧（0天）,2019.5.10,糙隐子草,PB,G17,4,4 ,,2,4,5,5.43,1.58,,
2019,牧前,无牧（0天）,2019.5.10,米氏冰草,PR,G17,4,12 ,,56,2,3,2.03,1.25,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G17,5,7 ,,7,3,3,2.85,1.21,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G17,5,12 ,,268,,,35.51,11.46,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G17,5,6 ,,16,,,3.81,1.01,,
2019,牧前,无牧（0天）,2019.5.10,蒙古葱,PF,G17,5,21 ,,2,,,2.08,0.95,,
2019,牧前,无牧（0天）,2019.5.10,野韭,PF,G17,5,15 ,,3,4,4,1.28,0.09,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G18,1,35 ,,20,5,6,31.21,14.83,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G18,1,14 ,,37,,,11.76,5.02,,
2019,牧前,轻牧（3天）,2019.5.10,知母,PF,G18,1,2 ,,1,,,0.1,0.1,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G18,1,2 ,,12,8,7,4.49,2.48,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G18,2,15 ,,16,10,10,22.1,9.73,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G18,2,3 ,,37,3,3,5.21,2.61,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G18,2,15 ,,63,,,9.75,3.72,,
2019,牧前,轻牧（3天）,2019.5.10,米氏冰草,PR,G18,2,14 ,,20,4,4,16.05,6.76,,
2019,牧前,轻牧（3天）,2019.5.10,知母,PF,G18,2,4 ,,4,,,0.22,0.08,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G18,3,13 ,,15,2,5,26.63,13.51,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G18,3,14 ,,22,,,3.37,1.25,,
2019,牧前,轻牧（3天）,2019.5.10,知母,PF,G18,3,7 ,,9,,,1.37,0.59,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G18,3,3 ,,27,2,3,7.44,3.5,,
2019,牧前,轻牧（3天）,2019.5.10,米氏冰草,PR,G18,4,6 ,,36,3,3,2.25,0.83,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G18,4,8 ,,14,2,2,14.63,6.73,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G18,4,4 ,,35,4,4,6.74,3.33,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G18,4,13 ,,14,,,16.21,6.92,,
2019,牧前,轻牧（3天）,2019.5.10,知母,PF,G18,4,6 ,,2,,,0.61,0.14,,
2019,牧前,轻牧（3天）,2019.5.10,双齿葱,PF,G18,4,5 ,,1,,,0.01,0.01,,
2019,牧前,轻牧（3天）,2019.5.10,大针茅,PB,G18,5,18 ,,12,5,3,22.65,11.64,,
2019,牧前,轻牧（3天）,2019.5.10,羊草,PR,G18,5,12 ,,49,,,7.89,3.41,,
2019,牧前,轻牧（3天）,2019.5.10,糙隐子草,PB,G18,5,4 ,,10,2,3,4.14,2.57,,
2019,牧前,轻牧（3天）,2019.5.10,米氏冰草,PR,G18,5,7 ,,3,2,4,2.75,1.42,,
2019,牧前,轻牧（3天）,2019.5.10,瓣蕊唐松草,PF,G18,5,3 ,,1,,,0.01,0.01,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G19,1,15 ,,4,3,3,0.38,0.23,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G19,1,12 ,,70,,,29.54,10.67,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G19,1,3 ,,46,,,8.01,2.02,,
2019,牧前,无牧（0天）,2019.5.10,糙隐子草,PB,G19,1,4 ,,15,4,4,3.18,1.79,,
2019,牧前,无牧（0天）,2019.5.10,米氏冰草,PR,G19,1,10 ,,70,3,3,8.54,2.93,,
2019,牧前,无牧（0天）,2019.5.10,乳白花黄芪,PF,G19,1,3 ,,3,3,3,0.76,0.33,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G19,2,12 ,,8,3,1,1.72,0.93,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G19,2,13 ,,168,,,22.52,8.08,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G19,2,13 ,,16,,,4.87,1.39,,
2019,牧前,无牧（0天）,2019.5.10,糙隐子草,PB,G19,2,2 ,,11,2,3,0.68,0.44,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G19,3,12 ,,3,3,3,0.4,0.22,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G19,3,13 ,,51,,,30.13,10.51,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G19,3,6 ,,23,,,3.15,0.84,,
2019,牧前,无牧（0天）,2019.5.10,糙隐子草,PB,G19,3,2 ,,,,,0.1,0.01,,
2019,牧前,无牧（0天）,2019.5.10,米氏冰草,PR,G19,3,9 ,,42,4,4,5.98,2.14,,
2019,牧前,无牧（0天）,2019.5.10,乳白花黄芪,PF,G19,3,3 ,,2,6,6,1.73,0.68,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G19,4,14 ,,5,2,2,1.29,0.87,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G19,4,20 ,,236,,,13.48,5.2,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G19,4,5 ,,19,,,4.17,1.3,,
2019,牧前,无牧（0天）,2019.5.10,糙隐子草,PB,G19,4,3 ,,15,2,3,1.42,0.89,,
2019,牧前,无牧（0天）,2019.5.10,米氏冰草,PR,G19,4,11 ,,21,2,3,54.88,19.46,,
2019,牧前,无牧（0天）,2019.5.10,黄花葱,PF,G19,4,7 ,,8,,,0.98,0.29,,
2019,牧前,无牧（0天）,2019.5.10,大针茅,PB,G19,5,12 ,,4,2,3,0.31,0.13,,
2019,牧前,无牧（0天）,2019.5.10,羊草,PR,G19,5,18 ,,173,,,22.63,7.47,,
2019,牧前,无牧（0天）,2019.5.10,知母,PF,G19,5,5 ,,9,,,3.12,0.72,,
2019,牧前,无牧（0天）,2019.5.10,糙隐子草,PB,G19,5,3 ,,12,3,3,0.74,0.4,,
2019,牧前,无牧（0天）,2019.5.10,蒙古葱,PF,G19,5,7 ,,1,,,0.21,0.06,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G20,1,22 ,,14,7,7,48.67,21.61,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G20,1,8 ,,3,,,0.16,0.07,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G20,1,1 ,,1,,,0.01,0.01,,
2019,牧前,重牧（12天）,2019.5.10,米氏冰草,PR,G20,1,4 ,,3,3,3,1,0.33,,
2019,牧前,重牧（12天）,2019.5.10,蒙古葱,PF,G20,1,6 ,,2,,,0.5,0.25,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G20,2,22 ,,15,3,8,54.42,26.5,,
2019,牧前,重牧（12天）,2019.5.10,羊草,PR,G20,2,5 ,,10,,,0.5,0.08,,
2019,牧前,重牧（12天）,2019.5.10,大针茅,PB,G20,3,17 ,,11,6,6,44.09,20.07,,
2019,牧前,重牧（12天）,2019.5.10,知母,PF,G20,3,3 ,,3,,,0.77,0.05,,
2019,牧前,重牧（12天）,2019.5.10,糙隐子草,PB,G20,3,2 ,,4,2,2,0.01,0.01,,
2019,牧前,重牧（12天）,2019.5.10,米氏冰草,PR,G20,3,7 ,,2,3,3,1.39,0.3,,
