样本编号,温度_oC,频率_Hz,磁芯损耗_w每m3,励磁波形,磁芯材料,磁通密度峰值B_m_T
246,25,251170.0,14874.62098,正弦波,材料1,0.027656347499999998
247,25,251170.0,27126.64693,正弦波,材料1,0.034885413
248,25,251170.0,37101.17357,正弦波,材料1,0.039348111
249,25,251170.0,50336.60598,正弦波,材料1,0.044325901
250,25,251170.0,69303.99422,正弦波,材料1,0.0495336715
251,25,251170.0,90837.14978,正弦波,材料1,0.055141209999999996
252,25,251170.0,120548.5034,正弦波,材料1,0.062117206
253,25,251170.0,160968.1046,正弦波,材料1,0.069716152
254,25,251170.0,216823.809,正弦波,材料1,0.07854024800000001
255,25,251170.0,286943.8736,正弦波,材料1,0.08802632399999999
256,25,251170.0,385325.0273,正弦波,材料1,0.0984746815
257,25,281860.0,2889.53144,正弦波,材料1,0.013177977
258,25,281850.0,2480.678594,正弦波,材料1,0.012424296500000001
259,25,281850.0,3297.714089,正弦波,材料1,0.013954087
260,25,281850.0,4341.331734,正弦波,材料1,0.015637817
261,25,281850.0,5670.629505,正弦波,材料1,0.017408979999999998
262,25,281860.0,13623.67457,正弦波,材料1,0.024626468
263,25,281860.0,18325.83964,正弦波,材料1,0.027719368
264,25,281850.0,24592.22803,正弦波,材料1,0.031114646
265,25,281850.0,33679.40394,正弦波,材料1,0.035101665000000004
266,25,281860.0,45459.87546,正弦波,材料1,0.039417137000000005
267,25,281850.0,62572.44922,正弦波,材料1,0.044073889000000005
268,25,281850.0,82051.91465,正弦波,材料1,0.0490508835
269,25,281850.0,110783.9294,正弦波,材料1,0.0552529975
270,25,281850.0,145390.1865,正弦波,材料1,0.061963968
271,25,281850.0,196252.4584,正弦波,材料1,0.069778201
272,50,50020.0,1095.616077,正弦波,材料1,0.027987218
273,50,50020.0,1909.33587,正弦波,材料1,0.0349970135
274,50,50020.0,2623.160983,正弦波,材料1,0.039646443
275,50,50020.0,3549.272659,正弦波,材料1,0.0445801885
276,50,50030.0,4845.135951,正弦波,材料1,0.04972032949999999
277,50,50020.0,6351.403688,正弦波,材料1,0.055461479
278,50,50020.0,11029.67308,正弦波,材料1,0.06998539100000001
279,50,50020.0,15113.44827,正弦波,材料1,0.079506478
280,50,50020.0,19940.16763,正弦波,材料1,0.0888382315
281,50,50030.0,26026.23789,正弦波,材料1,0.0987537565
282,50,50020.0,34262.29336,正弦波,材料1,0.1105165625
283,50,50030.0,45874.56082,正弦波,材料1,0.1243425215
284,50,50020.0,105597.3536,正弦波,材料1,0.173944284
285,50,50020.0,144536.8874,正弦波,材料1,0.1964880245
286,50,50020.0,189925.2011,正弦波,材料1,0.21887557400000002
287,50,50030.0,323386.9029,正弦波,材料1,0.269986469
288,50,56320.0,978.4264497,正弦波,材料1,0.024558698499999997
289,50,56320.0,1322.360361,正弦波,材料1,0.027687629499999998
290,50,56320.0,2344.433168,正弦波,材料1,0.035026579
291,50,56320.0,3171.45816,正弦波,材料1,0.0395484715
292,50,56320.0,4277.388038,正弦波,材料1,0.043974818
293,50,56320.0,7514.230322,正弦波,材料1,0.055661208000000004
294,50,56320.0,9956.432911,正弦波,材料1,0.062590526
295,50,56320.0,22401.88282,正弦波,材料1,0.08763555549999999
296,50,56320.0,51530.81264,正弦波,材料1,0.1233433625
297,50,56320.0,69788.57213,正弦波,材料1,0.1390479375
298,50,56320.0,220116.1066,正弦波,材料1,0.218375746
299,50,56310.0,374065.9706,正弦波,材料1,0.27000611500000005
300,50,63020.0,805.9127383,正弦波,材料1,0.0216835165
301,50,63020.0,1133.209213,正弦波,材料1,0.024829025499999997
302,50,63020.0,1497.701442,正弦波,材料1,0.0278763545
303,50,63020.0,2659.779691,正弦波,材料1,0.03528788
304,50,63030.0,3616.413798,正弦波,材料1,0.039173857000000006
305,50,63020.0,11494.72838,正弦波,材料1,0.062826405
306,50,63020.0,19243.53155,正弦波,材料1,0.0781868885
307,50,63020.0,25703.58543,正弦波,材料1,0.0880534465
308,50,63020.0,33873.21869,正弦波,材料1,0.0986406125
309,50,63020.0,45187.74242,正弦波,材料1,0.1109793615
310,50,63020.0,59602.37429,正弦波,材料1,0.12414115249999999
311,50,63020.0,79323.33333,正弦波,材料1,0.13886632999999998
312,50,63020.0,108629.5997,正弦波,材料1,0.157511479
313,50,63020.0,191311.8669,正弦波,材料1,0.196587128
314,50,63020.0,249461.3838,正弦波,材料1,0.218086208
315,50,63030.0,427142.3839,正弦波,材料1,0.27071386799999997
316,50,70830.0,927.258475,正弦波,材料1,0.021895519500000002
317,50,70830.0,1243.598131,正弦波,材料1,0.0247155365
318,50,70830.0,1716.460317,正弦波,材料1,0.0278790915
319,50,70840.0,3092.694422,正弦波,材料1,0.034936074
320,50,70840.0,4083.403273,正弦波,材料1,0.039103001
321,50,70840.0,9807.160843,正弦波,材料1,0.055689152
322,50,70840.0,16701.43194,正弦波,材料1,0.06978032849999999
323,50,70840.0,28733.10879,正弦波,材料1,0.086994974
324,50,70840.0,52609.57548,正弦波,材料1,0.1111011245
325,50,70840.0,383820.4649,正弦波,材料1,0.24347076099999998
326,50,70840.0,522759.9608,正弦波,材料1,0.27542310049999996
327,50,79460.0,778.1715275,正弦波,材料1,0.0195815685
328,50,79460.0,1057.340411,正弦波,材料1,0.0220522525
329,50,79470.0,1408.347747,正弦波,材料1,0.024780934999999997
330,50,79470.0,1914.446848,正弦波,材料1,0.0279560025
331,50,79460.0,2619.833509,正弦波,材料1,0.031087905
332,50,79460.0,3358.272558,正弦波,材料1,0.0345981885
333,50,79460.0,6196.269592,正弦波,材料1,0.044174195
334,50,79460.0,8411.541611,正弦波,材料1,0.0498270335
335,50,79460.0,14671.43686,正弦波,材料1,0.062270163
336,50,79460.0,25213.52305,正弦波,材料1,0.078293662
337,50,79460.0,32922.90003,正弦波,材料1,0.08717740099999999
338,50,79460.0,59518.79178,正弦波,材料1,0.11050995699999999
339,50,79460.0,81770.16356,正弦波,材料1,0.125017354
340,50,79460.0,109005.8457,正弦波,材料1,0.1400682745
341,50,79460.0,191579.1859,正弦波,材料1,0.1742215755
342,50,79460.0,255525.1192,正弦波,材料1,0.19517942700000002
343,50,79460.0,341579.3928,正弦波,材料1,0.2188680345
344,50,89080.0,869.3314017,正弦波,材料1,0.019572113000000002
345,50,89080.0,1209.671781,正弦波,材料1,0.0221235625
346,50,89080.0,2211.8587,正弦波,材料1,0.027676541
347,50,89080.0,2968.048897,正弦波,材料1,0.0310040365
348,50,89080.0,3953.386891,正弦波,材料1,0.0349740665
349,50,89080.0,7125.09244,正弦波,材料1,0.0441547325
350,50,89080.0,9613.206009,正弦波,材料1,0.0497455265
351,50,89080.0,12510.94661,正弦波,材料1,0.055253222
352,50,89090.0,21709.11751,正弦波,材料1,0.069688953
353,50,89080.0,29302.81562,正弦波,材料1,0.0784791385
354,50,89080.0,52515.80528,正弦波,材料1,0.09888457849999999
355,50,89080.0,71214.73311,正弦波,材料1,0.1114241155
356,50,89090.0,95692.06829,正弦波,材料1,0.1251162715
357,50,89090.0,164004.0721,正弦波,材料1,0.1540881895
358,50,89080.0,222966.1134,正弦波,材料1,0.173895841
359,50,89090.0,299341.3213,正弦波,材料1,0.1950362065
360,50,99950.0,993.1452072,正弦波,材料1,0.019621665500000003
361,50,99950.0,1358.636001,正弦波,材料1,0.022070757
362,50,99960.0,1896.952399,正弦波,材料1,0.024722268999999998
363,50,99950.0,2514.323963,正弦波,材料1,0.0276792085
364,50,99950.0,4450.983841,正弦波,材料1,0.034955729
365,50,99950.0,6016.132491,正弦波,材料1,0.039281266999999995
366,50,99950.0,8213.583988,正弦波,材料1,0.0443230425
367,50,99950.0,10691.6548,正弦波,材料1,0.049208666
368,50,99950.0,14180.43445,正弦波,材料1,0.0551327185
369,50,99950.0,19258.68453,正弦波,材料1,0.0621528135
370,50,99950.0,24954.9899,正弦波,材料1,0.069534018
371,50,99950.0,33773.96405,正弦波,材料1,0.0784206325
372,50,99950.0,45016.12152,正弦波,材料1,0.0878309375
373,50,99950.0,61682.11388,正弦波,材料1,0.09920037749999999
374,50,99950.0,82409.82889,正弦波,材料1,0.111115749
375,50,99950.0,145360.8569,正弦波,材料1,0.137886268
376,50,99950.0,196926.3359,正弦波,材料1,0.15542727750000002
377,50,99950.0,259939.8297,正弦波,材料1,0.173277967
378,50,99950.0,355880.6652,正弦波,材料1,0.195669219
379,50,99950.0,479177.7654,正弦波,材料1,0.220080642
380,50,99950.0,619685.956,正弦波,材料1,0.24183623599999998
381,50,99950.0,821036.215,正弦波,材料1,0.2707155055
382,50,112160.0,739.8215625,正弦波,材料1,0.016645575500000002
383,50,112160.0,835.4853336,正弦波,材料1,0.017532726999999998
384,50,112160.0,1143.163558,正弦波,材料1,0.019763048499999998
385,50,112160.0,2098.810441,正弦波,材料1,0.024537799
386,50,112170.0,2838.707823,正弦波,材料1,0.027617147
387,50,112170.0,5186.650045,正弦波,材料1,0.035101465
388,50,112170.0,7059.64503,正弦波,材料1,0.039494407
389,50,112150.0,12269.25192,正弦波,材料1,0.0490957155
390,50,112160.0,16543.32032,正弦波,材料1,0.055295333
391,50,112160.0,22183.00785,正弦波,材料1,0.061944587999999995
392,50,112160.0,29349.51758,正弦波,材料1,0.06983703399999999
393,50,112160.0,39278.81673,正弦波,材料1,0.07827372199999999
394,50,112160.0,54053.59161,正弦波,材料1,0.08855916850000001
395,50,112160.0,72281.36189,正弦波,材料1,0.0991136795
396,50,112160.0,98510.8538,正弦波,材料1,0.11095028400000001
397,50,112160.0,129520.7229,正弦波,材料1,0.123450845
398,50,112160.0,314222.2027,正弦波,材料1,0.1746478595
399,50,112160.0,733865.3511,正弦波,材料1,0.242088871
400,50,112160.0,968499.8293,正弦波,材料1,0.27120075200000004
401,50,125850.0,951.481771,正弦波,材料1,0.017337483
402,50,125850.0,983.3822228,正弦波,材料1,0.017516983
403,50,125860.0,1817.624491,正弦波,材料1,0.02177115
404,50,125860.0,3326.960389,正弦波,材料1,0.0276957345
405,50,125860.0,4543.843552,正弦波,材料1,0.0312246275
406,50,125860.0,6062.379548,正弦波,材料1,0.035165125000000005
407,50,125860.0,7868.949799,正弦波,材料1,0.0389098155
408,50,125860.0,14409.12046,正弦波,材料1,0.049263193499999997
409,50,125860.0,19296.03239,正弦波,材料1,0.055116566
410,50,125860.0,47211.21881,正弦波,材料1,0.0787846965
411,50,125850.0,87351.97459,正弦波,材料1,0.0988557515
412,50,125860.0,114483.3823,正弦波,材料1,0.1100518985
413,50,125860.0,207436.5315,正弦波,材料1,0.13874998449999998
414,50,125860.0,280098.7363,正弦波,材料1,0.1561774305
415,50,125860.0,375312.9687,正弦波,材料1,0.175066846
416,50,125850.0,664504.626,正弦波,材料1,0.2173602285
417,50,125860.0,888278.957,正弦波,材料1,0.24448139549999998
418,50,141260.0,891.0644612,正弦波,材料1,0.015743471000000002
419,50,141270.0,861.0731092,正弦波,材料1,0.0155999855
420,50,141270.0,1195.612953,正弦波,材料1,0.017406861000000003
421,50,141260.0,2898.435212,正弦波,材料1,0.0246891
422,50,141260.0,5406.004941,正弦波,材料1,0.031353851
423,50,141270.0,6943.519876,正弦波,材料1,0.0348069685
424,50,141260.0,9229.404894,正弦波,材料1,0.038830838500000006
425,50,141260.0,12557.26737,正弦波,材料1,0.043773015
426,50,141260.0,17064.0813,正弦波,材料1,0.049181761000000004
427,50,141260.0,31020.95035,正弦波,材料1,0.062088437499999996
428,50,141260.0,183833.8566,正弦波,材料1,0.1234755485
429,50,141260.0,251465.9823,正弦波,材料1,0.13950959750000003
430,50,141260.0,331266.0538,正弦波,材料1,0.155544599
431,50,141260.0,454595.3958,正弦波,材料1,0.174466849
432,50,141260.0,590803.9623,正弦波,材料1,0.1935754865
433,50,141260.0,792323.5259,正弦波,材料1,0.2177778195
434,50,158500.0,811.244311,正弦波,材料1,0.014228834499999999
435,50,158500.0,777.0210248,正弦波,材料1,0.013949423999999998
436,50,158500.0,1078.913049,正弦波,材料1,0.015463635
437,50,158500.0,1443.438183,正弦波,材料1,0.017423209000000002
438,50,158500.0,2618.379464,正弦波,材料1,0.022030439
439,50,158500.0,3531.156728,正弦波,材料1,0.0247778735
440,50,158500.0,6286.854328,正弦波,材料1,0.0309665625
441,50,158500.0,8263.579464,正弦波,材料1,0.034604428
442,50,158500.0,10938.67761,正弦波,材料1,0.03865597
443,50,158500.0,15114.43125,正弦波,材料1,0.043757019
444,50,158510.0,37383.75204,正弦波,材料1,0.0619781745
