样本编号,实际磁芯损耗_w每m3,两两交互模型_五折预测,相对误差_percent,对数残差
105,711545.3171,804531.8513697122,13.06825187869853,-0.12282144931685046
106,896343.4213,1018470.0869534332,13.624985998815987,-0.12773324328680147
107,1299.233133,1277.5023268048358,-1.6725871318403467,0.01686732824937387
108,1755.831126,1745.3370556260247,-0.5976696858018519,0.0059946287955545685
109,2390.408185,2369.257883916811,-0.8847987224905223,0.008887363100771317
110,3242.978165,3008.8817044456637,-7.218564191422372,0.07492361137382986
111,5892.742949,5398.200741498128,-8.392394030793355,0.08765588315686124
112,7874.71143,7152.834284088573,-9.167029831230614,0.09614785870288323
113,10735.42591,9795.307149526996,-8.75716313776883,0.09164569674671874
114,14477.24774,13028.631566056954,-10.00615724728246,0.10542893185685465
115,18907.91771,16929.373819112352,-10.464102505804957,0.11053055180148519
116,42837.66482,40176.79602222107,-6.211516918486713,0.06412811916117533
117,74230.01899,71104.38953957576,-4.2107350812416104,0.04301956450562017
118,99316.153,96364.0691405851,-2.9724106001315915,0.030174821123575057
119,281919.8367,287453.59067654767,1.96288208780297,-0.019438659968136207
120,371891.5855,386632.91872847866,3.9638792065325377,-0.03887333750354216
121,486551.2281,513270.9960461975,5.491665913687882,-0.05346176772888889
122,642255.3272,696847.0584260195,8.500004424100235,-0.08158002776754003
123,808495.9048,877249.1301236355,8.50384336091884,-0.08161540904633391
124,1026883.575,1144400.5942458233,11.44404508036107,-0.10835244110503162
125,1114.703914,1317.4824970293694,18.19125065253601,-0.16713389469202689
126,1964.803519,2170.7859399982576,10.483614214162936,-0.09969703631938032
127,3628.229323,3727.035665304038,2.7232661860066782,-0.02686845043020014
128,4949.221631,5029.524598749919,1.6225373146947462,-0.01609514852052385
129,6603.373697,6643.450696417533,0.6069170284235308,-0.006050827051650387
130,9111.892514,8967.820253144919,-1.5811453069021626,0.01593778755052533
131,21305.04772,20630.45816393854,-3.1663367523377652,0.032175491337381956
132,28708.38837,28374.340354509386,-1.1635902760730783,0.011704129647949202
133,36731.5784,36185.06681438458,-1.4878521681371997,0.014990317172088652
134,49122.63239,48578.909252407815,-1.1068688934977977,0.011130402688456442
135,64903.79723,64403.58007148075,-0.7707055362980159,0.007736908198051395
136,114103.3322,117348.1778039699,2.8437781276030902,-0.028040933653903366
137,194634.2954,196684.0010646266,1.053106113911816,-0.010475995775188096
138,329555.1343,342462.9004504346,3.9167243374471132,-0.038419664875213755
139,432205.1043,452564.3264269887,4.710546433726765,-0.046029656841515276
140,579176.7738,618527.8171303524,6.794306179125377,-0.06573442618728009
141,737413.5818,794066.1242901848,7.682600902453947,-0.07401783361415326
142,1223675.078,1382009.5076651638,12.939254260530413,-0.12167991526446542
143,1472.545902,1836.3480333824537,24.705656434094205,-0.2207860260067136
144,2256.015194,2637.2910478370427,16.90041161296552,-0.1561522035527272
145,3084.707485,3588.86153065893,16.343658130000293,-0.15137819544182918
146,4200.974078,4817.810180682857,14.68316850401801,-0.13700308373519832
147,5525.178254,6135.454008367316,11.045358652917699,-0.10476856836785409
148,13775.45003,14396.280413651275,4.506788397469691,-0.04408184404825377
149,18310.96022,18977.249648898698,3.6387465260885,-0.03574107513333935
150,24421.93184,25530.100592310562,4.537596614267518,-0.04437659692591822
151,32684.68129,34245.28905645077,4.774737598338589,-0.04664250338982967
152,56884.91087,59731.115751344805,5.003444389408086,-0.04882296734005109
153,76878.8708,81095.66554484215,5.484985277440036,-0.05339843715451131
154,172790.731,176585.7665530922,2.196318940911359,-0.021725472942151214
155,516365.5506,546711.1948745351,5.876775520612173,-0.05710573681387565
156,679260.437,710482.2329969662,4.596439641746159,-0.04493932722161631
157,1402.690272,2011.7699135003204,43.422247495298826,-0.36062287306799057
158,3564.3754,4438.476933905032,24.523273668228992,-0.21932244954031788
159,4792.365224,5811.073846965205,21.256907087622356,-0.19274130787812993
160,8888.402923,10506.766360304857,18.20758409946868,-0.16727208020360962
161,20972.82318,23183.258949550487,10.539524176499008,-0.10020295587093386
162,37837.05515,41720.58212703096,10.263819321126423,-0.09770566580013629
163,49742.16541,54098.6049024242,8.758041505664723,-0.08395542612659135
164,67223.83993,72224.63867597117,7.439025725365422,-0.0717532981046638
165,89782.66539,97905.01829262049,9.046682750326502,-0.08660588666753455
166,266704.6966,278067.7295393718,4.260529748530783,-0.04172267437225052
167,357572.7731,379624.58380606404,6.167083280666049,-0.05984392449901854
168,619011.8338,659614.2577858812,6.55923227454802,-0.06353081614729206
169,1026071.684,1090929.7201305155,6.321004384184478,-0.061292675176121136
170,1187.754171,1896.294542668619,59.65378939247008,-0.467837468515631
171,1192.605834,1878.1593789562012,57.48366521542617,-0.4541515539811103
172,1641.045747,2444.8795840480434,48.98302430127462,-0.39866218260282515
173,3044.949531,4233.964666012517,39.04876330157201,-0.32965450074058644
174,4080.613099,5528.823736703045,35.4900257036852,-0.3037278405793238
175,5648.015608,7440.018510831952,31.728009042569067,-0.2755690732137399
176,13587.381,16825.52827397315,23.83201938602553,-0.21375577883448926
177,18242.28949,21641.305532896997,18.632617604058193,-0.17086128472057283
178,24635.10959,28514.103023407097,15.745793292438512,-0.14622616327194038
179,33238.5309,38739.23518903904,16.54917994296506,-0.15314314337252455
180,44430.17965,51053.029480490084,14.90619637971706,-0.1389459258695993
181,59069.01523,67872.5636337475,14.903834725310189,-0.13892537276845118
182,79066.42767,88637.63020679067,12.105267455282085,-0.11426813188244012
183,107275.1057,114285.52174307217,6.534988707144353,-0.06330327766786503
184,139304.1316,151269.65409921797,8.58949577574336,-0.08240449285341533
185,183014.8648,198038.47841242253,8.208958124161352,-0.07889396927225789
186,237859.9575,253389.941835799,6.529045283209976,-0.06324748764244958
187,320931.3637,341566.4667124925,6.429755812766806,-0.06231501171633802
188,556312.9256,574077.1289650805,3.1932034198057333,-0.031432806555400816
189,1455.296582,2347.194259409161,61.28631706008921,-0.47801096640717855
190,1947.216719,3032.671860907542,55.743930879197734,-0.44304300385248485
191,2619.028052,4010.960155941878,53.14689557750021,-0.42622737661511856
192,3573.989819,5297.326120156556,48.218836326700675,-0.3935196195172601
193,4896.646627,7088.740195333955,44.7672404262705,-0.36995702821729637
194,8757.571039,11873.444468066602,35.57919673378286,-0.30438576133117046
195,15704.90259,20071.4942087341,27.80400320034141,-0.24532767941109235
196,21387.24118,26568.76194342153,24.227158238001078,-0.21694162496982905
197,29039.82633,35724.759554393575,23.0198801756869,-0.2071757837686281
198,38777.3922,46112.79423260968,18.91669763344653,-0.17325304210810977
199,51692.85659,61749.834435666984,19.455256507554868,-0.17777169273893456
200,69575.88416,80432.38605962887,15.603828870737374,-0.14499889142085465
201,94829.7604,104608.02120017681,10.311384062272513,-0.09813694493898417
202,123936.1788,134842.2228757843,8.799725940706752,-0.08433862950325022
203,216240.5996,230957.89645695215,6.805982264281588,-0.06584375267979503
204,290107.5928,306982.54108105897,5.816789598020815,-0.056539012698635815
205,381807.5464,402504.70602103916,5.420835658223432,-0.05279011234953046
206,508254.8668,530466.4408540854,4.370164558173466,-0.042773668523411246
207,1359.728946,2494.7046233496753,83.47073000751396,-0.6068849592877035
208,1295.823376,2281.9386027795313,76.09950901051897,-0.5658790413813861
209,1713.519808,2934.9963283342045,71.28464547835588,-0.5381565800551256
210,3131.491897,5138.68300268838,64.09695990627627,-0.4952872860757527
211,4293.7631,6816.422022481711,58.75170249801883,-0.4621711761241727
212,5780.063046,8723.225762181833,50.91921476909498,-0.41157450613327917
213,7703.877937,11227.538149812572,45.7387856041854,-0.3766456936008655
214,13727.56106,19391.800243849637,41.261802873012584,-0.3454447407104251
215,18846.99738,25610.694792788723,35.88740039814619,-0.3066564185688687
216,34431.32807,43773.14186110346,27.13172658374155,-0.2400535801272241
217,46554.40586,56761.51849392542,21.925127053754263,-0.19823695767231087
218,61598.99788,74712.7524782111,21.28890899127578,-0.1930051912495827
219,84808.51689,96730.19867877368,14.05717518234233,-0.13152967336612953
220,109976.8533,123350.31587328129,12.160252063950702,-0.1147584846561358
221,147898.0434,167043.08771806944,12.944758346998825,-0.12172864900534286
222,195279.9663,212366.79311132146,8.749912822635231,-0.08388068234944157
223,263199.8984,289141.5505405837,9.8562546179857,-0.09400254902759997
224,584646.126,600992.339628401,2.795915837198403,-0.027575437033615202
225,778826.1991,808889.3332818337,3.8600568671899103,-0.03787419996490371
226,1741.014541,3167.811003839426,81.95201299237317,-0.5985728014459397
227,1568.169639,2911.3006429559923,85.64959877762259,-0.6186908334563768
228,2071.805286,3733.656641808334,80.21271916999704,-0.5889677403245228
229,3794.890527,6508.087352995699,71.49604993060447,-0.5393900478780438
230,12211.32658,18150.63442873636,48.63769558390076,-0.3963415856196715
231,16267.93111,23352.90265838111,43.55176758786453,-0.3615255338982575
232,22632.85134,31168.149040731518,37.711985876241414,-0.31999425935890713
233,41569.50494,53509.354897756064,28.722617637591874,-0.25248965239349097
234,56012.09577,69900.0235154293,24.794515460476056,-0.22149832235075273
235,98906.6499,115193.39623963801,16.466785960402856,-0.15243594731686727
236,237281.9938,258109.4853522123,8.777527202408523,-0.08413457565061222
237,314961.8538,336976.68088915315,6.989680440201032,-0.06756219933864394
238,544722.457,566193.7882008483,3.94170112227413,-0.03865998984536745
239,709348.3739,723681.786170139,2.020644974673561,-0.020005008528203305
240,2262.910587,4191.30386766045,85.21738736557735,-0.6163600160805132
241,1948.042054,3704.56454792539,90.16861264974467,-0.6427409276334224
242,2592.256897,4776.868918280172,84.27451861767277,-0.6112564087798074
243,4704.915331,8227.396251513388,74.86810436957867,-0.5588618144521451
244,6166.926736,10553.401763023154,71.12902771191854,-0.5372476340092422
245,10941.64448,17502.449346361525,59.96178068437409,-0.4697647299889187
246,14874.62098,23069.00617440358,55.089707532188704,-0.43883352178736246
247,27126.64693,39073.04827915161,44.03935871609625,-0.36491640065893094
248,37101.17357,50910.20525400713,37.21993229662447,-0.3164147978816185
249,50336.60598,65856.6167595701,30.832453792646625,-0.2687473399396918
250,69303.99422,84753.9565963263,22.293033107560348,-0.20124988948603395
251,90837.14978,108034.53724956693,18.932108186152426,-0.1733826248711967
252,120548.5034,144700.70938350382,20.035259918045423,-0.1826153462839759
253,160968.1046,183476.52106560057,13.98315307341985,-0.13088047142813508
254,216823.809,243457.81235816705,12.283707901361996,-0.11585858866322418
255,286943.8736,310975.10447865305,8.374888990364932,-0.080426224801732
256,385325.0273,411689.5249546788,6.842145146765234,-0.06618228017607919
257,2889.53144,5370.982577506958,85.87728457133372,-0.6199165096182897
258,2480.678594,4703.231458183692,89.59455165047842,-0.6397176673992595
259,3297.714089,6179.691586653087,87.39318873235062,-0.6280388370102852
260,4341.331734,7978.18252407484,83.77269955189377,-0.608529479451331
261,5670.629505,9998.796872324387,76.32604746101089,-0.5671646376018256
262,13623.67457,21962.286791725684,61.20677779611471,-0.47751768908213954
263,18325.83964,28317.04484940759,54.51976774695597,-0.43515184874748236
264,24592.22803,36631.71043034567,48.95645236234285,-0.3984838112147848
265,33679.40394,48898.04659478228,45.186793334865314,-0.37285095727190587
266,45459.87546,62890.944898007976,38.34385655839624,-0.3245721141876867
267,62572.44922,80729.13833088694,29.017066356231947,-0.25477450695819215
268,82051.91465,103547.758753777,26.197858021314307,-0.23268079108523665
269,110783.9294,132188.31263271903,19.320837732190995,-0.17664579452042695
270,145390.1865,170885.03072039067,17.53546428003974,-0.1615699257164369
271,196252.4584,228231.8694536945,16.295037175286918,-0.15096020001456267
272,1095.616077,751.2397256026902,-31.432210482003516,0.377347302078924
273,1909.33587,1372.2459266692138,-28.129673347140667,0.33030670946645735
274,2623.160983,1892.5879248007977,-27.850866299622844,0.32643490776507544
275,3549.272659,2575.3315496693076,-27.44058298426412,0.32076441472649897
276,4845.135951,3474.37549148106,-28.291475685755014,0.33256055682654484
277,6351.403688,4611.6302981877125,-27.391951059563763,0.32009440335446904
278,11029.67308,8548.618186815555,-22.494364748519327,0.2548195393499135
279,15113.44827,12042.106332497557,-20.32191385204274,0.22717559222765793
280,19940.16763,16095.916566007852,-19.27893052518008,0.21417056083799224
281,26026.23789,21133.375194621618,-18.799730933291574,0.20825162519653517
282,34262.29336,28728.251219009526,-16.15198983571623,0.17616442889748996
283,45874.56082,39288.31268699445,-14.357081605311258,0.15498364537538833
284,105597.3536,95705.79336973761,-9.367242542584314,0.09835447694657873
285,144536.8874,132265.7341014057,-8.48998032220965,0.0887217150265105
286,189925.2011,176021.80115039827,-7.320460828303283,0.07602245868814705
287,323386.9029,306341.11448397115,-5.271020026837593,0.05415021388624197
288,978.4264497,673.4161658823809,-31.173552586516823,0.3735821048357213
289,1322.360361,922.238958215327,-30.25812135521756,0.36036920726597277
290,2344.433168,1689.2652412417838,-27.945685793087886,0.3277499873766434
291,3171.45816,2344.612444265842,-26.07146851762844,0.3020713502390979
292,4277.388038,3102.2061134416736,-27.474288376880867,0.3212290439209493
293,7514.230322,5741.117495706571,-23.596732470418797,0.2691447220183747
294,9956.432911,7807.657632962731,-21.581778305996245,0.2431138660705976
295,22401.88282,18860.23784738251,-15.809586190030304,0.17208912145913047
296,51530.81264,46185.46603248219,-10.373107532499041,0.10951477189373371
297,69788.57213,63098.898494336674,-9.585629038522251,0.10076696041167388
298,220116.1066,205792.72338039978,-6.507194516950546,0.06728569935935269
299,374065.9706,361596.61913885415,-3.3334631966508668,0.03390289509021294
300,805.9127383,603.8286828877503,-25.075178218243288,0.2886849514100591
301,1133.209213,850.0163861582485,-24.990339258894785,0.28755327086565874
302,1497.701442,1160.106071458314,-22.540899078715444,0.25542011897524386
303,2659.779691,2114.271476354557,-20.509526277356755,0.2295329988958157
304,3616.413798,2772.6350781917918,-23.33191849546771,0.2656847114963439
305,11494.72838,9430.579445391942,-17.957352852282515,0.19793098675500786
306,19243.53155,16735.492542552598,-13.033153508911944,0.13964321477604535
307,25703.58543,22788.44184228643,-11.341388911101692,0.12037702238267656
308,33873.21869,30712.27397835972,-9.33169280595543,0.09796231447193726
309,45187.74242,41531.490554166914,-8.0912470285633,0.08437391664139149
310,59602.37429,55109.80826494013,-7.537562183682375,0.07836770160300333
311,79323.33333,74858.86707668182,-5.628187906255968,0.05792775812856732
312,108629.5997,103809.40170420796,-4.4372786138436275,0.045387385637987165
313,191311.8669,183138.12759227012,-4.2724685301421195,0.04366424374214439
314,249461.3838,241529.78597663573,-3.179489226967193,0.032311325999518914
315,427142.3839,421390.3212292127,-1.3466382376453583,0.013557876427977789
316,927.258475,777.6729219464664,-16.132023280082024,0.1759263292851685
317,1243.598131,1049.5607676630425,-15.602899240523021,0.16963713616722664
318,1716.460317,1435.520926832403,-16.36736878709892,0.1787364165414509
319,3092.694422,2576.3549354554875,-16.69545762010989,0.18266710793119145
320,4083.403273,3417.151182258533,-16.316098268981012,0.17812355995375384
321,9807.160843,8481.684210510444,-13.515396083624276,0.14520377729831146
322,16701.43194,15244.914334561241,-8.720914533983112,0.09124849948077163
323,28733.10879,26654.262732883468,-7.2350196155594295,0.07510098396358522
324,52609.57548,49973.98962998105,-5.00970750281171,0.05139548384883952
325,383820.4649,376975.0697106575,-1.7834888483932154,0.017995846761211354
326,522759.9608,513518.71847989014,-1.7677792893640176,0.017835911302082508
327,778.1715275,732.0175556588588,-5.9310794869889705,0.06114247542873219
328,1057.340411,988.3901887606426,-6.521099687672615,0.06743444026845058
329,1408.347747,1315.8991618502007,-6.564329395685775,0.06789700141145705
330,1914.446848,1805.2571018036801,-5.703461880406298,0.05872570837363256
331,2619.833509,2350.9353256215904,-10.263941676242206,0.10829750969711238
332,3358.272558,3100.51530002139,-7.675292982536116,0.07985839863696498
333,6196.269592,5705.443183287398,-7.9213210694755345,0.08252676865257413
334,8411.541611,7826.015614448166,-6.960983177995889,0.07215124509486515
335,14671.43686,13818.620844329382,-5.812764106259583,0.05988551365318706
336,25213.52305,24536.998639830243,-2.683180802731006,0.027198352564269612
337,32922.90003,32374.909606387195,-1.6644658371937542,0.016784737250164383
338,59518.79178,58480.33870046531,-1.7447482525739662,0.017601483767265336
339,81770.16356,80840.94554210283,-1.1363778393513289,0.01142883948603668
340,109005.8457,106725.68262430557,-2.091780547228428,0.021139682337754095
341,191579.1859,187711.22841757812,-2.0189862819653452,0.020396463658141073
342,255525.1192,247732.079508589,-3.0498135431105546,0.030972881073951797
343,341579.3928,333869.7420814192,-2.25705967077905,0.02282921142667682
344,869.3314017,906.8660875724255,4.3176498397533365,-0.04227038355988544
345,1209.671781,1243.3607263659537,2.784965797755822,-0.027468909234279693
346,2211.8587,2186.0644619394907,-1.1661792889622442,0.011730324921597202
347,2968.048897,2907.545716604579,-2.038483276221482,0.020595470931106696
348,3953.386891,3926.8049910739383,-0.6723829632403627,0.006746536416468274
349,7125.09244,7018.35168410315,-1.4980964358807773,0.015094312472729854
350,9613.206009,9468.724726087308,-1.502945872349206,0.015143545590774465
351,12510.94661,12414.120868376012,-0.7739281817939794,0.007769385480543178
352,21709.11751,22086.90238821872,1.7402129683286287,-0.017252446664890897
353,29302.81562,29760.596311717956,1.5622413137852418,-0.015501639468453732
354,52515.80528,52850.25213034127,0.6368498941568012,-0.006348305740425886
355,71214.73311,71813.25359123165,0.8404447437964307,-0.008369326712584169
356,95692.06829,96426.49011655539,0.7674845362623874,-0.007645543565963919
357,164004.0721,162245.63572502157,-1.0721906794522966,0.010779800630597691
358,222966.1134,220370.02361984344,-1.1643427517163507,0.011711743021498577
359,299341.3213,295132.5228688089,-1.406019861512226,0.014159979605526729
360,993.1452072,1140.6212263030418,14.849391411637056,-0.1384514441485365
361,1358.636001,1527.7406385833835,12.446647774600185,-0.11730868116452431
362,1896.952399,2033.9474421984796,7.2218492815475015,-0.06972985980544166
363,2514.323963,2692.921705702738,7.103211254035935,-0.06862277471392364
364,4450.983841,4788.434725304183,7.581489764033117,-0.07307841872573739
365,6016.132491,6398.41798833206,6.354339734105766,-0.061606160976106494
366,8213.583988,8728.550354439687,6.2696913697120475,-0.06080993518332001
367,10691.6548,11346.272738291103,6.1226999050802045,-0.059425784958184735
368,14180.43445,14944.431141836383,5.387681840991709,-0.05247557271044734
369,19258.68453,20114.388649833687,4.443211676793006,-0.043473308775546116
370,24954.9899,26786.453871216392,7.339069174363368,-0.07082250897306963
371,33773.96405,35645.98389723446,5.542789837944582,-0.053946275579273006
372,45016.12152,47519.66613836712,5.561440065987992,-0.05412296770998459
373,61682.11388,64557.697056292935,4.661940059134915,-0.04556535156168451
374,82409.82889,85843.141864823,4.166145010937662,-0.04081698661271638
375,145360.8569,146263.5387131986,0.6209937341106705,-0.00619073513554369
376,196926.3359,196347.23149471649,-0.2940715890725718,0.002945048291358887
377,259939.8297,255524.7299392701,-1.6985083685810796,0.01713098467320151
378,355880.6652,348868.71005905693,-1.9703107885904494,0.019899802061116745
379,479177.7654,467173.31458869844,-2.5052186637417657,0.025371334173115656
380,619685.956,584957.2767036152,-5.604238559891585,0.05767401384352233
381,821036.215,781340.3719113915,-4.834846790358506,0.049556348912776826
382,739.8215625,954.3693300881616,28.999934371088514,-0.25464170962219956
383,835.4853336,1092.347019859304,30.74400901240477,-0.26807109573435195
384,1143.163558,1475.3908445564664,29.062095640776754,-0.25512346411268094
385,2098.810441,2476.839417794888,18.01158262843271,-0.16561259152847896
386,2838.707823,3335.511353626932,17.501044898023366,-0.161277040305718
387,5186.650045,6037.0879012635605,16.39666931227399,-0.1518337347441321
388,7059.64503,8065.124148534226,14.24262996597474,-0.1331543337490384
389,12269.25192,13616.102837008526,10.977449365213827,-0.10415683581273605
390,16543.32032,18430.078647134855,11.404955538785433,-0.10800162470587438
391,22183.00785,24111.84361174787,8.69510471614366,-0.08337657231488826
392,29349.51758,32702.63650459097,11.424783782054144,-0.10817959236298869
393,39278.81673,43085.36273237624,9.691091329309101,-0.0924979685998899
394,54053.59161,58782.95186721752,8.749391328776339,-0.08387588698827031
395,72281.36189,76967.16629563353,6.482728442173705,-0.06281261175783293
396,98510.8538,101545.01172225471,3.080023982346923,-0.030335432453661326
397,129520.7229,131993.7226207824,1.9093467558019783,-0.018913474821193432
398,314222.2027,311781.67098715855,-0.7766897729921219,0.007797217174145388
399,733865.3511,695441.8439741745,-5.235770713010504,0.053778176129625876
400,968499.8293,912343.7505086224,-5.7982538656682445,0.059731468119696984
401,951.481771,1342.9924694606354,41.147472331410064,-0.34463506087419393
402,983.3822228,1377.0134978679548,40.028309027914105,-0.33667442352230736
403,1817.624491,2335.267978441505,28.479121512976185,-0.2505962266478816
404,3326.960389,4165.960903391988,25.218229744062874,-0.22488786706305675
405,4543.843552,5606.879665258622,23.395086144432053,-0.21022110414278572
406,6062.379548,7442.403240341335,22.76372967767433,-0.20509142516632828
