月份,北美,中美洲与加勒比,南美,东亚,东南亚,南亚,中亚,西欧,东欧,中东与北非,撒哈拉以南非洲,大洋洲
2011-07-01,0,0,0,3,18,182,0,11,17,118,39,0
2011-08-01,0,0,0,0,23,142,0,1,11,130,34,0
2011-09-01,1,0,0,0,19,136,1,3,17,132,33,0
2011-10-01,1,0,0,1,43,166,2,9,11,127,42,0
2011-11-01,1,0,16,0,48,236,2,4,15,237,102,0
2011-12-01,1,1,11,0,26,172,1,6,6,170,37,0
2012-01-01,9,1,8,0,28,288,0,8,10,232,144,0
2012-02-01,0,0,9,1,35,235,2,3,2,164,105,0
2012-03-01,3,0,9,0,68,287,0,12,9,165,102,0
2012-04-01,3,0,15,0,47,316,1,15,15,214,96,0
2012-05-01,10,0,12,1,41,425,1,41,21,194,97,0
2012-06-01,4,0,9,1,40,382,1,16,27,201,94,0
2012-07-01,2,0,18,0,52,338,5,9,17,209,90,0
2012-08-01,4,0,19,0,78,333,1,8,29,253,87,0
2012-09-01,1,0,9,0,34,268,1,19,9,228,79,0
2012-10-01,0,0,11,1,72,339,0,12,16,201,125,0
2012-11-01,3,0,8,0,53,329,0,10,11,205,69,0
2012-12-01,0,0,6,0,39,263,0,40,7,143,80,0
2013-01-01,3,2,30,0,64,398,1,33,15,208,83,0
2013-02-01,3,0,20,0,97,268,1,23,10,186,86,0
2013-03-01,5,1,10,1,75,349,0,25,4,231,97,0
2013-04-01,8,0,17,2,137,479,0,12,10,252,76,0
2013-05-01,5,0,17,0,135,482,0,25,15,343,84,0
2013-06-01,0,0,10,7,90,345,3,25,7,311,59,0
2013-07-01,2,0,13,0,100,417,0,19,18,522,78,0
2013-08-01,2,5,9,0,112,332,1,19,14,460,83,0
2013-09-01,1,0,6,0,92,359,1,10,12,401,72,1
2013-10-01,2,4,22,1,122,399,0,25,21,475,91,0
2013-11-01,1,2,15,3,82,433,0,22,20,558,78,0
2013-12-01,0,0,13,1,82,351,0,23,19,612,112,0
2014-01-01,1,0,19,6,91,484,0,11,15,587,144,0
2014-02-01,1,0,15,3,117,415,2,16,18,637,163,2
2014-03-01,2,0,21,5,113,369,3,26,9,730,244,0
2014-04-01,5,1,26,3,65,510,0,16,72,575,200,0
2014-05-01,4,1,19,8,153,472,1,8,86,706,213,2
2014-06-01,6,0,23,4,72,438,0,19,90,548,204,0
2014-07-01,0,2,37,6,84,394,0,12,196,680,318,0
2014-08-01,1,0,33,1,84,438,0,26,78,549,146,1
2014-09-01,3,0,25,4,77,403,1,17,88,491,179,1
2014-10-01,5,1,24,1,74,330,0,20,138,545,191,0
2014-11-01,6,0,27,2,79,369,1,24,105,453,165,1
2014-12-01,3,0,14,0,73,376,1,20,67,438,154,2
2015-01-01,2,0,5,0,74,564,0,28,143,544,173,1
2015-02-01,5,0,15,1,81,455,1,23,82,453,179,0
2015-03-01,2,0,9,6,88,327,0,18,103,468,160,2
2015-04-01,1,0,5,2,99,365,2,21,81,537,161,3
2015-05-01,3,0,19,3,100,468,0,21,54,473,174,1
2015-06-01,9,1,39,2,71,358,0,12,40,499,137,0
2015-07-01,7,0,34,4,97,329,0,20,34,534,203,1
2015-08-01,5,0,15,6,82,398,0,21,49,579,135,0
2015-09-01,3,0,16,2,75,367,3,27,19,446,149,0
2015-10-01,10,0,7,0,120,355,0,45,31,552,147,2
2015-11-01,10,0,6,1,84,313,3,52,27,500,174,2
2015-12-01,5,0,6,1,101,286,1,45,21,451,172,2
2016-01-01,5,0,4,0,74,328,0,27,5,574,145,0
2016-02-01,4,0,19,1,106,319,2,30,16,510,145,1
2016-03-01,2,1,12,0,118,283,1,28,14,481,205,0
2016-04-01,3,0,18,1,98,293,0,20,18,510,158,1
2016-05-01,3,1,12,0,121,356,1,15,13,639,190,2
2016-06-01,6,0,11,0,83,298,4,21,8,528,196,1
2016-07-01,14,0,14,1,66,265,2,33,5,510,203,1
2016-08-01,11,0,17,0,127,343,2,18,17,483,144,0
2016-09-01,11,0,16,0,35,288,1,17,14,518,143,2
2016-10-01,7,1,9,0,53,332,3,21,12,524,178,0
2016-11-01,4,0,16,3,128,271,0,21,3,447,220,1
2016-12-01,5,0,11,2,68,263,1,22,9,391,150,1
2017-01-01,11,0,22,2,58,251,2,24,9,336,164,0
2017-02-01,8,1,15,1,78,247,1,21,6,364,137,0
2017-03-01,10,0,15,0,96,293,2,31,12,342,160,0
2017-04-01,10,0,13,0,118,230,0,16,9,297,171,1
2017-05-01,12,1,16,0,93,400,1,23,11,357,167,0
2017-06-01,9,0,14,1,81,330,0,41,10,396,194,1
2017-07-01,8,0,19,0,83,294,0,22,7,358,194,9
2017-08-01,7,0,12,1,128,278,0,22,12,338,170,0
2017-09-01,7,1,15,0,81,249,0,30,10,282,163,0
2017-10-01,7,1,15,2,61,282,1,20,10,257,149,0
2017-11-01,3,0,8,0,64,303,0,20,5,240,161,0
2017-12-01,5,0,8,0,79,273,0,21,9,213,140,1
