地区,年份,危害等级,事件数,地区年度占比
南亚,2015,1,1065,0.23227917121046893
南亚,2015,2,594,0.12955288985823338
南亚,2015,3,516,0.11254089422028353
南亚,2015,4,1199,0.261504907306434
南亚,2015,5,1211,0.2641221374045801
南亚,2016,1,763,0.20967298708436383
南亚,2016,2,337,0.09260785930200605
南亚,2016,3,427,0.11733992855179995
南亚,2016,4,963,0.2646331409727947
南亚,2016,5,1149,0.31574608408903543
南亚,2017,1,732,0.21341107871720116
南亚,2017,2,459,0.13381924198250728
南亚,2017,3,366,0.10670553935860058
南亚,2017,4,826,0.24081632653061225
南亚,2017,5,1047,0.3052478134110787
南美,2015,1,43,0.24431818181818182
南美,2015,2,25,0.14204545454545456
南美,2015,3,21,0.11931818181818182
南美,2015,4,54,0.3068181818181818
南美,2015,5,33,0.1875
南美,2016,1,41,0.2578616352201258
南美,2016,2,27,0.16981132075471697
南美,2016,3,9,0.05660377358490566
南美,2016,4,42,0.2641509433962264
南美,2016,5,40,0.25157232704402516
南美,2017,1,44,0.2558139534883721
南美,2017,2,28,0.16279069767441862
南美,2017,3,15,0.0872093023255814
南美,2017,4,44,0.2558139534883721
南美,2017,5,41,0.23837209302325582
大洋洲,2015,1,4,0.2857142857142857
大洋洲,2015,2,7,0.5
大洋洲,2015,4,1,0.07142857142857142
大洋洲,2015,5,2,0.14285714285714285
大洋洲,2016,2,9,0.9
大洋洲,2016,5,1,0.1
大洋洲,2017,2,5,0.4166666666666667
大洋洲,2017,3,1,0.08333333333333333
大洋洲,2017,4,3,0.25
大洋洲,2017,5,3,0.25
撒哈拉以南非洲,2015,1,657,0.3345213849287169
撒哈拉以南非洲,2015,2,236,0.12016293279022404
撒哈拉以南非洲,2015,3,356,0.18126272912423624
撒哈拉以南非洲,2015,4,426,0.21690427698574338
撒哈拉以南非洲,2015,5,289,0.14714867617107943
撒哈拉以南非洲,2016,1,739,0.35580163697640826
撒哈拉以南非洲,2016,2,220,0.1059220028887819
撒哈拉以南非洲,2016,3,309,0.14877226769378912
撒哈拉以南非洲,2016,4,515,0.24795377948964853
撒哈拉以南非洲,2016,5,294,0.14155031295137216
撒哈拉以南非洲,2017,1,615,0.31218274111675126
撒哈拉以南非洲,2017,2,239,0.12131979695431472
撒哈拉以南非洲,2017,3,296,0.150253807106599
撒哈拉以南非洲,2017,4,530,0.26903553299492383
撒哈拉以南非洲,2017,5,290,0.14720812182741116
西欧,2015,1,33,0.0990990990990991
西欧,2015,2,170,0.5105105105105106
西欧,2015,3,3,0.009009009009009009
西欧,2015,4,13,0.03903903903903904
西欧,2015,5,114,0.34234234234234234
西欧,2016,1,21,0.07692307692307693
西欧,2016,2,132,0.4835164835164835
西欧,2016,3,2,0.007326007326007326
西欧,2016,4,24,0.08791208791208792
西欧,2016,5,94,0.3443223443223443
西欧,2017,1,27,0.09278350515463918
西欧,2017,2,134,0.46048109965635736
西欧,2017,3,4,0.013745704467353952
西欧,2017,4,10,0.03436426116838488
西欧,2017,5,116,0.39862542955326463
