eventid,iyear,imonth,iday,地区,country_txt,latitude,longitude,坐标状态,specificity,危害等级,危害得分,数据完整率
201501020002,2015,1,2,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,3,0.5255796761704256,0.4
201501020043,2015,1,2,南亚,Afghanistan,32.613889,65.81,有效,2.0,4,0.3111958196409249,0.4
201501020044,2015,1,2,撒哈拉以南非洲,Somalia,2.059819,45.326115,有效,1.0,3,0.405782176784229,0.4
201501020045,2015,1,2,撒哈拉以南非洲,Somalia,6.774396,47.429031,有效,1.0,1,0.744566312825296,0.8
201501020046,2015,1,2,撒哈拉以南非洲,Somalia,3.115641,43.64658,有效,1.0,2,0.6839081076034705,0.4
201501020047,2015,1,2,撒哈拉以南非洲,Somalia,3.85,45.566667,有效,3.0,4,0.2557740665292199,0.4
201501020048,2015,1,2,南亚,Pakistan,36.337837,73.83777,有效,1.0,5,0.1970259760925058,0.8
201501020049,2015,1,2,南亚,Sri Lanka,7.483368,80.367085,有效,1.0,5,0.234777844690143,0.4
201501020050,2015,1,2,南亚,Pakistan,28.86935,69.37845,有效,2.0,1,0.7780084411929877,0.6
201501020053,2015,1,2,南亚,Pakistan,28.373562,67.565649,有效,1.0,2,0.7074333924038098,0.8
201501020055,2015,1,2,中东与北非,Iraq,33.349159,43.784199,有效,1.0,1,0.8013805776778586,0.8
201501020056,2015,1,2,中东与北非,Iraq,33.420948,43.295662,有效,1.0,4,0.2937708897976774,0.4
201501020057,2015,1,2,中东与北非,Iraq,33.403057,43.911865,有效,1.0,3,0.5375660709660166,1.0
201501020058,2015,1,2,南亚,Pakistan,33.518611,70.802222,有效,1.0,4,0.2417087428965934,0.4
201501020059,2015,1,2,南亚,Afghanistan,31.60063,64.369652,有效,1.0,1,0.7446992295810744,0.6
201501020060,2015,1,2,东欧,Ukraine,47.313381,37.805458,有效,1.0,5,0.2216076206392542,0.4
201501020061,2015,1,2,东欧,Ukraine,48.325562,38.511093,有效,1.0,4,0.241512039217864,0.4
201501020062,2015,1,2,东欧,Ukraine,48.325562,38.511093,有效,1.0,4,0.241512039217864,0.4
201501020063,2015,1,2,东欧,Ukraine,47.981647,37.762325,有效,1.0,5,0.2216076206392542,0.4
201501020068,2015,1,2,南亚,Afghanistan,37.110345,68.849843,有效,3.0,3,0.4351149886728944,0.4
201501020073,2015,1,2,南亚,Bangladesh,24.912089,91.850123,有效,1.0,5,0.1775768313065459,0.8
201501020075,2015,1,2,撒哈拉以南非洲,Nigeria,9.228089,8.460458,有效,2.0,1,0.7228292068405914,0.8
201501020076,2015,1,2,撒哈拉以南非洲,Nigeria,9.410207,9.21093,有效,2.0,1,0.7228406017187129,0.6
201501020077,2015,1,2,撒哈拉以南非洲,Nigeria,9.636866,8.499615,有效,3.0,2,0.7146855568219798,0.8
201501020078,2015,1,2,南亚,Afghanistan,34.942699,69.262517,有效,1.0,4,0.2435131978523192,0.8
201501020079,2015,1,2,中东与北非,Yemen,13.063399,44.880882,有效,1.0,4,0.2513758473476865,0.8
201501020080,2015,1,2,东南亚,Philippines,6.660501,122.138992,有效,1.0,5,0.198179123217597,0.8
201501020081,2015,1,2,南亚,Afghanistan,34.417122,70.449593,有效,1.0,4,0.2435131978523192,0.8
201501020082,2015,1,2,南亚,Afghanistan,33.242222,69.828056,有效,3.0,5,0.2157140473827506,0.8
201501020083,2015,1,2,中东与北非,Yemen,15.325443,44.211895,有效,1.0,5,0.1429704126235866,0.6
201501020094,2015,1,2,北美,Mexico,19.058698,-96.15845,有效,1.0,5,0.1804436234463762,1.0
201501030035,2015,1,3,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,1,0.7319692269583891,0.8
201501030036,2015,1,3,中东与北非,Iraq,33.548306,44.415733,有效,1.0,1,0.7612919151696798,0.8
201501030037,2015,1,3,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,1,0.762655352212978,0.8
201501030038,2015,1,3,中东与北非,Iraq,33.043201,44.641945,有效,1.0,3,0.4837383685057383,0.4
201501030039,2015,1,3,中东与北非,Iraq,34.928947,43.493056,有效,3.0,2,0.6993543173552976,0.8
201501030040,2015,1,3,中东与北非,Iraq,33.953167,44.921906,有效,1.0,4,0.3558582359932725,0.4
201501030041,2015,1,2,南亚,India,12.166372,75.334212,有效,3.0,2,0.6875862746394845,0.8
201501030043,2015,1,3,中东与北非,Yemen,14.33,46.872778,有效,3.0,3,0.3792579729254507,0.8
201501030044,2015,1,3,东欧,Ukraine,46.498405,30.716375,有效,1.0,1,0.7340829419687529,0.8
201501030045,2015,1,3,中东与北非,Libya,31.197586,16.586681,有效,1.0,3,0.5636942236118928,1.0
201501030046,2015,1,2,中东与北非,Libya,29.090883,15.78021,有效,1.0,3,0.4613946854622257,1.0
201501030047,2015,1,3,东南亚,Philippines,6.7001,124.73288,有效,2.0,3,0.3968994822689057,0.8
201501030048,2015,1,3,东南亚,Philippines,6.802292,124.677007,有效,1.0,4,0.2759519624571688,0.8
201501030050,2015,1,3,南亚,Afghanistan,34.346722,62.197315,有效,1.0,1,0.7367141488163744,0.8
201501030052,2015,1,3,南亚,Afghanistan,33.914076,68.656837,有效,3.0,3,0.4940824094963611,1.0
201501030054,2015,1,3,中东与北非,Iraq,35.212429,43.411167,有效,1.0,4,0.3288206694870189,0.2
201501030055,2015,1,3,中东与北非,Iraq,35.236431,43.466814,有效,1.0,4,0.3288206694870189,0.2
201501030056,2015,1,3,中东与北非,Iraq,33.420948,43.295662,有效,1.0,5,0.2346788424694691,0.4
201501030059,2015,1,3,南亚,Afghanistan,34.346722,62.197315,有效,1.0,1,0.7744415890782052,0.6
201501030060,2015,1,3,南亚,Pakistan,28.54439,68.218002,有效,1.0,5,0.2353479391133655,0.8
201501030061,2015,1,3,南亚,Pakistan,26.444275,65.224275,有效,3.0,5,0.1761575589864727,0.8
201501030073,2015,1,3,中东与北非,Syria,35.628849,36.458794,有效,1.0,2,0.7141016651051437,0.4
201501030074,2015,1,3,撒哈拉以南非洲,Mali,15.425015,3.023775,有效,1.0,2,0.7034433951357937,0.8
201501030075,2015,1,3,撒哈拉以南非洲,Nigeria,12.107451,11.754643,有效,1.0,1,0.7443036091813865,0.2
201501030076,2015,1,3,撒哈拉以南非洲,Nigeria,13.095123,13.818728,有效,1.0,1,0.7955320859347799,0.4
201501030077,2015,1,3,撒哈拉以南非洲,Nigeria,12.992768,13.72156,有效,2.0,1,0.7998258102103748,0.4
201501030078,2015,1,3,撒哈拉以南非洲,Nigeria,12.922965,13.563938,有效,3.0,1,0.7998258102103748,0.4
201501030079,2015,1,3,撒哈拉以南非洲,Nigeria,12.922965,13.563938,有效,3.0,1,0.7998258102103748,0.4
201501030080,2015,1,3,撒哈拉以南非洲,Nigeria,13.120723,13.86245,有效,2.0,1,0.7998258102103748,0.4
201501030081,2015,1,3,撒哈拉以南非洲,Nigeria,13.120905,13.876099,有效,2.0,1,0.7998258102103748,0.4
201501030082,2015,1,3,南亚,Afghanistan,33.542622,68.415329,有效,1.0,4,0.3648400677497925,0.4
201501030083,2015,1,3,南亚,Afghanistan,35.221192,71.049777,有效,3.0,4,0.308588704399249,0.8
201501030084,2015,1,3,南亚,Afghanistan,35.190189,70.993524,有效,3.0,1,0.7220321622981477,0.8
201501030085,2015,1,3,南亚,India,18.255729,81.241831,有效,3.0,4,0.3349680300926031,0.8
201501030086,2015,1,3,中东与北非,Syria,34.029758,36.584045,有效,1.0,3,0.4966811412899991,0.6
201501030089,2015,1,3,中东与北非,Yemen,15.921257,48.636382,有效,3.0,1,0.7910376241020711,0.6
201501030090,2015,1,3,中东与北非,Yemen,15.325443,44.211895,有效,1.0,4,0.2538834330006279,0.8
201501030091,2015,1,3,中东与北非,Yemen,15.944438,48.788861,有效,3.0,4,0.2891667258254122,0.8
201501030092,2015,1,3,南亚,Pakistan,33.695975,70.336069,有效,3.0,4,0.2712061605522504,0.8
201501030093,2015,1,3,南亚,Pakistan,33.695975,70.336069,有效,3.0,2,0.6889419146628444,0.8
201501030096,2015,1,3,东欧,Ukraine,48.968681,39.001335,有效,1.0,5,0.2328952658108277,0.4
201501030097,2015,1,3,东欧,Ukraine,47.20529,37.759419,有效,1.0,5,0.2328952658108277,0.4
201501030098,2015,1,3,东欧,Ukraine,48.61874,37.89743,有效,1.0,5,0.2328952658108277,0.4
201501030099,2015,1,3,东欧,Ukraine,47.26136,37.744514,有效,1.0,5,0.2328952658108277,0.4
201501030102,2015,1,3,撒哈拉以南非洲,Uganda,0.422329,32.541517,有效,2.0,5,0.1833998495494477,0.8
201501040001,2015,1,4,中东与北非,Iraq,34.880927,44.620853,有效,3.0,1,0.7626595494770491,0.8
201501040002,2015,1,4,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,1,0.766827144159572,0.8
201501040003,2015,1,4,中东与北非,Iraq,31.98958,44.923775,有效,1.0,2,0.6924294728562278,0.8
201501040004,2015,1,4,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,3,0.5382720375235113,0.4
201501040005,2015,1,4,中东与北非,Iraq,35.303047,44.329933,有效,1.0,4,0.3264386207559065,0.4
201501040006,2015,1,4,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,2,0.6528762663777002,0.4
201501040007,2015,1,4,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,2,0.6771430690401242,0.4
201501040008,2015,1,4,中东与北非,Iraq,33.460819,44.157433,有效,1.0,1,0.762651037604759,0.8
201501040009,2015,1,4,南亚,Pakistan,29.548279,67.879189,有效,1.0,5,0.208248495747011,0.8
201501040010,2015,1,4,中东与北非,Egypt,31.186066,34.008556,有效,1.0,3,0.3871591184378012,0.8
201501040011,2015,1,4,中东与北非,Yemen,14.597842,44.386803,有效,1.0,1,0.7413997297762807,0.8
201501040012,2015,1,4,中东与北非,Yemen,14.536129,46.833235,有效,1.0,2,0.7145025299059155,0.8
201501040013,2015,1,4,东欧,Ukraine,46.48461,30.715515,有效,1.0,1,0.7354385819921128,0.8
201501040014,2015,1,4,撒哈拉以南非洲,Somalia,2.059819,45.326115,有效,1.0,1,0.7832784907277776,0.8
201501040015,2015,1,4,南亚,Pakistan,31.329887,68.98004,有效,2.0,3,0.3806437480830987,0.8
201501040016,2015,1,4,南亚,Pakistan,31.350038,69.45009,有效,3.0,4,0.3278847383219428,0.6
201501040017,2015,1,4,南亚,Bangladesh,23.791275,90.418205,有效,1.0,5,0.2266232503371561,0.4
201501040018,2015,1,4,南亚,Afghanistan,33.962224,68.924973,有效,1.0,2,0.7096247702942148,0.8
201501040019,2015,1,4,南亚,Afghanistan,34.346722,62.197315,有效,1.0,4,0.2561115547067499,0.8
201501040020,2015,1,4,南亚,Pakistan,33.748011,70.962931,有效,1.0,2,0.6819457946716646,0.4
201501040021,2015,1,4,南亚,Pakistan,24.976461,66.945547,有效,1.0,4,0.2673346391086724,0.8
201501040022,2015,1,4,南亚,Pakistan,34.61468,71.1904,有效,1.0,3,0.3758680843416444,0.8
201501040023,2015,1,4,南亚,Pakistan,34.322759,71.399435,有效,3.0,5,0.2040937647693729,0.4
201501040024,2015,1,4,中东与北非,Iraq,34.6,43.683333,有效,3.0,2,0.7003933241358772,0.6
201501040025,2015,1,4,中东与北非,Iraq,32.559761,41.919647,有效,4.0,5,0.1964976280671793,0.8
201501040026,2015,1,4,中东与北非,Iraq,33.201393,41.698021,有效,1.0,4,0.2488235212943943,0.0
201501040028,2015,1,4,南亚,Bangladesh,23.791275,90.418205,有效,1.0,3,0.4529326542385574,0.4
201501040029,2015,1,4,撒哈拉以南非洲,Mali,15.587982,1.784334,有效,3.0,1,0.7491699934183029,0.8
201501040030,2015,1,4,撒哈拉以南非洲,Mali,16.265509,-0.026982,有效,1.0,2,0.6920820492442538,0.8
201501040032,2015,1,4,撒哈拉以南非洲,Somalia,3.810951,43.246506,有效,1.0,3,0.4352840343989607,0.2
201501040035,2015,1,4,南亚,Afghanistan,33.065829,68.233333,有效,1.0,1,0.7236639875952744,0.8
201501040036,2015,1,4,南亚,Afghanistan,32.453788,62.031136,有效,1.0,4,0.3421590615179953,0.4
201501040037,2015,1,4,南亚,Afghanistan,31.631083,65.742226,有效,1.0,3,0.4062236958277897,0.8
201501040038,2015,1,4,南亚,Afghanistan,31.631083,65.742226,有效,1.0,4,0.2873848980820103,0.8
201501040039,2015,1,4,南亚,Afghanistan,31.631083,65.742226,有效,1.0,4,0.3260114925104153,0.8
201501040042,2015,1,4,南亚,India,17.985198,81.582525,有效,1.0,4,0.3392646627629557,1.0
201501040043,2015,1,4,中东与北非,Libya,31.197586,16.586681,有效,1.0,4,0.2673490067393153,0.6
201501040044,2015,1,4,中东与北非,Yemen,14.769764,49.374268,有效,1.0,2,0.7157407018842693,0.8
201501040053,2015,1,4,南亚,Bangladesh,23.791275,90.418205,有效,1.0,4,0.2803430933248783,0.4
201501040054,2015,1,4,南亚,Bangladesh,23.791275,90.418205,有效,1.0,5,0.2157140473827506,0.4
201501040067,2015,1,4,东南亚,Philippines,12.53232,125.120518,有效,1.0,2,0.6959969460765394,0.8
201501040068,2015,1,4,东欧,Ukraine,48.240883,38.525669,有效,1.0,4,0.2659212103145957,0.0
201501040069,2015,1,4,东欧,Ukraine,48.240883,38.525669,有效,1.0,4,0.2659212103145957,0.0
201501040070,2015,1,4,东欧,Ukraine,48.240883,38.525669,有效,1.0,4,0.2659212103145957,0.0
201501040071,2015,1,4,东欧,Ukraine,47.981647,37.762325,有效,1.0,4,0.2659212103145957,0.0
201501040084,2015,1,4,中东与北非,Egypt,30.084629,31.334314,有效,1.0,3,0.4215199428123393,0.8
201501040091,2015,1,4,中东与北非,Egypt,30.608472,33.617577,有效,4.0,5,0.2132320471192756,1.0
201501040093,2015,1,4,中东与北非,Egypt,31.103965,33.901494,有效,3.0,5,0.1927555276001213,0.8
201501050001,2015,1,5,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,3,0.5557500921413572,0.4
201501050002,2015,1,5,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,3,0.5242216908486285,0.4
201501050003,2015,1,5,中东与北非,Iraq,32.982933,44.361595,有效,1.0,1,0.758354937010335,0.8
201501050004,2015,1,5,中东与北非,Iraq,34.01918,44.996505,有效,1.0,5,0.2108942818940639,0.8
201501050005,2015,1,5,中东与北非,Iraq,34.705948,43.697075,有效,1.0,5,0.1866656177954716,0.6
201501050006,2015,1,5,中东与北非,Iraq,35.188333,44.143611,有效,1.0,5,0.1866656177954716,0.6
201501050007,2015,1,5,中东与北非,Iraq,35.037411,43.97273,有效,1.0,5,0.1866656177954716,0.6
201501050008,2015,1,5,中东与北非,Iraq,,,缺失,5.0,5,0.1866656177954716,0.6
201501050009,2015,1,5,中东与北非,Iraq,,,缺失,5.0,5,0.1866656177954716,0.6
201501050010,2015,1,5,中东与北非,Iraq,35.149576,43.924697,有效,3.0,5,0.1866656177954716,0.6
201501050011,2015,1,5,中东与北非,Iraq,33.848618,44.522125,有效,1.0,2,0.6556298702291804,0.4
201501050012,2015,1,5,中东与北非,Iraq,33.978277,44.936944,有效,3.0,3,0.5093273157320178,1.0
201501050013,2015,1,5,中东与北非,Saudi Arabia,31.332063,41.44449,有效,1.0,2,0.6149119240513748,0.4
201501050014,2015,1,5,中东与北非,Egypt,31.126646,33.800865,有效,1.0,3,0.4226677349775596,0.4
201501050022,2015,1,5,东欧,Ukraine,47.659451,33.716668,有效,1.0,4,0.2494097050166006,0.4
201501050023,2015,1,5,东欧,Ukraine,47.659451,33.716668,有效,1.0,4,0.2494097050166006,0.4
201501050024,2015,1,5,东欧,Ukraine,46.639806,32.62154,有效,1.0,2,0.6783165279017713,0.8
201501050025,2015,1,5,南亚,Afghanistan,34.516895,69.147011,有效,1.0,1,0.7657132933186348,0.8
201501050027,2015,1,5,南亚,Afghanistan,32.100204,66.901016,有效,1.0,2,0.7131347120956761,0.8
201501050028,2015,1,5,南亚,Pakistan,30.200819,66.994354,有效,1.0,5,0.2157140473827506,0.8
201501050029,2015,1,5,南亚,Pakistan,29.143866,69.099785,有效,1.0,1,0.7662698873819146,0.6
201501050031,2015,1,5,南亚,Pakistan,34.461111,71.099167,有效,2.0,4,0.3082663131956101,0.8
201501050032,2015,1,5,南亚,Pakistan,34.683281,71.216293,有效,1.0,1,0.7460630149420732,0.8
201501050037,2015,1,5,南亚,Afghanistan,34.171831,70.621679,有效,4.0,1,0.8034814905744527,0.6
201501050038,2015,1,5,南亚,Afghanistan,35.008338,71.450864,有效,3.0,4,0.306903781067345,0.8
201501050041,2015,1,5,撒哈拉以南非洲,Mali,15.279522,-5.553018,有效,1.0,2,0.705625785669656,0.4
201501050042,2015,1,5,撒哈拉以南非洲,Somalia,4.554515,45.250362,有效,1.0,5,0.1783866368215406,1.0
201501050043,2015,1,5,南亚,Afghanistan,35.207547,66.271154,有效,1.0,5,0.226062944732474,0.8
201501050045,2015,1,5,中东与北非,Yemen,15.693056,44.205278,有效,2.0,4,0.2841257321732986,0.6
201501050046,2015,1,5,中东与北非,Yemen,15.798056,46.081667,有效,2.0,1,0.7828679969512273,0.6
201501050047,2015,1,5,中东与北非,Yemen,15.325443,44.211895,有效,1.0,2,0.7029103670146405,0.8
201501050049,2015,1,5,南亚,Bangladesh,23.791275,90.418205,有效,1.0,2,0.674958779313254,0.8
201501050050,2015,1,5,南亚,Bangladesh,23.791275,90.418205,有效,1.0,5,0.2157140473827506,0.4
201501050053,2015,1,5,中东与北非,Libya,32.073238,23.944855,有效,1.0,4,0.2598815947797485,0.8
201501050054,2015,1,5,南亚,Afghanistan,33.371389,69.743333,有效,2.0,1,0.7744415890782052,0.6
201501050055,2015,1,5,南亚,Afghanistan,32.794568,62.757807,有效,3.0,4,0.2446460937631169,0.4
201501050056,2015,1,5,东南亚,Philippines,15.814056,120.320635,有效,1.0,4,0.2542038512408258,0.8
201501050057,2015,1,5,东南亚,Philippines,16.6715,121.5318,有效,1.0,4,0.2542038512408258,0.8
201501050058,2015,1,5,南亚,Afghanistan,34.2,70.278056,有效,3.0,5,0.2078163815840141,0.8
201501050064,2015,1,5,南亚,Bangladesh,23.015022,91.398509,有效,2.0,1,0.7460613950303786,0.8
201501050066,2015,1,5,中东与北非,Egypt,30.81214,34.172752,有效,2.0,3,0.472457540859925,1.0
201501050067,2015,1,5,西欧,United Kingdom,55.071136,-6.513154,有效,1.0,4,0.2844232670510959,0.8
201501050068,2015,1,5,东欧,Bulgaria,42.135408,24.74529,有效,1.0,2,0.7093293054245738,0.6
201501060001,2015,1,6,中东与北非,Egypt,31.212225,34.117065,有效,1.0,4,0.2509542494957421,0.8
201501060003,2015,1,6,中东与北非,Egypt,30.084629,31.334314,有效,1.0,3,0.4587923174690126,0.4
201501060004,2015,1,6,中东与北非,Egypt,28.086801,30.762019,有效,1.0,1,0.7566995904624191,0.6
201501060005,2015,1,6,中东与北非,Turkey,41.106178,28.689863,有效,1.0,1,0.7887661896822594,0.8
201501060006,2015,1,6,中东与北非,Yemen,14.0475,45.381111,有效,3.0,2,0.7187735475286843,0.8
201501060007,2015,1,6,南亚,Afghanistan,32.437599,64.479408,有效,1.0,1,0.7460559176302335,0.8
201501060008,2015,1,6,撒哈拉以南非洲,Burundi,-3.440833,30.573889,有效,1.0,1,0.7200977297162187,1.0
201501060009,2015,1,6,南亚,Pakistan,28.518663,68.542679,有效,1.0,3,0.4049217767224585,0.4
201501060010,2015,1,6,南亚,Afghanistan,34.007712,68.714007,有效,3.0,2,0.6777185726228062,0.8
201501060011,2015,1,6,南亚,Pakistan,29.896111,69.251944,有效,3.0,5,0.2127089643301245,0.6
201501060015,2015,1,6,南亚,Pakistan,24.891115,67.143311,有效,1.0,3,0.3987325621557632,0.4
201501060016,2015,1,6,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,2,0.6149227692495867,0.4
201501060017,2015,1,6,中东与北非,Iraq,33.303566000000004,44.371773,有效,1.0,3,0.488263920905352,0.4
201501060018,2015,1,6,中东与北非,Iraq,33.100529,44.584492,有效,1.0,2,0.6276151306026725,0.8
201501060019,2015,1,6,中东与北非,Iraq,33.669689,44.381317,有效,1.0,3,0.5339791724283943,0.8
201501060021,2015,1,6,中东与北非,Iraq,33.907707,42.542435,有效,1.0,1,0.8205029225885156,0.8
201501060022,2015,1,6,中东与北非,Iraq,34.160587,42.37254,有效,1.0,1,0.7777934699628979,0.8
201501060024,2015,1,6,北美,United States,38.864281,-104.778412,有效,1.0,1,0.7322010251244275,0.8
201501060027,2015,1,6,中东与北非,Syria,36.886497,38.350204,有效,1.0,3,0.4521226838311172,0.2
201501060028,2015,1,6,撒哈拉以南非洲,Somalia,2.349308,42.280334,有效,1.0,3,0.4803971261717547,1.0
201501060029,2015,1,6,东南亚,Philippines,6.04343,120.994263,有效,1.0,5,0.1367956045690636,1.0
201501060030,2015,1,6,南亚,India,18.00113,79.468227,有效,1.0,2,0.6875862746394845,0.8
201501060031,2015,1,6,南亚,India,20.040117,80.627589,有效,1.0,2,0.6859018950069776,0.8
201501060032,2015,1,6,撒哈拉以南非洲,Sudan,12.591678,25.272219,有效,2.0,5,0.2152618038586506,0.6
201501060033,2015,1,6,撒哈拉以南非洲,Sudan,12.683231,22.563177,有效,3.0,2,0.7135061159216255,0.8
201501060034,2015,1,6,东南亚,Philippines,6.978004,124.387397,有效,1.0,2,0.6657557366482947,0.8
201501060037,2015,1,6,南亚,Afghanistan,33.033668,68.331167,有效,3.0,1,0.750228875655671,0.8
201501060038,2015,1,6,南亚,Afghanistan,34.165001,68.790285,有效,1.0,2,0.7081197962156793,0.6
201501060039,2015,1,6,南亚,Afghanistan,34.165001,68.790285,有效,1.0,2,0.6684833985620747,0.8
201501060045,2015,1,6,撒哈拉以南非洲,Nigeria,4.699885,7.42277,有效,3.0,1,0.7228559358584368,0.6
201501060068,2015,1,6,中东与北非,Libya,32.867867,13.189067,有效,1.0,5,0.1446069673658777,1.0
