维度,类别,年份,事件数,累计危害,平均危害,一级事件数,有效坐标数,已知死亡记录数,已记录死亡人数,已知受伤记录数,已记录受伤人数,一级占比,坐标覆盖率,死亡信息覆盖率,年度事件占比
袭击类型,Hijacking,2016,43,27.163415237818594,0.6317073311120603,14,43,34,27.0,34,19.0,0.32558139534883723,1.0,0.7906976744186046,0.0031647898726724073
袭击类型,Hijacking,2017,58,35.630936410471435,0.6143264898357144,19,58,48,22.0,46,23.0,0.3275862068965517,1.0,0.8275862068965517,0.005321100917431192
袭击类型,Hostage Taking (Barricade Incident),2015,82,48.17802364890931,0.5875368737671867,41,82,80,712.0,74,778.0,0.5,1.0,0.975609756097561,0.005479452054794521
袭击类型,Hostage Taking (Barricade Incident),2016,61,38.95295268632109,0.6385729948577228,37,61,60,381.0,51,515.0,0.6065573770491803,1.0,0.9836065573770492,0.004489585633325973
袭击类型,Hostage Taking (Barricade Incident),2017,82,48.716372309502724,0.5941021013353991,43,82,80,814.0,71,254.0,0.524390243902439,1.0,0.975609756097561,0.007522935779816514
袭击类型,Hostage Taking (Kidnapping),2015,1197,389.26046111213867,0.32519670936686607,103,1153,732,3188.0,660,994.0,0.0860484544695071,0.9632414369256475,0.6115288220551378,0.07998663548279318
袭击类型,Hostage Taking (Kidnapping),2016,1132,388.25727335305737,0.34298345702566907,107,1114,724,4605.0,673,1510.0,0.09452296819787986,0.9840989399293286,0.6395759717314488,0.08331493339221314
袭击类型,Hostage Taking (Kidnapping),2017,878,283.4174885317064,0.3227989618812146,68,871,583,2123.0,519,530.0,0.0774487471526196,0.9920273348519362,0.664009111617312,0.08055045871559632
袭击类型,Unarmed Assault,2015,95,34.59822136743,0.3641918038676842,5,95,94,32.0,82,764.0,0.05263157894736842,1.0,0.9894736842105263,0.006348145673237555
袭击类型,Unarmed Assault,2016,71,28.93527811522671,0.4075391283834748,6,71,70,30.0,60,570.0,0.08450704225352113,1.0,0.9859154929577465,0.00522558327813351
袭击类型,Unarmed Assault,2017,101,48.205264765798034,0.47727984916631716,11,101,101,78.0,80,816.0,0.10891089108910891,1.0,1.0,0.00926605504587156
袭击类型,Unknown,2015,891,316.9210393070643,0.355691402140364,67,883,817,4763.0,721,2145.0,0.07519640852974187,0.9910213243546577,0.9169472502805837,0.05953892415636485
袭击类型,Unknown,2016,922,277.0416091153051,0.3004789686716975,26,916,812,4310.0,781,1694.0,0.028199566160520606,0.9934924078091106,0.8806941431670282,0.06785898285125487
袭击类型,Unknown,2017,825,252.05105413851578,0.305516429258807,21,819,717,3852.0,710,1495.0,0.025454545454545455,0.9927272727272727,0.8690909090909091,0.07568807339449542
目标类型,Abortion Related,2015,5,2.6633819052274452,0.5326763810454891,0,5,5,3.0,5,9.0,0.0,1.0,1.0,0.0003341129301703976
目标类型,Abortion Related,2016,1,0.6635977791581559,0.6635977791581559,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
目标类型,Abortion Related,2017,1,0.6811633448522194,0.6811633448522194,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
目标类型,Airports & Aircraft,2015,34,15.466965420087163,0.45491074764962247,9,34,33,239.0,33,31.0,0.2647058823529412,1.0,0.9705882352941176,0.0022719679251587037
目标类型,Airports & Aircraft,2016,29,12.727164862217018,0.43886775386955235,7,29,29,170.0,28,393.0,0.2413793103448276,1.0,1.0,0.002134393169941856
目标类型,Airports & Aircraft,2017,10,2.517329113985212,0.2517329113985212,0,10,10,24.0,10,6.0,0.0,1.0,1.0,0.0009174311926605505
目标类型,Business,2015,1134,644.2081743831496,0.568084809861684,339,1126,1098,1916.0,1075,4541.0,0.29894179894179895,0.9929453262786596,0.9682539682539683,0.07577681256264618
目标类型,Business,2016,926,543.5511639965765,0.5869882980524584,315,924,894,1944.0,871,4051.0,0.34017278617710583,0.9978401727861771,0.9654427645788337,0.06815338190917788
目标类型,Business,2017,772,428.8208332548812,0.5554674005892244,246,764,755,1353.0,738,2900.0,0.31865284974093266,0.9896373056994818,0.977979274611399,0.0708256880733945
目标类型,Educational Institution,2015,293,126.8257854192714,0.4328525099633836,78,291,276,282.0,273,765.0,0.26621160409556316,0.9931740614334471,0.9419795221843004,0.0195790177079853
目标类型,Educational Institution,2016,213,108.61606764433405,0.5099345898795026,63,213,202,184.0,201,750.0,0.29577464788732394,1.0,0.9483568075117371,0.01567674983440053
目标类型,Educational Institution,2017,150,71.68972607010097,0.4779315071340065,42,150,140,106.0,139,269.0,0.28,1.0,0.9333333333333333,0.013761467889908258
目标类型,Food or Water Supply,2015,17,9.080042053969523,0.5341201208217367,7,17,17,16.0,17,14.0,0.4117647058823529,1.0,1.0,0.0011359839625793519
目标类型,Food or Water Supply,2016,11,7.91062231604665,0.7191474832769682,8,11,10,0.0,10,6.0,0.7272727272727273,1.0,0.9090909090909091,0.0008095974092882902
目标类型,Food or Water Supply,2017,11,7.663155766418977,0.696650524219907,6,11,11,32.0,11,13.0,0.5454545454545454,1.0,1.0,0.0010091743119266055
目标类型,Government (Diplomatic),2015,152,71.89220066596346,0.47297500438133855,46,151,148,172.0,144,280.0,0.3026315789473684,0.993421052631579,0.9736842105263158,0.010157033077180086
目标类型,Government (Diplomatic),2016,92,47.14221996789565,0.5124154344336483,29,92,89,116.0,88,333.0,0.31521739130434784,1.0,0.967391304347826,0.006771178332229337
目标类型,Government (Diplomatic),2017,96,45.62946672864779,0.47530694509008115,20,94,93,351.0,86,755.0,0.20833333333333334,0.9791666666666666,0.96875,0.008807339449541285
目标类型,Government (General),2015,1158,539.4801609977299,0.46587233246781506,250,1152,1107,2031.0,1079,2371.0,0.2158894645941278,0.9948186528497409,0.9559585492227979,0.07738055462746408
目标类型,Government (General),2016,1017,445.781946182801,0.4383303305632261,242,1014,976,1424.0,962,1762.0,0.23795476892822026,0.9970501474926253,0.95968534906588,0.07485096047692648
目标类型,Government (General),2017,939,405.75198993728924,0.4321107454071238,178,938,895,1244.0,880,1456.0,0.18956336528221512,0.9989350372736954,0.9531416400425985,0.08614678899082569
目标类型,Journalists & Media,2015,177,57.59751454305632,0.325409686683934,13,161,150,115.0,147,82.0,0.07344632768361582,0.9096045197740112,0.847457627118644,0.011827597728032074
目标类型,Journalists & Media,2016,143,51.22621702141788,0.3582252938560691,11,139,134,68.0,132,110.0,0.07692307692307693,0.972027972027972,0.9370629370629371,0.010524766320747773
目标类型,Journalists & Media,2017,126,45.32755323120662,0.3597424859619573,12,124,118,99.0,117,139.0,0.09523809523809523,0.9841269841269841,0.9365079365079365,0.011559633027522935
目标类型,Maritime,2015,7,4.579731410570782,0.6542473443672545,4,7,6,89.0,6,83.0,0.5714285714285714,1.0,0.8571428571428571,0.0004677581022385566
目标类型,Maritime,2016,32,15.887926713687154,0.49649770980272356,11,32,24,43.0,25,51.0,0.34375,1.0,0.75,0.002355192463384117
目标类型,Maritime,2017,13,5.108891397687948,0.392991645975996,1,13,10,15.0,8,0.0,0.07692307692307693,1.0,0.7692307692307693,0.0011926605504587156
目标类型,Military,2015,2968,1287.9849419582638,0.43395719068674654,647,2947,2780,12021.0,2592,8928.0,0.21799191374663074,0.9929245283018868,0.9366576819407008,0.19832943534914801
目标类型,Military,2016,2600,1123.0748847164148,0.43195187873708263,595,2584,2394,10463.0,2293,7037.0,0.22884615384615384,0.9938461538461538,0.9207692307692308,0.19135938764995952
目标类型,Military,2017,2352,1020.3104679723308,0.4338054710766713,566,2344,2139,8524.0,2046,5385.0,0.24064625850340135,0.9965986394557823,0.9094387755102041,0.21577981651376146
目标类型,NGO,2015,60,24.171984223406334,0.4028664037234389,8,59,52,48.0,49,12.0,0.13333333333333333,0.9833333333333333,0.8666666666666667,0.004009355162044771
目标类型,NGO,2016,48,19.23080814273088,0.4006418363068933,2,47,45,30.0,44,29.0,0.041666666666666664,0.9791666666666666,0.9375,0.0035327886950761757
目标类型,NGO,2017,51,23.46567521396898,0.4601112787052741,8,51,44,137.0,42,47.0,0.1568627450980392,1.0,0.8627450980392157,0.004678899082568807
目标类型,Other,2015,19,9.835896628508817,0.5176787699215166,7,19,19,18.0,19,7.0,0.3684210526315789,1.0,1.0,0.0012696291346475108
目标类型,Other,2016,14,6.345063199420948,0.4532187999586391,5,14,13,9.0,12,32.0,0.35714285714285715,1.0,0.9285714285714286,0.0010303967027305513
目标类型,Other,2017,7,4.014465059641458,0.5734950085202083,3,7,7,3.0,7,6.0,0.42857142857142855,1.0,1.0,0.0006422018348623853
目标类型,Police,2015,2124,996.1210784322554,0.46898355858392443,537,2117,2072,4862.0,2000,5374.0,0.2528248587570621,0.9967043314500942,0.975517890772128,0.1419311727363849
目标类型,Police,2016,1697,786.3043514206626,0.4633496472720463,457,1695,1647,4779.0,1605,4888.0,0.26929876252209783,0.9988214496169712,0.9705362404242781,0.12489880032383896
目标类型,Police,2017,1539,707.2003122969104,0.4595193712130672,366,1536,1507,4311.0,1455,3993.0,0.2378167641325536,0.9980506822612085,0.9792072774528915,0.1411926605504587
目标类型,Private Citizens & Property,2015,4184,2112.4097391476516,0.5048780447293623,1139,4153,3849,12951.0,3556,16451.0,0.2722275334608031,0.9925908221797323,0.9199330783938815,0.2795856999665887
目标类型,Private Citizens & Property,2016,4370,2152.406346214699,0.4925414979896337,1132,4353,4006,13194.0,3845,17365.0,0.2590389016018307,0.9961098398169337,0.9167048054919908,0.3216309707808935
目标类型,Private Citizens & Property,2017,2947,1382.4175538236516,0.469093163835647,705,2936,2704,7228.0,2574,7176.0,0.23922633186291142,0.996267390566678,0.9175432643366135,0.2703669724770642
目标类型,Religious Figures/Institutions,2015,404,221.21929842244,0.5475725208476238,150,404,390,1166.0,382,2161.0,0.3712871287128713,1.0,0.9653465346534653,0.026996324757768125
目标类型,Religious Figures/Institutions,2016,298,153.49164283200977,0.5150726269530529,84,297,289,554.0,284,1020.0,0.28187919463087246,0.9966442953020134,0.9697986577181208,0.02193272981526459
目标类型,Religious Figures/Institutions,2017,233,121.26632832126789,0.5204563447264716,63,233,224,1160.0,221,1489.0,0.2703862660944206,1.0,0.9613733905579399,0.021376146788990826
目标类型,Telecommunication,2015,46,29.294076076916806,0.6368277408025392,24,46,46,1.0,46,5.0,0.5217391304347826,1.0,1.0,0.0030738389575676577
目标类型,Telecommunication,2016,46,32.83555640627361,0.7138164436146437,33,46,45,0.0,44,1.0,0.717391304347826,1.0,0.9782608695652174,0.0033855891661146685
目标类型,Telecommunication,2017,30,20.921236986719737,0.6973745662239913,15,30,30,6.0,30,1.0,0.5,1.0,1.0,0.0027522935779816515
目标类型,Terrorists/Non-State Militia,2015,320,167.94632026672946,0.5248322508335296,99,318,297,1294.0,272,985.0,0.309375,0.99375,0.928125,0.021383227530905446
目标类型,Terrorists/Non-State Militia,2016,317,154.46447850556552,0.4872696482825411,79,315,301,779.0,296,1126.0,0.24921135646687698,0.9936908517350158,0.9495268138801262,0.02333112534039891
目标类型,Terrorists/Non-State Militia,2017,175,85.86252339328085,0.49064299081874774,43,175,162,919.0,145,471.0,0.24571428571428572,1.0,0.9257142857142857,0.016055045871559634
目标类型,Tourists,2015,5,2.902227088942287,0.5804454177884575,2,5,5,27.0,5,58.0,0.4,1.0,1.0,0.0003341129301703976
目标类型,Tourists,2016,8,4.392852041509334,0.5491065051886668,4,8,8,29.0,8,50.0,0.5,1.0,1.0,0.0005887981158460292
目标类型,Tourists,2017,11,6.50125840316851,0.5910234911971373,4,11,11,13.0,11,17.0,0.36363636363636365,1.0,1.0,0.0010091743119266055
目标类型,Transportation,2015,390,241.33922644942277,0.6188185293574943,229,389,386,538.0,378,1368.0,0.5871794871794872,0.9974358974358974,0.9897435897435898,0.02606080855329101
目标类型,Transportation,2016,227,131.98639936403944,0.5814378826609667,115,227,223,384.0,215,695.0,0.5066079295154186,1.0,0.9823788546255506,0.016707146537131082
目标类型,Transportation,2017,138,79.50425034475272,0.5761177561213965,58,137,136,344.0,135,470.0,0.42028985507246375,0.9927536231884058,0.9855072463768116,0.012660550458715596
目标类型,Unknown,2015,953,210.16962890609167,0.2205347627556051,18,947,944,378.0,943,132.0,0.01888772298006296,0.993704092339979,0.9905561385099685,0.06368192449047778
目标类型,Unknown,2016,1070,228.5988997639452,0.21364383155508898,16,1063,1058,462.0,1056,149.0,0.014953271028037384,0.9934579439252337,0.9887850467289719,0.07875174799440642
目标类型,Unknown,2017,996,227.9025367792269,0.22881780801127197,26,994,992,455.0,994,163.0,0.02610441767068273,0.9979919678714859,0.9959839357429718,0.09137614678899082
目标类型,Utilities,2015,258,169.25253717934956,0.6560175859664712,190,256,257,147.0,252,53.0,0.7364341085271318,0.9922480620155039,0.9961240310077519,0.017240227196792517
目标类型,Utilities,2016,348,255.136168697625,0.7331499100506466,289,346,346,172.0,341,75.0,0.8304597701149425,0.9942528735632183,0.9942528735632183,0.025612718039302273
目标类型,Utilities,2017,156,105.34759291168724,0.6753050827672259,114,147,155,70.0,153,67.0,0.7307692307692307,0.9423076923076923,0.9935897435897436,0.014311926605504587
目标类型,Violent Political Party,2015,257,113.45807034265167,0.4414710908274384,45,257,223,539.0,208,333.0,0.17509727626459143,1.0,0.867704280155642,0.017173404610758437
目标类型,Violent Political Party,2016,80,29.786245553583974,0.3723280694197997,8,80,75,67.0,76,78.0,0.1,1.0,0.9375,0.005887981158460293
目标类型,Violent Political Party,2017,147,56.028244961518986,0.3811445235477482,23,147,141,51.0,138,104.0,0.1564625850340136,1.0,0.9591836734693877,0.013486238532110091
武器类型,Chemical,2015,23,10.118211895016993,0.43992225630508663,2,23,22,11.0,20,620.0,0.08695652173913043,1.0,0.9565217391304348,0.0015369194787838289
武器类型,Chemical,2016,29,13.32443605687892,0.45946331230616966,4,29,28,51.0,28,2164.0,0.13793103448275862,1.0,0.9655172413793104,0.002134393169941856
武器类型,Chemical,2017,27,11.512865919763847,0.4264024414727351,0,27,26,44.0,23,595.0,0.0,1.0,0.9629629629629629,0.002477064220183486
武器类型,Explosives,2015,8380,4324.894081642593,0.5160971457807391,3019,8353,8205,19901.0,7964,34093.0,0.36026252983293555,0.9967780429594272,0.9791169451073986,0.5599732709655864
武器类型,Explosives,2016,7603,3924.7134416783088,0.5162058978927145,2719,7585,7446,18575.0,7286,29699.0,0.3576219913192161,0.9976325134815205,0.9793502564777061,0.5595790093471701
武器类型,Explosives,2017,5465,2616.786057018799,0.47882635993024686,1813,5442,5343,13374.0,5206,17083.0,0.33174748398902104,0.9957913998170174,0.977676120768527,0.5013761467889908
武器类型,Fake Weapons,2017,1,0.2838559142719158,0.2838559142719158,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
武器类型,Firearms,2015,3953,1622.714812869397,0.41050210292673844,550,3926,3691,12223.0,3414,6103.0,0.13913483430306098,0.9931697444978498,0.9337212243865418,0.2641496825927163
武器类型,Firearms,2016,3481,1382.8872466500518,0.39726723546396203,489,3468,3257,9758.0,3115,4979.0,0.14047687446136167,0.9962654409652398,0.935650675093364,0.25620078015750347
武器类型,Firearms,2017,3146,1264.6353765388656,0.40198200144274177,411,3137,2949,7933.0,2831,4882.0,0.13064208518753972,0.9971392244119517,0.9373808010171647,0.2886238532110092
武器类型,Incendiary,2015,703,459.5485153647007,0.6536963234206269,139,694,685,438.0,664,311.0,0.19772403982930298,0.9871977240398293,0.9743954480796586,0.0469762779819579
武器类型,Incendiary,2016,630,420.093737991835,0.6668154571298968,212,628,612,304.0,595,887.0,0.33650793650793653,0.9968253968253968,0.9714285714285714,0.04636785162287481
武器类型,Incendiary,2017,656,437.097712329094,0.6663074883065457,193,653,639,202.0,617,187.0,0.2942073170731707,0.9954268292682927,0.9740853658536586,0.06018348623853211
武器类型,Melee,2015,388,116.41496239712,0.30003856287917524,10,387,377,607.0,354,395.0,0.02577319587628866,0.9974226804123711,0.9716494845360825,0.025927163381222855
武器类型,Melee,2016,333,96.06240707295095,0.28847569691576863,4,332,315,348.0,318,416.0,0.012012012012012012,0.996996996996997,0.9459459459459459,0.02450872157209097
武器类型,Melee,2017,307,102.75453346786436,0.3347053207422292,26,306,307,410.0,270,308.0,0.08469055374592833,0.996742671009772,1.0,0.028165137614678898
武器类型,Other,2015,8,1.9518682534351004,0.24398353167938755,0,8,8,8.0,8,1.0,0.0,1.0,1.0,0.0005345806882726361
武器类型,Other,2016,10,4.1138990725743145,0.41138990725743146,0,10,10,68.0,10,2.0,0.0,1.0,1.0,0.0007359976448075366
武器类型,Other,2017,10,2.8271956706812356,0.28271956706812357,0,10,10,9.0,10,2.0,0.0,1.0,1.0,0.0009174311926605505
武器类型,Sabotage Equipment,2015,10,7.313830471753454,0.7313830471753454,9,10,10,0.0,10,61.0,0.9,1.0,1.0,0.0006682258603407952
武器类型,Sabotage Equipment,2016,8,5.474130141953381,0.6842662677441727,7,6,8,0.0,8,0.0,0.875,0.75,1.0,0.0005887981158460292
武器类型,Sabotage Equipment,2017,11,7.436991501648191,0.6760901365134719,6,10,11,34.0,11,61.0,0.5454545454545454,0.9090909090909091,1.0,0.0010091743119266055
武器类型,Unknown,2015,1466,502.4550781867632,0.3427387982174374,108,1426,1128,5645.0,1013,2380.0,0.07366984993178717,0.9727148703956344,0.7694406548431105,0.09796191112596057
武器类型,Unknown,2016,1480,458.4505644308446,0.3097638948857058,64,1459,1120,5746.0,1064,1782.0,0.043243243243243246,0.9858108108108108,0.7567567567567568,0.10892765143151542
武器类型,Unknown,2017,1254,399.3703819198451,0.3184771785644698,47,1244,976,4398.0,950,1601.0,0.037480063795853266,0.9920255183413078,0.7783094098883573,0.11504587155963303
武器类型,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",2015,34,12.487620840876591,0.36728296590813503,4,34,34,20.0,34,79.0,0.11764705882352941,1.0,1.0,0.0022719679251587037
武器类型,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",2016,13,6.440760247216633,0.495443095939741,6,13,13,21.0,13,72.0,0.46153846153846156,1.0,1.0,0.0009567969382497976
武器类型,"Vehicle (not to include vehicle-borne explosives, i.e., car or truck bombs)",2017,23,11.227585032362942,0.48815587097230184,3,23,23,41.0,22,208.0,0.13043478260869565,1.0,1.0,0.002110091743119266
归属记录,A'chik Matgrik Elite Force (AMEF),2015,5,2.599002266080328,0.5198004532160656,2,5,4,0.0,4,2.0,0.4,1.0,0.8,0.0003341129301703976
归属记录,A'chik Matgrik Elite Force (AMEF),2016,1,0.2647104155422918,0.2647104155422918,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Abbala extremists,2016,4,1.5525103048316016,0.3881275762079004,1,4,2,4.0,3,6.0,0.25,1.0,0.5,0.0002943990579230146
归属记录,Abbala extremists,2017,1,0.6795632698466678,0.6795632698466678,0,1,1,5.0,1,9.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Abdul Ghani Kikli Militia,2015,1,0.2268465821156295,0.2268465821156295,0,1,1,1.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Abu Abbas Brigade,2017,1,0.2531804331024324,0.2531804331024324,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Abu Amarah Battalion,2016,1,0.4043970592051023,0.4043970592051023,0,1,1,0.0,1,4.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Abu Amarah Battalion,2017,2,1.5177103298585455,0.7588551649292727,2,2,2,7.0,2,35.0,1.0,1.0,1.0,0.0001834862385321101
归属记录,Abu Salim Martyr's Brigade,2015,1,0.2844068899559457,0.2844068899559457,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Abu Sayyaf Group (ASG),2015,92,32.580472320716204,0.354135568703437,16,90,91,47.0,90,180.0,0.17391304347826086,0.9782608695652174,0.9891304347826086,0.0061476779151353154
归属记录,Abu Sayyaf Group (ASG),2016,68,26.226180950654665,0.3856791316272745,10,68,61,32.0,61,56.0,0.14705882352941177,1.0,0.8970588235294118,0.005004783984691249
归属记录,Abu Sayyaf Group (ASG),2017,54,21.140565280861015,0.3914919496455744,9,54,51,52.0,50,54.0,0.16666666666666666,1.0,0.9444444444444444,0.004954128440366972
归属记录,Aceh Singkil Islamic Care Youth Students Association (PPI),2015,3,2.164597283158265,0.7215324277194216,3,3,3,1.0,3,4.0,1.0,1.0,1.0,0.00020046775810223855
归属记录,Achik Matgrik Army (AMA),2016,1,0.7446987403333412,0.7446987403333412,1,1,1,0.0,1,9.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Achik National Cooperative Army (ANCA),2015,1,0.4018948077650872,0.4018948077650872,0,1,1,0.0,1,4.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Achik National Liberation Army (ANLA),2015,1,0.1954281163533949,0.1954281163533949,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Achik National Liberation Army (ANLA),2016,1,0.2848737108170501,0.2848737108170501,0,1,1,0.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Achik National Volunteer Council-B (ANVC-B),2015,1,0.1446349573482225,0.1446349573482225,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Achik Songna An'pachakgipa Kotok (ASAK),2015,3,0.5512384090132239,0.18374613633774128,0,3,2,0.0,2,0.0,0.0,1.0,0.6666666666666666,0.00020046775810223855
归属记录,Achik Songna An'pachakgipa Kotok (ASAK),2016,6,1.8944955534954033,0.31574925891590055,0,6,5,0.0,4,1.0,0.0,1.0,0.8333333333333334,0.00044159858688452196
归属记录,Achik Songna An'pachakgipa Kotok (ASAK),2017,3,0.8509445361155668,0.28364817870518894,0,3,2,0.0,2,0.0,0.0,1.0,0.6666666666666666,0.00027522935779816516
归属记录,Adan-Abyan Province of the Islamic State,2015,12,6.2912861295826294,0.5242738441318858,5,12,12,33.0,12,18.0,0.4166666666666667,1.0,1.0,0.0008018710324089542
归属记录,Adan-Abyan Province of the Islamic State,2016,31,16.523081743828445,0.5330026368976918,11,31,31,337.0,29,299.0,0.3548387096774194,1.0,1.0,0.0022815926989033634
归属记录,Adan-Abyan Province of the Islamic State,2017,4,2.6867469248675073,0.6716867312168768,3,4,4,72.0,4,77.0,0.75,1.0,1.0,0.0003669724770642202
归属记录,Afar Revolutionary Democratic Unity Front,2017,1,0.321359940517278,0.321359940517278,0,1,1,1.0,1,1.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Agwelek Forces,2016,1,0.7298059309297932,0.7298059309297932,1,1,1,56.0,1,0.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Ahfad al-Sahaba-Aknaf Bayt al-Maqdis,2016,2,1.5113667598075797,0.7556833799037899,2,2,2,0.0,2,0.0,1.0,1.0,1.0,0.0001471995289615073
归属记录,Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),2015,2,0.9776943265555781,0.48884716327778904,0,2,2,3.0,2,0.0,0.0,1.0,1.0,0.00013364517206815904
归属记录,Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),2017,1,0.2066049544888977,0.2066049544888977,0,1,1,0.0,1,0.0,0.0,1.0,1.0,9.174311926605505e-05
归属记录,Ahlu-sunah Wal-jamea (Somalia),2015,5,1.3409382100122236,0.2681876420024447,0,5,2,10.0,2,0.0,0.0,1.0,0.4,0.0003341129301703976
归属记录,Ahlu-sunah Wal-jamea (Somalia),2016,3,1.5717667690053267,0.5239222563351089,1,3,3,1.0,3,2.0,0.3333333333333333,1.0,1.0,0.00022079929344226098
归属记录,Ahmad Luebaesa Group,2016,1,0.2403739147323336,0.2403739147323336,0,1,1,1.0,1,1.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Ahneish Militia,2017,3,1.6495902662539972,0.5498634220846658,1,3,3,0.0,3,0.0,0.3333333333333333,1.0,1.0,0.00027522935779816516
归属记录,Ahrar al-Sham,2015,11,6.013862452936978,0.5467147684488162,6,11,8,41.0,6,0.0,0.5454545454545454,1.0,0.7272727272727273,0.0007350484463748748
归属记录,Ahrar al-Sham,2016,12,6.079965161178256,0.5066637634315213,5,12,7,29.0,5,78.0,0.4166666666666667,1.0,0.5833333333333334,0.0008831971737690439
归属记录,Ahrar al-Sham,2017,2,1.324874795492924,0.662437397746462,1,2,1,61.0,0,,0.5,1.0,0.5,0.0001834862385321101
归属记录,Ajnad Misr,2015,10,4.034137084847904,0.4034137084847904,0,10,10,4.0,10,34.0,0.0,1.0,1.0,0.0006682258603407952
归属记录,Ajnad al-Sham,2016,1,0.8396376895790455,0.8396376895790455,1,1,1,2.0,1,13.0,1.0,1.0,1.0,7.359976448075366e-05
归属记录,Akhil Terai Mukti Morcha (ATMM),2015,1,0.1970259760925058,0.1970259760925058,0,1,1,0.0,1,0.0,0.0,1.0,1.0,6.682258603407952e-05
归属记录,Akhil Terai Mukti Morcha (ATMM),2016,1,0.2725686926805155,0.2725686926805155,0,1,1,1.0,1,0.0,0.0,1.0,1.0,7.359976448075366e-05
归属记录,Akhil Terai Mukti Morcha (ATMM),2017,1,0.7348406267131476,0.7348406267131476,1,1,1,0.0,1,0.0,1.0,1.0,1.0,9.174311926605505e-05
